_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
400000;RACCORDS SERVICES;SARODIS MITIGEU;;702569;VIDAGE AUTO PR EV 1 BAC ZP006;SARODIS;PIECE;45,38;34,03
400001;RACCORDS SERVICES;SARODIS MITIGEU;;702572;VIDAGE AUTO PR EV 2 BACS ZP007;SARODIS;PIECE;68,75;51,56
400002;RACCORDS SERVICES;REDUCTEURS DE P;;702601;REDUC.PRES DESBORDES FF 33X42 11BIS;SOCLA;PIECE;310,88;233,16
400003;RACCORDS SERVICES;ARTICLES DIVERS;;702901;COLONNE DOUCHE NAUTILUS VERRE BLANC;VALENTIN SA;PIECE;1014,28;760,71
400004;RACCORDS SERVICES;ELM LEBLANC    ;;709177;CHAUD EGALIS A BALLON CHEM 24KW G.N;ELM LEBLANC;PIECE;2420,37;1815,28
400005;RACCORDS SERVICES;ELM LEBLANC    ;;709178;CORPS EGALIS VENTOUSE NGVB-24-4H GN;ELM LEBLANC;PIECE;2546,79;1910,09
400006;RACCORDS SERVICES;ELM LEBLANC    ;;709179;CHAUD EGALIS A BALLON VENT 24KW GN;ELM LEBLANC;PIECE;2669,66;2002,24
400007;RACCORDS SERVICES;RACCORDS CUIVRE;;710001;COUDE 90° F/F 90CU D 10;IBP ATCOSA;PIECE;0,52;0,27
400008;RACCORDS SERVICES;RACCORDS CUIVRE;;710002;COUDE 90° F/F 90CU D 12;FRABO;PIECE;0,31;0,16
400009;RACCORDS SERVICES;RACCORDS CUIVRE;;710003;COUDE 90° F/F 90CU D 14;FRABO;PIECE;0,35;0,18
400010;RACCORDS SERVICES;RACCORDS CUIVRE;;710004;COUDE 90° F/F 90CU D 16;FRABO;PIECE;0,51;0,27
400011;RACCORDS SERVICES;RACCORDS CUIVRE;;710005;COUDE 90° F/F 90CU D 18;FRABO;PIECE;0,65;0,34
400012;RACCORDS SERVICES;RACCORDS CUIVRE;;710006;COUDE 90° F/F 90CU D 22;FRABO;PIECE;0,86;0,45
400013;RACCORDS SERVICES;RACCORDS CUIVRE;;710008;COUDE 90° F/F 90CU D 28;FRABO;PIECE;1,47;0,77
400014;RACCORDS SERVICES;RACCORDS CUIVRE;;710009;COUDE 90° F/F 90CU D 35;IBP ATCOSA;PIECE;5,05;2,65
400015;RACCORDS SERVICES;RACCORDS CUIVRE;;710010;COUDE 90° F/F 90CU D 42;IBP ATCOSA;PIECE;6,8;3,57
400016;RACCORDS SERVICES;RACCORDS CUIVRE;;710011;COUDE 90° F/F 90CU D 54;FRABO;PIECE;13,11;6,88
400017;RACCORDS SERVICES;RACCORDS CUIVRE;;710012;COUDE 90° M/F 92CU D 10;IBP ATCOSA;PIECE;0,56;0,29
400018;RACCORDS SERVICES;RACCORDS CUIVRE;;710013;COUDE 90° M/F 92CU D 12;IBP ATCOSA;PIECE;0,58;0,3
400019;RACCORDS SERVICES;RACCORDS CUIVRE;;710014;COUDE 90° M/F 92CU D 14;IBP ATCOSA;PIECE;0,61;0,32
400020;RACCORDS SERVICES;RACCORDS CUIVRE;;710015;COUDE 90° M/F 92CU D 16;IBP ATCOSA;PIECE;0,64;0,34
400021;RACCORDS SERVICES;RACCORDS CUIVRE;;710016;COUDE 90° M/F 92CU D 18;IBP ATCOSA;PIECE;1,09;0,57
400022;RACCORDS SERVICES;RACCORDS CUIVRE;;710017;COUDE 90° M/F 92CU D 22;FRABO;PIECE;1,58;0,83
400023;RACCORDS SERVICES;RACCORDS CUIVRE;;710018;COUDE 90° M/F 92CU D 28;FRABO;PIECE;2,03;1,06
400024;RACCORDS SERVICES;RACCORDS CUIVRE;;710019;COUDE 90° M/F 92CU D 35;FRABO;PIECE;6,76;3,55
400025;RACCORDS SERVICES;RACCORDS CUIVRE;;710020;COUDE 90° M/F 92CU D 42;IBP ATCOSA;PIECE;8,51;4,47
400026;RACCORDS SERVICES;RACCORDS CUIVRE;;710021;COUDE 90° M/F 92CU D 54;IBP ATCOSA;PIECE;16,49;8,66
400027;RACCORDS SERVICES;RACCORDS CUIVRE;;710022;COURBE 90° F/F 2ACU GR D 10;IBP ATCOSA;PIECE;0,67;0,35
400028;RACCORDS SERVICES;RACCORDS CUIVRE;;710023;COURBE 90° F/F 2ACU GR D 12;FRABO;PIECE;0,55;0,29
400029;RACCORDS SERVICES;RACCORDS CUIVRE;;710024;COURBE 90° F/F 2ACU GR D 14;FRABO;PIECE;0,65;0,34
400030;RACCORDS SERVICES;RACCORDS CUIVRE;;710025;COURBE 90° F/F 2ACU GR D 16;FRABO;PIECE;0,76;0,4
400031;RACCORDS SERVICES;RACCORDS CUIVRE;;710026;COURBE 90° F/F 2ACU GR D 18;FRABO;PIECE;0,84;0,44
400032;RACCORDS SERVICES;RACCORDS CUIVRE;;710027;COURBE 90° F/F 2ACU GR D 22;FRABO;PIECE;1,68;0,88
400033;RACCORDS SERVICES;RACCORDS CUIVRE;;710028;COURBE 90° F/F 2ACU GR D 28;FRABO;PIECE;2,28;1,2
400034;RACCORDS SERVICES;RACCORDS CUIVRE;;710029;COURBE 90° F/F 2ACU GR D 35;FRABO;PIECE;3,75;1,97
400035;RACCORDS SERVICES;RACCORDS CUIVRE;;710030;COURBE 90° F/F 2ACU GR D 42;IBP ATCOSA;SACH.;8,61;4,52
400036;RACCORDS SERVICES;RACCORDS CUIVRE;;710031;COURBE 90° F/F 2ACU GR D 54;IBP ATCOSA;PIECE;17,25;9,06
400037;RACCORDS SERVICES;RACCORDS CUIVRE;;710032;COURBE 90° M/F 1ACU GR D 10;IBP ATCOSA;PIECE;0,96;0,5
400038;RACCORDS SERVICES;RACCORDS CUIVRE;;710033;COURBE 90° M/F 1ACU GR D 14;FRABO;PIECE;0,73;0,38
400039;RACCORDS SERVICES;RACCORDS CUIVRE;;710034;COURBE 90° M/F 1ACU GR D 16;FRABO;PIECE;0,7;0,36
400040;RACCORDS SERVICES;RACCORDS CUIVRE;;710035;COURBE 90° M/F 1ACU GR D 18;FRABO;PIECE;1,08;0,57
400041;RACCORDS SERVICES;RACCORDS CUIVRE;;710036;COURBE 90° M/F 1ACU GR D 22;FRABO;PIECE;1,55;0,81
400042;RACCORDS SERVICES;RACCORDS CUIVRE;;710037;COURBE 90° M/F 1ACU GR D 28;IBP ATCOSA;PIECE;3,07;1,61
400043;RACCORDS SERVICES;RACCORDS CUIVRE;;710038;COURBE 90° M/F 1ACU GR D 35;IBP ATCOSA;PIECE;7,6;3,99
400044;RACCORDS SERVICES;RACCORDS CUIVRE;;710039;COURBE 90° M/F 1ACU GR D 42;IBP ATCOSA;PIECE;10,37;5,45
400045;RACCORDS SERVICES;RACCORDS CUIVRE;;710040;COURBE 90° M/F 1ACU GR D 54;IBP ATCOSA;PIECE;21,06;11,05
400046;RACCORDS SERVICES;RACCORDS CUIVRE;;710041;COUDE 45° F/F 41CU D 10;IBP ATCOSA;PIECE;1,05;0,55
400047;RACCORDS SERVICES;RACCORDS CUIVRE;;710042;COUDE 45° F/F 41CU D 12;IBP ATCOSA;PIECE;0,74;0,38
400048;RACCORDS SERVICES;RACCORDS CUIVRE;;710043;COUDE 45° F/F 41CU D 14;FRABO;PIECE;0,55;0,29
400049;RACCORDS SERVICES;RACCORDS CUIVRE;;710044;COUDE 45° F/F 41CU D 16;FRABO;PIECE;0,65;0,34
