_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
100000;CGED;DIVERS;80536;3M../80536;BANDE ADHESIF ALU  (ROULEAU DE 50 M);3 M;1;6,16;4,40
100001;CGED;GENIE CLIMATIQUE;TLN-050-050;ACO./TLN-050-050;RADIATEUR SECHE-SERVIETTES  CALA  ELECT 500W;ACOVA                          ;1;279,90;199,93
100002;CGED;GENIE CLIMATIQUE;TLN-075-050;ACO./TLN-075-050;RADIATEUR SECHE-SERVIETTES  CALA ELECT  750W;ACOVA                          ;1;303,93;217,09
100003;CGED;GENIE CLIMATIQUE;TLN-100-050;ACO./TLN-100-050;RADIATEUR SECHE-SERVIETTES  CALA ELECT 1000W;ACOVA                          ;1;351,35;250,97
100004;CGED;GENIE CLIMATIQUE;TMC06-050-053;ACO./TMC06-050-053;RADIATEUR VUELTA TMC   500 W;ACOVA                          ;1;414,53;296,09
100005;CGED;GENIE CLIMATIQUE;TMC06-075-062;ACO./TMC06-075-062;RADIATEUR VUELTA TMC   750W;ACOVA                          ;1;491,34;350,96
100006;CGED;GENIE CLIMATIQUE;TMC06-100-076;ACO./TMC06-100-076;RADIATEUR VUELTA TMC 1000 W;ACOVA                          ;1;536,89;383,50
100007;CGED;GENIE CLIMATIQUE;TMC06-125-090;ACO./TMC06-125-090;RADIATEUR VUELTA TMC 1250 W;ACOVA                          ;1;636,12;454,37
100008;CGED;GENIE CLIMATIQUE;TMC06-150-104;ACO./TMC06-150-104;RADIATEUR VUELTA TMC 1500 W;ACOVA                          ;1;689,79;492,71
100009;CGED;GENIE CLIMATIQUE;TMC06-200-131;ACO./TMC06-200-131;RADIATEUR VUELTA TMC 2000 W;ACOVA                          ;1;840,66;600,47
100010;CGED;GENIE CLIMATIQUE;THXP200-200LF;ACO./THXP200-200LF;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ;1;934,29;667,35
100011;CGED;GENIE CLIMATIQUE;THXP200-220LF;ACO./THXP200-220LF;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ;1;967,90;691,36
100012;CGED;GENIE CLIMATIQUE;TSXP-050-050LF;ACO./TSXP-050-050LF;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 500W;ACOVA                          ;1;#N/A;#N/A
100013;CGED;GENIE CLIMATIQUE;TSXP-075-050LF;ACO./TSXP-075-050LF;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 750W;ACOVA                          ;1;#N/A;#N/A
100014;CGED;GENIE CLIMATIQUE;TSXP-100-050LF;ACO./TSXP-100-050LF;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1000W;ACOVA                          ;1;#N/A;#N/A
100015;CGED;GENIE CLIMATIQUE;TSXP-125-060LF;ACO./TSXP-125-060LF;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1250W;ACOVA                          ;1;#N/A;#N/A
100016;CGED;GENIE CLIMATIQUE;TSXP-150-080LF;ACO./TSXP-150-080LF;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1500W;ACOVA                          ;1;#N/A;#N/A
100017;CGED;GENIE CLIMATIQUE;TAQ-050-052;ACO./TAQ-050-052;RADIATEUR TAÏGA EVOLUTION  500 W;ACOVA                          ;1;394,79;282,00
100018;CGED;GENIE CLIMATIQUE;TAQ-075-060;ACO./TAQ-075-060;RADIATEUR TAÏGA EVOLUTION  750 W;ACOVA                          ;1;426,06;304,33
100019;CGED;GENIE CLIMATIQUE;TAQ-100-076;ACO./TAQ-100-076;RADIATEUR TAÏGA EVOLUTION 1000 W;ACOVA                          ;1;458,37;327,41
100020;CGED;GENIE CLIMATIQUE;TAQ-125-084;ACO./TAQ-125-084;RADIATEUR TAÏGA EVOLUTION 1250 W;ACOVA                          ;1;502,63;359,02
100021;CGED;GENIE CLIMATIQUE;TAQ-150-100;ACO./TAQ-150-100;RADIATEUR TAÏGA EVOLUTION 1500 W;ACOVA                          ;1;569,05;406,46
100022;CGED;GENIE CLIMATIQUE;TAQ-200-123;ACO./TAQ-200-123;RADIATEUR TAÏGA EVOLUTION 2000 W;ACOVA                          ;1;652,77;466,26
