_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR ;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300000;BROSSETTE;SANITAIRE;A235990000;403035;Baig acier - non percée - 1600 * 700 - Roca Contessa;ROCA;PU;110,17 €;75,98 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300001;BROSSETTE;SANITAIRE;A235997000;403037;Baig acier - 2 trous EA 150 - 1600 * 700 - Roca Contessa;ROCA;PU;110,17 €;75,98 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300002;BROSSETTE;SANITAIRE;A235996000;403037;Baig acier - monotrou - 1600 * 700 - Roca Contessa;ROCA;PU;110,17 €;75,98 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300003;BROSSETTE;SANITAIRE;A253890000;403038;Baig acier - non percée - 1700 * 700 - Roca Contessa;ROCA;PU;110,17 €;75,98 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300004;BROSSETTE;SANITAIRE;A253897000;403040;Baig acier - 2 trous EA 150 - 1700 * 700 - Roca Contessa;ROCA;PU;110,17 €;75,98 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300005;BROSSETTE;SANITAIRE;A253896000;403039;Baig acier - monotrou - 1700 * 700 - Roca Contessa;ROCA;PU;110,17 €;75,98 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300006;BROSSETTE;SANITAIRE;412044;437956;Jeu de plaques d'insonorisation - baig acier;ROCA;PU;8,16 €;5,63 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300007;BROSSETTE;SANITAIRE;B10G22170;428839;Façade 170x5 3,5 cm Blanc avec vérins réglables;;PU;27,48 €;18,95 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300008;BROSSETTE;SANITAIRE;B10G22160;428838;Façade 160x53,5 cm Blanc avec vérins réglables;;PU;26,49 €;18,27 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300009;BROSSETTE;SANITAIRE;B10G22067;450177;Retour baignoire - 67x53,5 cm Blanc ;;PU;8,48 €;5,85 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300010;BROSSETTE;SANITAIRE;VEGA1600;403377;Baig acryl - VEGA 160 X 75 Blanc - 210 L;NABIS;PU;142,67 €;98,39 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300011;BROSSETTE;SANITAIRE;VEGA1700;403382;Baig acryl - VEGA 170 X 75 Blanc - 240 L ;NABIS;PU;147,42 €;101,67 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300012;BROSSETTE;SANITAIRE;VAENA1700;411599;Baig acryl - VAENA 170 X 75 Blanc;NABIS;PU;187,04 €;128,99 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300013;BROSSETTE;SANITAIRE;409305;409305;Baig acryl - VERS'EAU angle 140x140 Blanc;NABIS;PU;161,94 €;111,68 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300014;BROSSETTE;SANITAIRE;409306;409306;Tablier pour baignoire angle 140x140 Blanc;NABIS;PU;121,25 €;83,62 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300015;BROSSETTE;SANITAIRE;409304;409304;Baig acryl - VERS'EAU 160x70 Blanc;NABIS;PU;104,05 €;71,76 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300016;BROSSETTE;SANITAIRE;409303;409303;Baig acryl - VERS'EAU 170x70 Blanc;NABIS;PU;104,05 €;71,76 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300017;BROSSETTE;SANITAIRE;P115701;406333;Baig acryl - ULYSSE 2 170 X 75 Blanc;PORCHER;PU;116,86 €;80,59 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300018;BROSSETTE;SANITAIRE;00065600000;403687;Baig acryl - PRIMA  170 x 75 Blanc;ALLIA;PU;291,78 €;201,23 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300019;BROSSETTE;SANITAIRE;00065600000;403687;Baig acryl - BASTIA  170 x 75 Blanc;ALLIA;PU;130,70 €;90,14 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300020;BROSSETTE;SANITAIRE;EUROBASIC;437950;Vidage à chainette EUROBASIC ;EUROBASIC;PU;8,18 €;5,64 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300021;BROSSETTE;SANITAIRE;EUROBASIC;437948;Vidage automatique articulé EUROBASIC;EUROBASIC;PU;21,90 €;15,10 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300022;BROSSETTE;SANITAIRE;150.616.21.1;461338;Vidage automatique  GEBERIT;GEBERIT;PU;51,16 €;35,28 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300023;BROSSETTE;SANITAIRE;B9044AA;439169;Mél BD  - BF2 monotrou;BROSSETTE;PU;77,14 €;53,20 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300024;BROSSETTE;SANITAIRE;B9043AA;439168;Mél BD - Mural BF2;BROSSETTE;PU;64,93 €;44,78 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300025;BROSSETTE;SANITAIRE;D1634AA;481468;Mit BD Monotrou ULYSSE ;PORHER;PU;64,93 €;44,78 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300026;BROSSETTE;SANITAIRE;B8644AA;400574;Mit BD Murale BF Naya ss raccords;BROSSETTE;PU;77,23 €;53,26 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300027;BROSSETTE;SANITAIRE;B8610AA;439245;Mit BD Murale BF Livia avec raccords;BROSSETTE;PU;104,30 €;71,93 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300028;BROSSETTE;SANITAIRE;23000;440786;Mit BF thermostatique BD ELIOSTHERM;BROSSETTE;PU;161,14 €;111,13 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300029;BROSSETTE;SANITAIRE;TM85110/1CR;419732;Mit BF thermostatique BD ELIATHERM;BROSSETTE;PU;129,41 €;89,25 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300030;BROSSETTE;SANITAIRE;D2335AA;481596;Mit BD Monotrou OKYRIS2;PORHER;PU;72,40 €;49,93 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300031;BROSSETTE;SANITAIRE;D2345AA;481598;Mit BD Mural OKYRIS2;PORHER;PU;83,52 €;57,60 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300032;BROSSETTE;SANITAIRE;D1136AA;481858;Mit BD Monotrou OLYOS2;PORHER;PU;55,62 €;38,36 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300033;BROSSETTE;SANITAIRE;D1146AA;481860;Mit BD Mural OLYOS2;PORHER;PU;69,21 €;47,73 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300034;BROSSETTE;SANITAIRE;D1235AA;481231;Mit BD Monotrou OPHELIO;PORHER;PU;116,57 €;80,39 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300035;BROSSETTE;SANITAIRE;D1245AA;481233;Mit BD Mural a.rac OPHELIO;PORHER;PU;115,94 €;79,96 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300036;BROSSETTE;SANITAIRE;D0347AA;420147;Mit BD thermos PRECITHERM 3 PLUS;PORHER;PU;166,58 €;114,88 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300037;BROSSETTE;SANITAIRE;D0545AA;481140;Mit BD thermos PRECITHERM 5000;PORHER;PU;321,45 €;221,69 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300038;BROSSETTE;SANITAIRE;32833800;447977;Mit BD mural EUROSMART COSMOMOPOLITAIN;F  GROHE;PU;132,12 €;91,12 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300039;BROSSETTE;SANITAIRE;33304001;447653;Mit BD mural EUROSMART NEW - nu;F  GROHE;PU;95,58 €;65,92 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300040;BROSSETTE;SANITAIRE;33412001;447658;Mit BD monotrou EUROSMART NEW;F  GROHE;PU;110,95 €;76,52 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
