_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
70000; CDL ; DIVERS ;80020;946293;SCOTCH SUPER 33+ 19MM  10M.;3 M; UN ;3,06;2,35
70001; CDL ; DIVERS ;80021;946311;SCOTCH SUPER 33+ 19MM  20M.;3 M; UN ;8,15;5,20
70002; CDL ; DIVERS ;84890;949806;CONNECTEUR RAPIDE TELEPHONE;3 M; CE ;12,78;8,63
70003; CDL ; APPAREILLAGE ;190160;204513;JEU DE BARRES INTER DIFF+ 11 SN201L (VISSEE ET RESSORT);ABB; UN ;10,05;7,09
70004; CDL ; APPAREILLAGE ;190161;204514;JEU DE BARRES 13 SN201L (VISSEE ET RESSORT) CAVALIER 27357 INTERDIT;ABB; UN ;6,06;4,19
70005; CDL ; APPAREILLAGE ;26506;262770;CONTACTEUR J/N 2 X 20 A;ABB; UN ;32,63;20,40
70006; CDL ; APPAREILLAGE ;27355;262771;PEIGNE DE RACCORDEMENT 12 MODULES ( PHASE );ABB; UN ;2,99;2,16
70007; CDL ; APPAREILLAGE ;27356;262772;PEIGNE DE RACCORDEMENT 12 MODULES  ( NEUTRE );ABB; UN ;2,99;2,16
70008; CDL ; APPAREILLAGE ;27357;262773;CAVALIER DE PONTAGE INTER DIFF/ PH. NEUTRE;ABB; UN ;4,99;3,65
70009; CDL ; APPAREILLAGE ;27402;262774;JONCTION PLAFOND/GOULOTTE;ABB; UN ;20,74;15,03
70010; CDL ; APPAREILLAGE ;27410;262777;GAINE TECHNIQUE KIT GTL ( CORP/COUVERCLE/CLOISON/SUPPORT/ AGRAFFE;ABB; UN ;73,14;51,46
70011; CDL ; APPAREILLAGE ;27415;262775;SUPPORTS DE COFFRET ( 2 PIECES );ABB; UN ;16,56;12,24
70012; CDL ; APPAREILLAGE ;27417;262776;JONCTION  COFFRET/GOULOTTE ( 2 PIECES );ABB; UN ;17,57;57,46
70013; CDL ; APPAREILLAGE ;435004;262789;TELERUPTEUR 16A - 250V  1F;ABB; UN ;17,43;11,60
70014; CDL ; APPAREILLAGE ;442041;265700;INTER. DIFF.  4 X 25 - 30 MA TYPE AC;ABB; UN ;61,34;45,34
70015; CDL ; APPAREILLAGE ;442051;262792;INTER. DIFF.  4 X 40 - 30 MA TYPE AC;ABB; UN ;67,29;49,77
70016; CDL ; APPAREILLAGE ;442061;262793;INTER. DIFF.  4 X 63 - 30 MA TYPE AC;ABB; UN ;96,82;70,78
70017; CDL ; APPAREILLAGE ;443041;262794;INTER. DIFF.  2 X 25 - 30 MA TYPE AC;ABB; UN ;32,76;25,33
70018; CDL ; APPAREILLAGE ;443051;262795;INTER. DIFF.  2 X 40 - 30 MA TYPE AC;ABB; UN ;34,63;24,22
70019; CDL ; APPAREILLAGE ;443061;262796;INTER. DIFF.  2 X 63 - 30 MA TYPE AC;ABB; UN ;55,19;38,05
70020; CDL ; APPAREILLAGE ;443151;262798;INTER. DIFF.  2 X 40 - 30 MA TYPE A;ABB; UN ;42,24;30,31
70021; CDL ; APPAREILLAGE ;443161;262799;INTER. DIFF.  2 X 63 - 30 MA  TYPE A;ABB; UN ;66,99;48,55
70022; CDL ; APPAREILLAGE ;470229;204344;DISJONCTEUR DIVISIONNAIRE PH+N  2 A;ABB; UN ;11,02;7,89
70023; CDL ; APPAREILLAGE ;470236;204348;DISJONCTEUR DIVISIONNAIRE PH+N 10 A;ABB; UN ;8,12;5,95
70024; CDL ; APPAREILLAGE ;470238;204349;DISJONCTEUR DIVISIONNAIRE PH+N 16 A;ABB; UN ;8,12;5,95
70025; CDL ; APPAREILLAGE ;470239;204354;DISJONCTEUR DIVISIONNAIRE PH+N 20 A;ABB; UN ;8,12;5,95
70026; CDL ; APPAREILLAGE ;470241;204356;DISJONCTEUR DIVISIONNAIRE PH+N 32 A;ABB; UN ;9,28;6,97
70027; CDL ; APPAREILLAGE ;470429;204357;DISJONCTEUR DIVISIONNAIRE PH+N  2 A  BORNES AUTO;ABB; UN ;11,02;8,81
70028; CDL ; APPAREILLAGE ;470436;204359;DISJONCTEUR DIVISIONNAIRE PH+N 10 A BORNES AUTO;ABB; UN ;8,69;6,53
70029; CDL ; APPAREILLAGE ;470438;204361;DISJONCTEUR DIVISIONNAIRE PH+N 16 A BORNES AUTO;ABB; UN ;8,69;6,53
70030; CDL ; APPAREILLAGE ;470439;204362;DISJONCTEUR DIVISIONNAIRE PH+N 20 A BORNES AUTO;ABB; UN ;8,69;6,53
70031; CDL ; APPAREILLAGE ;470441;204364;DISJONCTEUR DIVISIONNAIRE PH+N 32 A BORNES AUTO;ABB; UN ;9,28;7,41
70032; CDL ; APPAREILLAGE ;798751;262801;COFFRET DE DISTRIB. ALPHA 18 MODULES 1R;ABB; UN ;50,82;35,43
70033; CDL ; APPAREILLAGE ;798752;262802;COFFRET DE DISTRIB. ALPHA 36 MODULES 2R;ABB; UN ;73,96;51,54
70034; CDL ; APPAREILLAGE ;798753;265857;COFFRET DE DISTRIB. ALPHA 54 MODULES 3R;ABB; UN ;94,74;65,49
70035; CDL ; APPAREILLAGE ;798754;262803;COFFRET DE DISTRIB. ALPHA 72 MODULES 4R;ABB; UN ;147,12;102,00
70036; CDL ; APPAREILLAGE ;799101;210394;COFFRET DE DISTRIB. GALE'O 13 MODULES 1R;ABB; UN ;14,79;11,20
70037; CDL ; APPAREILLAGE ;799102;210395;COFFRET DE DISTRIB. GALE'O 26 MODULES 2R;ABB; UN ;22,85;16,57
70038; CDL ; APPAREILLAGE ;799103;210396;COFFRET DE DISTRIB. GALE'O 39 MODULES 3R;ABB; UN ;32,97;23,55
70039; CDL ; APPAREILLAGE ;799104;210397;COFFRET DE DISTRIB. GALE'O 52 MODULES 4R;ABB; UN ;48,29;33,82
70040; CDL ; APPAREILLAGE ;799150;205255;COFFRET DE COMMUNICATION BASIC;ABB; UN ;58,38;40,80
70041; CDL ; APPAREILLAGE ;799152;205256;COFFRET DE COMMUNICATION GRADE 1;ABB; UN ;237,08;102,00
70042; CDL ; APPAREILLAGE ;799153;205257;COFFRET DE COMMUNICATION GRADE 3;ABB; UN ;904,80;620,59
70043; CDL ; ECLAIRAGE ;AL10010;240140;SPOT TBT ENCASTRE FIXE 12V  Ø50 NICKEL;ABI ALUM; UN ;2,93;222,71
70044; CDL ; ECLAIRAGE ;AL10012;240141;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 OR BRILLANT;ABI ALUM; UN ;4,73;3,61
70045; CDL ; ECLAIRAGE ;AL10110KT;200431;KIT SPOT TBT ETANCHE  SDB FIXE  BLANC TRANSFO ELECTRO + LAMPE;ABI ALUM; UN ;38,28;26,40
70046; CDL ; ECLAIRAGE ;AL10402;240151;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 OR BRILLANT;ABI ALUM; UN ;7,83;5,99
70047; CDL ; ECLAIRAGE ;AL10800;240165;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 BLANC;ABI ALUM; UN ;5,47;4,18
70048; CDL ; ECLAIRAGE ;AL10950;208385;KIT SPOT TBT ELECTRONIQUE FIXE BLANC;ABI ALUM; UN ;14,50;10,00
70049; CDL ; ECLAIRAGE ;AL10952;208386;KIT SPOT TBT ELECTRONIQUE FIXE DORE;ABI ALUM; UN ;24,88;19,03
70050; CDL ; ECLAIRAGE ;AL10960;208387;KIT SPOT TBT ORIENTABLE ELECTRONIQUE BLANC;ABI ALUM; UN ;14,94;10,30
70051; CDL ; ECLAIRAGE ;AL10962;208388;KIT SPOT TBT ORIENTABLE ELECTRONIQUE DORE;ABI ALUM; UN ;26,91;20,58
70052; CDL ; ECLAIRAGE ;AL38602;250086;PROJECTEUR ETANCHE 300W NOIR;ABI ALUM; UN ;17,11;13,08
70053; CDL ; ECLAIRAGE ;AL38606;234781;PROJECTEUR ETANCHE 300W BLANC;ABI ALUM; UN ;17,11;13,08
70054; CDL ; GENIE CLIMATIQUE ;THXP075 - 150LF;328074;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ; UN ;814,60;496,67
70055; CDL ; GENIE CLIMATIQUE ;THXP075 - 200LF;328075;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ; UN ;815,50;497,54
70056; CDL ; GENIE CLIMATIQUE ;THXP100 - 200LF;328078;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ; UN ;840,40;528,91
70057; CDL ; GENIE CLIMATIQUE ;THXP100 - 220LF;328076;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ; UN ;867,30;502,34
70058; CDL ; GENIE CLIMATIQUE ;THXP100 - 180LF;328077;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ; UN ;823,90;512,78
70059; CDL ; GENIE CLIMATIQUE ;THXP125 - 200LF;328079;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ; UN ;905,80;552,39
70060; CDL ; GENIE CLIMATIQUE ;THXP125 - 220LF;328080;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ; UN ;972,40;592,88
70061; CDL ; GENIE CLIMATIQUE ;THXP150 - 180LF;328081;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ; UN ;942,80;575,03
70062; CDL ; GENIE CLIMATIQUE ;THXP150 - 220LF;328083;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ; UN ;1000,90;610,29
70063; CDL ; GENIE CLIMATIQUE ;THXP150 - 200LF;328082;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ; UN ;965,90;588,96
70064; CDL ; GENIE CLIMATIQUE ;THXP200 - 220LF;328084;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ; UN ;1118,20;658,17
70065; CDL ; GENIE CLIMATIQUE ;THXP200 - 200LF;328085;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ; UN ;1079,30;682,11
70066; CDL ; GENIE CLIMATIQUE ;TSL-050-050;820162;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  500W;ACOVA                          ; UN ;299,50;134,02
70067; CDL ; GENIE CLIMATIQUE ;TSL-075-050;820163;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  750W;ACOVA                          ; UN ;313,30;156,70
70068; CDL ; GENIE CLIMATIQUE ;TSL-100-050;820164;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT 1000W;ACOVA                          ; UN ;368,80;190,72
70069; CDL ; GENIE CLIMATIQUE ;TLN-050-050;342811;RADIATEUR SECHE-SERVIETTES  CALA  ELECT 500W;ACOVA                          ; UN ;393,70;243,62
70070; CDL ; GENIE CLIMATIQUE ;TLN-075-050;342812;RADIATEUR SECHE-SERVIETTES  CALA ELECT  750W;ACOVA                          ; UN ;427,60;264,64
70071; CDL ; GENIE CLIMATIQUE ;TLN-100-050;342813;RADIATEUR SECHE-SERVIETTES  CALA ELECT 1000W;ACOVA                          ; UN ;494,20;305,77
70072; CDL ; GENIE CLIMATIQUE ;TSXP-050-050;328087;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 500W;ACOVA                          ; UN ;601,60;392,82
70073; CDL ; GENIE CLIMATIQUE ;TSXP-075-050;328088;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 750W;ACOVA                          ; UN ;685,70;447,30
70074; CDL ; GENIE CLIMATIQUE ;TSXP-100-050;329651;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1000W;ACOVA                          ; UN ;794,90;518,64
70076; CDL ; GENIE CLIMATIQUE ;TSXP-150-080;329653;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1500W;ACOVA                          ; UN ;993,50;648,29
70077; CDL ; GENIE CLIMATIQUE ;TAQ-050-052;390259;RADIATEUR TAÏGA EVOLUTION  500 W;ACOVA                          ; UN ;458,30;279,13
70078; CDL ; GENIE CLIMATIQUE ;TAQ-075-060;390260;RADIATEUR TAÏGA EVOLUTION  750 W;ACOVA                          ; UN ;494,60;311,48
70079; CDL ; GENIE CLIMATIQUE ;TAQ-100-076;390261;RADIATEUR TAÏGA EVOLUTION 1000 W;ACOVA                          ; UN ;532,10;334,96
70080; CDL ; GENIE CLIMATIQUE ;TAQ-125-084;390262;RADIATEUR TAÏGA EVOLUTION 1250 W;ACOVA                          ; UN ;583,50;367,46
70081; CDL ; GENIE CLIMATIQUE ;TAQ-150-100;390263;RADIATEUR TAÏGA EVOLUTION 1500 W;ACOVA                          ; UN ;660,60;415,76
70082; CDL ; GENIE CLIMATIQUE ;TAQ-200-123;390264;RADIATEUR TAÏGA EVOLUTION 2000 W;ACOVA                          ; UN ;757,80;477,15
70089; CDL ; GENIE CLIMATIQUE ;TAX-050-037;352906;RADIATEUR ATOLL  500 W;ACOVA                          ; UN ;271,70;153,00
70090; CDL ; GENIE CLIMATIQUE ;TAX-075-045;352907;RADIATEUR ATOLL  750 W;ACOVA                          ; UN ;296,20;165,24
70091; CDL ; GENIE CLIMATIQUE ;TAX-100-061;352908;RADIATEUR ATOLL  1000 W;ACOVA                          ; UN ;347,20;183,60
