_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;
100000;SOCOLEC;DIVERS;80536;00033080536;BANDE ADHESIF ALU  (ROULEAU DE 50 M);3 M;1;6,24;4,30;;;;;;
100001;SOCOLEC;GENIE CLIMATIQUE;TLN-050-050;00029001915;RADIATEUR SECHE-SERVIETTES  CALA  ELECT 500W;ACOVA                          ;1;344,70;196,48;;;;;;
100002;SOCOLEC;GENIE CLIMATIQUE;TLN-075-050;00029001916;RADIATEUR SECHE-SERVIETTES  CALA ELECT  750W;ACOVA                          ;1;374,30;213,35;;;;;;
100003;SOCOLEC;GENIE CLIMATIQUE;TLN-100-050;00029001917;RADIATEUR SECHE-SERVIETTES  CALA ELECT 1000W;ACOVA                          ;1;432,70;246,64;;;;;;
100004;SOCOLEC;GENIE CLIMATIQUE;TMC06-050-053;00029002032;RADIATEUR VUELTA TMC   500 W;ACOVA                          ;1;510,50;306,30;;;;;;
100005;SOCOLEC;GENIE CLIMATIQUE;TMC06-075-062;00029002033;RADIATEUR VUELTA TMC   750W;ACOVA                          ;1;605,10;363,06;;;;;;
100006;SOCOLEC;GENIE CLIMATIQUE;TMC06-100-076;00029002034;RADIATEUR VUELTA TMC 1000 W;ACOVA                          ;1;661,20;396,72;;;;;;
100007;SOCOLEC;GENIE CLIMATIQUE;TMC06-125-090;00029002035;RADIATEUR VUELTA TMC 1250 W;ACOVA                          ;1;783,40;470,04;;;;;;
100008;SOCOLEC;GENIE CLIMATIQUE;TMC06-150-104;00029002036;RADIATEUR VUELTA TMC 1500 W;ACOVA                          ;1;849,50;509,70;;;;;;
100009;SOCOLEC;GENIE CLIMATIQUE;TMC06-200-131;00029002037;RADIATEUR VUELTA TMC 2000 W;ACOVA                          ;1;1035,30;621,18;;;;;;
100010;SOCOLEC;GENIE CLIMATIQUE;THXP200 - 200LF;00029004225;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ;1;1150,60;655,84;;;;;;
100011;SOCOLEC;GENIE CLIMATIQUE;THXP200 - 220LF;00029002226;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ;1;1192,00;679,44;;;;;;
100012;SOCOLEC;GENIE CLIMATIQUE;TSXP-050-050LF;00029002702;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 500W;ACOVA                          ;1;500,00;285,00;;;;;;
100013;SOCOLEC;GENIE CLIMATIQUE;TSXP-075-050LF;00029002703;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 750W;ACOVA                          ;1;576,00;328,32;;;;;;
100014;SOCOLEC;GENIE CLIMATIQUE;TSXP-100-050LF;00029002704;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1000W;ACOVA                          ;1;674,00;384,18;;;;;;
100015;SOCOLEC;GENIE CLIMATIQUE;TSXP-125-060LF;00029002705;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1250W;ACOVA                          ;1;778,00;443,46;;;;;;
100016;SOCOLEC;GENIE CLIMATIQUE;TSXP-150-080LF;00029002706;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1500W;ACOVA                          ;1;852,00;485,64;;;;;;
100017;SOCOLEC;GENIE CLIMATIQUE;TAQ-050-052;00029002734;RADIATEUR TAÏGA EVOLUTION  500 W;ACOVA                          ;1;486,20;277,13;;;;;;
100018;SOCOLEC;GENIE CLIMATIQUE;TAQ-075-060;00029002735;RADIATEUR TAÏGA EVOLUTION  750 W;ACOVA                          ;1;524,70;299,08;;;;;;
100019;SOCOLEC;GENIE CLIMATIQUE;TAQ-100-076;00029002736;RADIATEUR TAÏGA EVOLUTION 1000 W;ACOVA                          ;1;564,50;321,77;;;;;;
100020;SOCOLEC;GENIE CLIMATIQUE;TAQ-125-084;00029002737;RADIATEUR TAÏGA EVOLUTION 1250 W;ACOVA                          ;1;619,00;352,83;;;;;;
100021;SOCOLEC;GENIE CLIMATIQUE;TAQ-150-100;00029002738;RADIATEUR TAÏGA EVOLUTION 1500 W;ACOVA                          ;1;700,80;399,46;;;;;;
100022;SOCOLEC;GENIE CLIMATIQUE;TAQ-200-123;00029002739;RADIATEUR TAÏGA EVOLUTION 2000 W;ACOVA                          ;1;803,90;458,22;;;;;;
100023;SOCOLEC;GENIE CLIMATIQUE;TFAS-050-050;00029002917;RADIATEUR SECHE-SERVIETTES  FASSANE SPA EL  500W BLC;ACOVA                          ;1;417,80;238,15;;;;;;
100024;SOCOLEC;GENIE CLIMATIQUE;TFAS-075-050;00029002918;RADIATEUR SECHE-SERVIETTES  FASSANE SPA EL  750W BLC;ACOVA                          ;1;453,60;258,55;;;;;;
100025;SOCOLEC;GENIE CLIMATIQUE;TFAS-100-050;00029002919;RADIATEUR SECHE-SERVIETTES  FASSANE SPA EL 1000W BLC;ACOVA                          ;1;524,20;298,79;;;;;;
100026;SOCOLEC;GENIE CLIMATIQUE;TAX-050-037;00029003969;RADIATEUR ATOLL 500W;ACOVA                          ;1;288,30;158,57;;;;;;
100027;SOCOLEC;GENIE CLIMATIQUE;TAX-075-045;00029003970;RADIATEUR ATOLL 750W;ACOVA                          ;1;314,30;172,87;;;;;;
100028;SOCOLEC;GENIE CLIMATIQUE;TAX-100-061;00029003971;RADIATEUR ATOLL 1000W;ACOVA                          ;1;368,30;202,57;;;;;;
100029;SOCOLEC;GENIE CLIMATIQUE;TAX-125-077;00029003972;RADIATEUR ATOLL 1250W;ACOVA                          ;1;411,70;226,44;;;;;;
100030;SOCOLEC;GENIE CLIMATIQUE;TAX-150-093;00029003973;RADIATEUR ATOLL 1500W;ACOVA                          ;1;466,00;256,30;;;;;;
100031;SOCOLEC;GENIE CLIMATIQUE;THXP075 - 150LF;00029004215;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ;1;868,40;494,99;;;;;;
100032;SOCOLEC;GENIE CLIMATIQUE;THXP075 - 200LF;00029004216;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ;1;869,30;495,50;;;;;;
100033;SOCOLEC;GENIE CLIMATIQUE;THXP100 - 180LF;00029004217;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;1;878,30;500,63;;;;;;
100034;SOCOLEC;GENIE CLIMATIQUE;THXP100 - 200LF;00029004218;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;1;895,90;510,66;;;;;;
100035;SOCOLEC;GENIE CLIMATIQUE;THXP100 - 220LF;00029004219;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;1;924,60;527,02;;;;;;
100036;SOCOLEC;GENIE CLIMATIQUE;THXP125 - 200LF;00029004220;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ;1;965,60;550,39;;;;;;
100037;SOCOLEC;GENIE CLIMATIQUE;THXP125 - 220LF;00029004221;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ;1;1036,60;590,86;;;;;;
100038;SOCOLEC;GENIE CLIMATIQUE;THXP150 - 180LF;00029004222;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;1;1005,10;572,91;;;;;;
100039;SOCOLEC;GENIE CLIMATIQUE;THXP150 - 200LF;00029004223;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;1;1029,70;586,93;;;;;;
100040;SOCOLEC;GENIE CLIMATIQUE;THXP150 - 220LF;00029004224;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;1;1067,00;608,19;;;;;;
100041;SOCOLEC;GENIE CLIMATIQUE;TSL-050-050-TF;00029232069;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  500W;ACOVA                          ;1;288,30;164,33;;;;;;
100042;SOCOLEC;GENIE CLIMATIQUE;TSL-075-050-TF;00029232070;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  750W;ACOVA                          ;1;314,30;179,15;;;;;;
100043;SOCOLEC;GENIE CLIMATIQUE;TSL-100-050-TF;00029232071;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT 1000W;ACOVA                          ;1;368,30;209,93;;;;;;
100044;SOCOLEC;GENIE CLIMATIQUE;TLN-125-060;00029232320;RADIATEUR SECHE-SERVIETTES  CALA ELECT 1250W;ACOVA                          ;1;496,50;283,01;;;;;;
100045;SOCOLEC;GENIE CLIMATIQUE;LN112-050S;00029232329;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  612+1000W BLANC;ACOVA                          ;1;460,60;262,54;;;;;;
100046;SOCOLEC;GENIE CLIMATIQUE;LN172-050S;00029232352;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  880+1000W BLANC;ACOVA                          ;1;503,80;287,17;;;;;;
100047;SOCOLEC;GENIE CLIMATIQUE;LN180-050S;00029232353;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  973+1000W BLANC;ACOVA                          ;1;516,10;294,18;;;;;;
100048;SOCOLEC;GENIE CLIMATIQUE;LNO112-050S;00029232354;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  402+1000W CHROME;ACOVA                          ;1;1249,00;711,93;;;;;;
100049;SOCOLEC;GENIE CLIMATIQUE;LNO172-050S;00029232355;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  578+1000W CHROME;ACOVA                          ;1;1523,70;868,51;;;;;;
100050;SOCOLEC;GENIE CLIMATIQUE;TLN050-050IFS;00029232356;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  500+1000W BLANC;ACOVA                          ;1;594,70;338,98;;;;;;
100051;SOCOLEC;GENIE CLIMATIQUE;TLN075-050IFS;00029232357;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  750+1000W BLANC;ACOVA                          ;1;624,30;355,85;;;;;;
100052;SOCOLEC;GENIE CLIMATIQUE;TLN100-050IFS;00029232358;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  1000+1000W BLANC;ACOVA                          ;1;682,70;389,14;;;;;;
100053;SOCOLEC;GENIE CLIMATIQUE;TLNO030-050IFS;00029232359;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  300+1000W CHROME;ACOVA                          ;1;959,00;546,63;;;;;;
100054;SOCOLEC;GENIE CLIMATIQUE;TLNO050-050IFS;00029232360;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  500+1000W CHROME;ACOVA                          ;1;999,00;569,43;;;;;;
100055;SOCOLEC;GENIE CLIMATIQUE;11011333;00046011333;MANCHON DE RACCORDEMENT POUR ENTREE D'AIR L90;ALDES ;1;20,07;11,64;;;;;;
100056;SOCOLEC;GENIE CLIMATIQUE;11011413;00046011413;FLASQUE LONG;ALDES ;1;4,93;2,86;;;;;;
100057;SOCOLEC;GENIE CLIMATIQUE;11011510;00046011510;ENTREE D'AIR AUTOREGLABLE EMMA BLANC;ALDES ;1;3,83;2,22;;;;;;
100058;SOCOLEC;GENIE CLIMATIQUE;11011539;00046011539;ENTREE D'AIR ACOUSTIQUE MODULE 30;ALDES ;1;15,80;9,16;;;;;;
100059;SOCOLEC;GENIE CLIMATIQUE;11011546;00046011546;ENTREE D'AIR ACOUSTIQUE MODULE 22;ALDES ;1;15,80;9,16;;;;;;
100060;SOCOLEC;GENIE CLIMATIQUE;11011552;00046011552;ENTREE D'AIR ACOUSTIQUE  ELLIA MODULE 22;ALDES ;1;24,10;13,98;;;;;;
100061;SOCOLEC;GENIE CLIMATIQUE;11011554;00046011554;ENTREE D'AIR ACOUSTIQUE  EAI MODULE 30;ALDES ;1;16,30;9,45;;;;;;
100062;SOCOLEC;GENIE CLIMATIQUE;11011555;00046011555;ENTREE D'AIR ACOUSTIQUE  EAI MODULE 22;ALDES ;1;16,30;9,45;;;;;;
100063;SOCOLEC;GENIE CLIMATIQUE;11011568;00046011568;ENTREE D'AIR AUTOREGLABLE EMMA MODULES 22- 30-45;ALDES ;1;5,32;3,09;;;;;;
100064;SOCOLEC;GENIE CLIMATIQUE;11011988;00046011988;AUVENT STANDARD;ALDES ;1;1,68;0,97;;;;;;
100065;SOCOLEC;GENIE CLIMATIQUE;11012402;00046012402;BOUCHE INSUFFLATION BIO Ø80 POUR DEE-FLY;ALDES ;1;10,10;5,86;;;;;;
100066;SOCOLEC;GENIE CLIMATIQUE;11014170;00046014170;ENTREE D'AIR HYGROREGLABLES  EHB;ALDES ;1;28,00;14,00;;;;;;
100067;SOCOLEC;GENIE CLIMATIQUE;11015102;00046015102;BOUCHE HYGROREGLABLE BWC ELECTRIQUE PRESENCE;ALDES ;1;72,00;36,00;;;;;;
100068;SOCOLEC;GENIE CLIMATIQUE;11015180;00046015180;BOUCHE HYGROREGLABLE BWC 30 CORDELETTE;ALDES ;1;47,80;27,72;;;;;;
100069;SOCOLEC;GENIE CLIMATIQUE;11019090;00046019090;BOUCHE AUTOREGLABLE BAP'SI MODULO Ø 125  15/22/30 M3H AVEC FÛT POUR SANITAIRES (MONO DEBIT);ALDES ;1;19,00;11,02;;;;;;
100070;SOCOLEC;GENIE CLIMATIQUE;11019091;00046019091;BOUCHE AUTOREGLABLE BAP'SI MODULO Ø 125  30/45/60 M3H AVEC FÛT POUR SANITAIRES (MONO DEBIT);ALDES ;1;19,00;11,02;;;;;;
100071;SOCOLEC;GENIE CLIMATIQUE;11019092;00046019092;BOUCHE AUTOREGLABLE BAP'SI MODULO Ø 125  20/75- 30/90 M3H AVEC FÛT POUR CUISINE  (DOUBLE DEBIT);ALDES ;1;32,00;18,56;;;;;;
100072;SOCOLEC;GENIE CLIMATIQUE;11019093;00046019093;BOUCHE AUTOREGLABLE BAP'SI MODULO Ø 125  45/105- 45/120-45/135 M3H AVEC FÛT POUR CUISINE  (DOUBLE DEBIT);ALDES ;1;32,00;18,56;;;;;;
100073;SOCOLEC;GENIE CLIMATIQUE;11022001;00046022001;MANCHETTE VAHINEE Ø80  HT133MM;ALDES ;1;8,14;4,72;;;;;;
100074;SOCOLEC;GENIE CLIMATIQUE;11022036;00046022036;CHATIERE GRISE+ PL. DE PLOMB (125. 150 MM);ALDES ;1;73,40;42,57;;;;;;
100075;SOCOLEC;GENIE CLIMATIQUE;11022037;00046022037;SORTIE TOITURE RONDE  + PL. DE PLOMB;ALDES ;1;135,00;78,30;;;;;;
100076;SOCOLEC;GENIE CLIMATIQUE;11022042;00046022042;CHATIERE BRUNE+ PL. DE PLOMB (125. 150 MM);ALDES ;1;73,40;42,57;;;;;;
100077;SOCOLEC;GENIE CLIMATIQUE;11022066;00046022066;MANCHETTE TRIDENT Ø80  HT140MM;ALDES ;1;6,97;4,04;;;;;;
100078;SOCOLEC;GENIE CLIMATIQUE;11023002;00046023002;COUDE VERTICAL 90° POUR CONDUIT Ø 80;ALDES ;1;3,37;1,95;;;;;;
100079;SOCOLEC;GENIE CLIMATIQUE;11023017;00046023017;RACCORD DROIT F 40X100;ALDES ;1;1,15;0,67;;;;;;
100080;SOCOLEC;GENIE CLIMATIQUE;11023037;00046023037;CAISSON REPARTITEUR INSUFLATION CIRCULAIRE ISOLE Ø125, 6 PIQUAGES Ø80;ALDES ;1;99,00;57,42;;;;;;
100081;SOCOLEC;GENIE CLIMATIQUE;11023059;00046023059;UNITE FILTRANTE Ø160 POUR DEE-FLY;ALDES ;1;88,40;51,27;;;;;;
100082;SOCOLEC;GENIE CLIMATIQUE;11023077;00046023077;KIT ACCESSOIRES INSUFFLATION 5 BOUCHES ( LIVRE AVEC 5 COUDES MINIGAINE POUR BOUCHES);ALDES ;1;64,10;37,18;;;;;;
100083;SOCOLEC;GENIE CLIMATIQUE;11023078;00046023078;KIT ACCESSOIRES EXTRACTION CUISINE + 2 SANITAIRES ( LIVRE AVEC 2 COUDES MINIGAINE POUR BOUCHES);ALDES ;1;66,30;38,45;;;;;;
100084;SOCOLEC;GENIE CLIMATIQUE;11023079;00046023079;KIT ACCESSOIRES INSUFFLATION SUPPLEMENTAIRE 1 BOUCHE ( LIVRE AVEC 1 COUDES MINIGAINE POUR BOUCHES);ALDES ;1;13,30;7,71;;;;;;
100085;SOCOLEC;GENIE CLIMATIQUE;11023114;00046023114;KIT ACCESSOIRES INSUFFLATION 5 BOUCHES BIO + 5 MANCHETTES TRIDENT Ø80;ALDES ;1;68,40;36,94;;;;;;
100086;SOCOLEC;GENIE CLIMATIQUE;11023115;00046023115;KIT ACCESSOIRES EXTRACTION CUISINE + 2 SANITAIRES Ø125;ALDES ;1;6,48;3,50;;;;;;
100087;SOCOLEC;GENIE CLIMATIQUE;11023135;00046023135;VMC DOUBLE FLUX MOTO VENTILATEUR DEE FLY HTE EFFICACITE MV300-HE MICRO-WATT;ALDES ;1;1100,00;594,00;;;;;;
100088;SOCOLEC;GENIE CLIMATIQUE;11023139;00046023139;CAISSON ECHANGEUR ES300-HE BYPASS + CDE;ALDES ;1;1340,00;723,60;;;;;;
100089;SOCOLEC;GENIE CLIMATIQUE;11023194;00046023194;CAISSON DE RACCORDEMENT T.FLOW;ALDES ;1;101,00;58,58;;;;;;
100090;SOCOLEC;GENIE CLIMATIQUE;11023195;00046023195;CAISSON DE REPARTITION T.ZEN;ALDES ;1;101,00;58,58;;;;;;
100091;SOCOLEC;GENIE CLIMATIQUE;11023970;00046023970;RACCORD DROIT F 60X200;ALDES ;1;4,15;2,41;;;;;;
100092;SOCOLEC;GENIE CLIMATIQUE;11023971;00046023971;MINIGAINE OBLONGUE 60X200MM. LA BARRE DE 3M;ALDES ;1;27,20;15,78;;;;;;
100093;SOCOLEC;GENIE CLIMATIQUE;11023972;00046023972;REDUCTION MINIGAINE 60X200MM;ALDES ;1;5,43;3,15;;;;;;
100094;SOCOLEC;GENIE CLIMATIQUE;11023973;00046023973;COUDE HORIZONTAL 90° 60X200;ALDES ;1;9,55;5,54;;;;;;
100095;SOCOLEC;GENIE CLIMATIQUE;11023974;00046023974;COUDE VERTICAL 90° 60X200;ALDES ;1;7,73;4,48;;;;;;
100096;SOCOLEC;GENIE CLIMATIQUE;11023975;00046023975;COUDE VERTICAL 90° POUR CONDUIT Ø125;ALDES ;1;7,42;4,30;;;;;;
100097;SOCOLEC;GENIE CLIMATIQUE;11023976;00046023976;COUDE VERTICAL 90° 40X100;ALDES ;1;5,91;3,43;;;;;;
100098;SOCOLEC;GENIE CLIMATIQUE;11023977;00046023977;COUDE HORIZONTAL 90° 40X100;ALDES ;1;6,36;3,69;;;;;;
100099;SOCOLEC;GENIE CLIMATIQUE;11023978;00046023978;RACCORD MIXTE OBL. CIRC. DROIT D80;ALDES ;1;6,62;3,84;;;;;;
100100;SOCOLEC;GENIE CLIMATIQUE;11023979;00046023979;TE MIXTE VERTICAL POUR BOUCHE DE 125;ALDES ;1;16,40;9,51;;;;;;
100101;SOCOLEC;GENIE CLIMATIQUE;11023980;00046023980;TE 90° HORIZONTAL Ø125;ALDES ;1;16,40;9,51;;;;;;
100102;SOCOLEC;GENIE CLIMATIQUE;11023994;00046023994;COUDE HORIZONTAL 90° POUR CONDUIT Ø125;ALDES ;1;10,40;6,03;;;;;;
