_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
100000;SOCOLEC;REGULATION DE CHAUFFAGE;7820030;73878201;THERMOSTAT D'AMBIANCE ANALOGIQUE RAMSES 782 24H/7J 230V RESERVE DE MARCHE 3 JOURS;THEBEN ;UN;152;108,59
100001;SOCOLEC;REGULATION DE CHAUFFAGE;7220030;73872201;THERMOSTAT D'AMBIANCE ANALOGIQUE RAMSES 782 24H/7J 230V SANS RESERVE DE MARCHE;THEBEN ;UN;130;92,68
100002;SOCOLEC;REGULATION DE CHAUFFAGE;8119132;73881113;THERMOSTAT D'AMBIANCE DIGITAL RAMSES 811 TOP 2 24H/7J BLANC A PILES;THEBEN ;UN;117;83,74
100003;SOCOLEC;REGULATION DE CHAUFFAGE;8120132;73881203;THERMOSTAT D'AMBIANCE DIGITAL RAMSES 812 TOP 2   24H/7J  230V RESERVE DE MARCHE 3H;THEBEN ;UN;137;98,16
100004;SOCOLEC;REGULATION DE CHAUFFAGE;8139503;73881316;THERMOSTAT D'AMBIANCE DIGITAL RAMSES 813 TOP 2  HF SET A  RADIO SANS FIL  A PILES;THEBEN ;UN;279;199,63
100005;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;326216;16326216;CHAUFFE EAU BLINDE 15L SOUS EVIER MONO;ATLANTIC;UN;179;127,86
100006;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;325216;16325216;CHAUFFE EAU BLINDE 15L SUR EVIER MONO SERIE COMPACTE;ATLANTIC;UN;179;127,86
100007;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;325116;16325116;CHAUFFE EAU BLINDE 15R SUR EVIER MONO SERIE ETROITE;ATLANTIC;UN;179;127,86
100008;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;321104;16321104;CHAUFFE EAU BLINDE 30L MONO SUR EVIER SERIE ETROITE;ATLANTIC;UN;203;144,65
100009;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;327106;16327106;CHAUFFE EAU BLINDE 50L MONO SUR EVIER SERIE ETROITE;ATLANTIC;UN;211;150,77
100010;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;23110;16023110;CHAUFFE EAU BLINDE HM 100L MONO HORIZONTAL;ATLANTIC;UN;374;267,5
100011;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;23115;16023115;CHAUFFE EAU BLINDE HM 150L MONO HORIZONTAL;ATLANTIC;UN;443;316,47
100012;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;23120;16023120;CHAUFFE EAU BLINDE HM 200L MONO HORIZONTAL;ATLANTIC;UN;490;350,2
100013;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;23107;16023107;CHAUFFE EAU BLINDE HM 75L MONO HORIZONTAL;ATLANTIC;UN;332;237,47
100014;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;321105;16321105;CHAUFFE EAU BLINDE VM  50L MONO MURAL;ATLANTIC;UN;224;159,92
100015;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;21107;16021107;CHAUFFE EAU BLINDE VM  75L MONO MURAL;ATLANTIC;UN;230;164,27
100016;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;21110;16021110;CHAUFFE EAU BLINDE VM 100L MONO MURAL;ATLANTIC;UN;187;133,67
100017;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;21115;16021115;CHAUFFE EAU BLINDE VM 150L MONO MURAL;ATLANTIC;UN;218;155,47
100018;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;21315;16021315;CHAUFFE EAU BLINDE VM 150L TC MURAL;ATLANTIC;UN;332;237,48
100019;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;21120;16021120;CHAUFFE EAU BLINDE VM 200L MONO MURAL;ATLANTIC;UN;249;177,63
100020;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;21320;16021320;CHAUFFE EAU BLINDE VM 200L TC MURAL;ATLANTIC;UN;377;269,29
100021;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;22115;16022115;CHAUFFE EAU BLINDE VS 150L MONO S/SOCLE;ATLANTIC;UN;389;277,7
100022;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;22120;16022120;CHAUFFE EAU BLINDE VS 200L MONO S/SOCLE;ATLANTIC;UN;451;322
100023;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;22320;16022320;CHAUFFE EAU BLINDE VS 200L TC S/SOCLE;ATLANTIC;UN;467;333,43
100024;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;22125;16022125;CHAUFFE EAU BLINDE VS 250L MONO S/SOCLE;ATLANTIC;UN;365;261
100025;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;22325;16022325;CHAUFFE EAU BLINDE VS 250L TC S/SOCLE;ATLANTIC;UN;528;377,28
100026;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;22130;16022130;CHAUFFE EAU BLINDE VS 300L MONO S/SOCLE;ATLANTIC;UN;387;276,48
100027;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;22330;16022330;CHAUFFE EAU BLINDE VS 300L TC S/SOCLE;ATLANTIC;UN;552;394,63
100028;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;322350;16322350;CHAUFFE EAU BLINDE VS 500L TC S/SOCLE;ATLANTIC;UN;1321;943,65
100029;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;155410;16155410;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO HM 100L MONO HORIZONTAL Ø 530  HT 840;ATLANTIC;UN;428;305,67
100030;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;155415;16155415;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO HM 150L MONO HORIZONTAL Ø 530  HT 1140;ATLANTIC;UN;496;354,43
100031;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;155420;16155420;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO HM 200L MONO HORIZONTAL Ø 530  HT 1460;ATLANTIC;UN;582;415,38
100032;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;153105;16153105;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VM  50L MONO MURAL Ø 505  HT 570;ATLANTIC;UN;292;208,59
100033;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;153107;16153107;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VM  75L MONO MURAL Ø 510  HT 700;ATLANTIC;UN;307;219,43
100034;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;153110;16153110;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VM 100 L MONO MURAL Ø 510  HT 865;ATLANTIC;UN;295;210,89
100035;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;153115;16153115;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VM 150 L MONO MURAL Ø 530  HT 1165;ATLANTIC;UN;337;240,79
100036;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;153120;16153120;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VM 200L MONO MURAL Ø 530  HT 1480;ATLANTIC;UN;386;275,59
100037;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;154315;16154315;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VS 150L MONO S/SOCLE Ø 530  HT1170;ATLANTIC;UN;546;389,64
100038;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;154320;16154320;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VS 200L MONO S/SOCLE Ø 530  HT1485;ATLANTIC;UN;616;440,21
100039;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;154325;16154325;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VS 250L MONO S/SOCLE Ø 530  HT 1805;ATLANTIC;UN;612;437,35
100040;SOCOLEC;CHAUFFE-EAU ELECTRIQUE;154330;16154330;CHAUFFE EAU STEATITE ACI HYBRIDE ZENEO VS 300L MONO S/SOCLE Ø 570  HT 1765;ATLANTIC;UN;640;457
