_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
800000;BROSSETTE;CHAUFFAGE;523859C300;1763300;AGRAFEFIXATIONLONGØ16&20POURDALLEPLANEEP40-50MMLESACHETDE300;ACOME;un;51;36,47
800001;BROSSETTE;CHAUFFAGE;523986-C300;3072964;AGRAFEFIXATIONCOURTØ16&20POURDALLEPLANEEP30MMLESACHETDE300;ACOME;un;45;32,22
800002;BROSSETTE;SECHE-SERVIETTES;SL-120-050;1681801;RADIATEURSECHE-SERVIETTESATOLLEC571WDROIT;ACOVA;un;165;118,20
800003;BROSSETTE;SECHE-SERVIETTES;SL-150-060;1681802;RADIATEURSECHE-SERVIETTESATOLLEC839WDROIT;ACOVA;un;202;144,60
800004;BROSSETTE;SECHE-SERVIETTES;SL-170-075;1681804;RADIATEURSECHE-SERVIETTESATOLLEC1154WDROIT;ACOVA;un;244;174,38
800005;BROSSETTE;CHAUFFAGE;716866;3047569;DALLEPLANEELEAEVOLUTIONLG1200MMLARG1000MMEP50MMR=2.10;ACOME;un;21;14,90
800006;BROSSETTE;CHAUFFAGE;716904;3047567;DALLEPLANEELEAEVOLUTIONLG1200MMLARG1000MMEP25MMR=1.05;ACOME;un;14;9,92
800007;BROSSETTE;CHAUFFAGE;716905;3047568;DALLEPLANEELEAEVOLUTIONLG1200MMLARG1000MMEP40MMR=1.70;ACOME;un;18;12,65
800008;BROSSETTE;CHAUFFAGE;716907;3047572;DALLEPLANEELEAEVOLUTIONLG1200MMLARG1000MMEP60MMR=2.60;ACOME;un;24;17,42
800009;BROSSETTE;CHAUFFAGE;525865;3354465;MODULEALLERRETOURAVECDEBIMETRERACCORDRAPIDE;ACOME;un;76;54,62
800010;BROSSETTE;RADIATEUREAUCHAUDE;RX04-200-040;1019614;RADIATEURACIERCLARIANSIMPLEVERTICALRX04-200-0401220WHT20010ELEMENTS;ACOVA;un;540;385,73
800011;BROSSETTE;RADIATEUREAUCHAUDE;RX04-200-60;1019616;RADIATEURACIERCLARIANSIMPLEVERTICALRX04-200-601830WHT20015ELEMENTS;ACOVA;un;759;542,48
800012;BROSSETTE;RADIATEUREAUCHAUDE;RX04-200-80;1019617;RADIATEURACIERCLARIANSIMPLEVERTICALRX04-200-802440WHT20020ELEMENTS;ACOVA;un;982;701,18
800013;BROSSETTE;RADIATEUREAUCHAUDE;SHXD060-059;3230808;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD060-059615W;ACOVA;un;359;256,43
800014;BROSSETTE;RADIATEUREAUCHAUDE;SHXD060-074;3230835;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD060-074769W;ACOVA;un;1151;822,00
800015;BROSSETTE;RADIATEUREAUCHAUDE;SHXD060-088;3230814;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD060-088923W;ACOVA;un;532;380,25
800016;BROSSETTE;RADIATEUREAUCHAUDE;SHXD060-104;3230816;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD060-1041077W;ACOVA;un;611;436,65
800017;BROSSETTE;SECHE-SERVIETTES;TSX-100-050;1019592;RADIATEURSECHE-SERVIETTESREGATEELECTRIQUE1000W;ACOVA;un;770;549,68
800018;BROSSETTE;SECHE-SERVIETTES;SX-104-050;1019578;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE504WBLANC;ACOVA;un;471;336,53
800019;BROSSETTE;SECHE-SERVIETTES;SX-148-050;1019580;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE691WBLANC;ACOVA;un;616;440,33
800020;BROSSETTE;SECHE-SERVIETTES;SX-185-060;1019581;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE980WBLANC;ACOVA;un;766;546,98
800021;BROSSETTE;SECHE-SERVIETTES;SX-126-050;1019579;RADIATEURSECHE-SERVIETTESREGATEEAUCHAUDE583WBLANC;ACOVA;un;548;391,58
800022;BROSSETTE;SECHE-SERVIETTES;ASX-148-050;1019586;RADIATEURSECHE-SERVIETTESREGATEMIXTE691/900WBLANC;ACOVA;un;960;685,80
800023;BROSSETTE;SECHE-SERVIETTES;ASX-185-060;1019587;RADIATEURSECHE-SERVIETTESREGATEMIXTE980/1200WBLANC;ACOVA;un;1141;815,03
800024;BROSSETTE;SECHE-SERVIETTES;ASX-215-080;1019589;RADIATEURSECHE-SERVIETTESREGATEMIXTE1479/2000WBLANC;ACOVA;un;1367;976,65
800025;BROSSETTE;SECHE-SERVIETTES;ASX-126-050;1019585;RADIATEURSECHE-SERVIETTESREGATEMIXTE583/600WBLANC;ACOVA;un;839;599,40
800026;BROSSETTE;SECHE-SERVIETTES;TSX-050-050;1019590;RADIATEURSECHE-SERVIETTESREGATEELECTRIQUE500W;ACOVA;un;571;407,78
800027;BROSSETTE;SECHE-SERVIETTES;TSX-075-050;1019591;RADIATEURSECHE-SERVIETTESREGATEELECTRIQUE750W;ACOVA;un;658;469,80
800028;BROSSETTE;RADIATEUREAUCHAUDE;SHXD070-059;3230818;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD070-059708W;ACOVA;un;382;272,85
800030;BROSSETTE;SECHE-SERVIETTES;FR118-055;1117698;RADIATEURSECHE-SERVIETTESFASSANESPAASYMETRIQUEEC594WBLC;ACOVA;un;396;282,68
800031;BROSSETTE;RADIATEUREAUCHAUDE;SHXD070-074;3230822;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD070-074885W;ACOVA;un;461;329,63
800032;BROSSETTE;SECHE-SERVIETTES;FR168-055;1117709;RADIATEURSECHE-SERVIETTESFASSANESPAASYMETRIQUEEC809WBLC;ACOVA;un;513;366,75
800033;BROSSETTE;CHAUFFAGE;893203;1971208;ADJUVANTBETONBIDONDE5L;ACOME;un;34;24,55
800034;BROSSETTE;RADIATEUREAUCHAUDE;SHXD070-088;3230824;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD070-0881062W;ACOVA;un;553;395,03
800035;BROSSETTE;RADIATEUREAUCHAUDE;SHXD070-104;3230825;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD070-1041269W;ACOVA;un;646;461,25
800036;BROSSETTE;RADIATEUREAUCHAUDE;SHXD200-029;3230828;RADIATEURACIERFASSANEDOUBLEVERTICALSHXD200-029900W;ACOVA;un;620;442,95
800037;BROSSETTE;RADIATEUREAUCHAUDE;SHXD200-044;3230831;RADIATEURACIERFASSANEDOUBLEVERTICALSHXD200-0441350W;ACOVA;un;788;563,18
800038;BROSSETTE;RADIATEUREAUCHAUDE;SHXD200-074;3230835;RADIATEURACIERFASSANEDOUBLEVERTICALSHXD200-0742250W;ACOVA;un;1151;822,00
800039;BROSSETTE;RADIATEUREAUCHAUDE;SHXD200-059;3230833;RADIATEURACIERFASSANEDOUBLEVERTICALSHXD200-0591800W;ACOVA;un;969;692,40
800040;BROSSETTE;RADIATEUREAUCHAUDE;VX074-120;1019629;RADIATEURACIERFASSANESIMPLEHORIZONTAL736X1200988W;ACOVA;un;483;345,08
800041;BROSSETTE;RADIATEUREAUCHAUDE;V6LX044-100;1019618;RADIATEURACIERFASSANESIMPLEHORIZONTALAAILETTESV6LX044-100440X1000845W;ACOVA;un;430;306,98
800042;BROSSETTE;RADIATEUREAUCHAUDE;V8LX059-090;1019619;RADIATEURACIERFASSANESIMPLEHORIZONTALAAILETTESV8LX059-090558X900945W;ACOVA;un;481;343,88
800043;BROSSETTE;RADIATEUREAUCHAUDE;V8LX074-100;1019620;RADIATEURACIERFASSANESIMPLEHORIZONTALAAILETTESV8LX074-100736X10001210W;ACOVA;un;570;406,80
800044;BROSSETTE;RADIATEUREAUCHAUDE;VX059-090;1019626;RADIATEURACIERFASSANESIMPLEHORIZONTALVX059-090590X900599W;ACOVA;un;345;246,38
800045;BROSSETTE;RADIATEUREAUCHAUDE;SHX200-029;3230798;RADIATEURACIERFASSANESIMPLEVERTICALSHX200-029620W;ACOVA;un;306;218,48
800046;BROSSETTE;RADIATEUREAUCHAUDE;SHX200-044;3230803;RADIATEURACIERFASSANESIMPLEVERTICALSHX200-044930W;ACOVA;un;397;283,50
800047;BROSSETTE;RADIATEUREAUCHAUDE;SHX200-059;3230805;RADIATEURACIERFASSANESIMPLEVERTICALSHX200-0591240W;ACOVA;un;496;354,00
800048;BROSSETTE;RADIATEUREAUCHAUDE;SHX200-074;3230806;RADIATEURACIERFASSANESIMPLEVERTICALSHX200-0741550W;ACOVA;un;593;423,68
800049;BROSSETTE;CHAUFFAGE;716822R45;3498183;BANDEPERIPHERIQUEADHESIVEHT150ROULEAUDE45MLPRIXAUML;ACOME;un;71;50,45
800050;BROSSETTE;SECHE-SERVIETTES;FAS-133-050;1993161;RADIATEURSECHE-SERVIETTESFASSANESPASYMETRIQUEEC625WBLC;ACOVA;un;323;230,63
800051;BROSSETTE;SECHE-SERVIETTES;FAS-185-060;1993162;RADIATEURSECHE-SERVIETTESFASSANESPASYMETRIQUEEC1019WBLC;ACOVA;un;454;324,53
800052;BROSSETTE;SANITAIRE;1873;1544008;COLONNELAVABOPRIMA;ALLIA;un;75;53,25
800054;BROSSETTE;SANITAIRE;1333;1543044;LAVABOPRIMA60;ALLIA;un;96;68,25
800055;BROSSETTE;SANITAIRE;2050;1021080;BIDETPRIMABLANC;ALLIA;un;149;106,50
800056;BROSSETTE;SANITAIRE;109000000;1020951;LAVEMAINSLINEACOMPACT50X23;ALLIA;un;116;82,50
800057;BROSSETTE;SANITAIRE;6930;1023174;EVIERGRESAPOSERRODEZ1C1E80X60BLANC;ALLIA;un;317;226,50
800058;BROSSETTE;SANITAIRE;6900;1023168;EVIERGRESAPOSERROMANS2C1E120X60BLANC;ALLIA;un;203;144,75
800059;BROSSETTE;SANITAIRE;6920;1023171;EVIERGRESAPOSERREDON1C1E100X60BLANC;ALLIA;un;227;162,00
800060;BROSSETTE;CHAUFFAGE;524841;3110357;KITREPARTITEUR26X34ETVANNES(1PARCOLLECTEUR);ACOME;un;231;165,35
800061;BROSSETTE;SANITAIRE;730200000;1544582;RECEVEURGRESAENC.70X70EXTRAPLATPRIMABLANC;ALLIA;un;125;89,25
800062;BROSSETTE;SANITAIRE;731200000;1544997;RECEVEURGRESAENC.80X80EXTRAPLATPRIMABLANC;ALLIA;un;243;173,25
800063;BROSSETTE;SANITAIRE;712100000;1089003;RECEVEURGRESAENC.70X70BASTIABLANC;ALLIA;un;105;75,00
800064;BROSSETTE;SANITAIRE;7281;1089006;RECEVEURGRESAPOSER80X80BASTIABLANC;ALLIA;un;138;98,25
800065;BROSSETTE;SANITAIRE;7251;1089014;RECEVEURGRESAPOSER70X70BASTIABLANC;ALLIA;un;105;75,00
800066;BROSSETTE;SANITAIRE;7051;1373302;RECEVEURGRES1/4RD90APOSERBASTIABLANC;ALLIA;un;414;295,50
800067;BROSSETTE;SANITAIRE;7171;1373293;RECEVEURGRESSURELEVE90X90PRIMABLANC;ALLIA;un;457;326,25
800068;BROSSETTE;SANITAIRE;714100000;1088997;RECEVEURGRESAENC.80X80BASTIABLANC;ALLIA;un;138;98,25
800069;BROSSETTE;SANITAIRE;736100000;1341486;RECEVEURGRESAENC.90X90BASTIABLANC;ALLIA;un;234;167,25
800070;BROSSETTE;SANITAIRE;7091;1373277;RECEVEURGRES1/4RD90SURELEVEPRIMABLANC;ALLIA;un;499;356,25
800071;BROSSETTE;SANITAIRE;7261;1341494;RECEVEURGRESAPOSER90X90BASTIABLANC;ALLIA;un;234;167,25
800072;BROSSETTE;SANITAIRE;7322;1544618;RECEVEURGRES1/4RD80EXTRAPLATAENCASTRERPRIMA2BLANC;ALLIA;un;287;204,75
800073;BROSSETTE;SANITAIRE;7161;1270325;RECEVEURGRESSURELEVE80X80PRIMABLANC;ALLIA;un;260;186,00
800074;BROSSETTE;SANITAIRE;7081;1270335;RECEVEURGRES1/4RD80SURELEVEPRIMABLANC;ALLIA;un;423;302,25
800075;BROSSETTE;SANITAIRE;7451;1418226;RECEVEURGRES1/4RD100EXTRA-PLATAMALFIBLANC;ALLIA;un;570;407,25
800076;BROSSETTE;SANITAIRE;7461;1418233;RECEVEURGRESAENC.100X100EXTRAPLATAMALFIBLANC;ALLIA;un;536;382,50
800078;BROSSETTE;SANITAIRE;328000000;1021214;CUVETTESURELEVEESHBASTIABLANCHE;ALLIA;un;144;102,75
800079;BROSSETTE;SANITAIRE;3155;1021215;CUVETTESURELEVEESHPUBLICAINDEPENDANTE;ALLIA;un;226;161,25
800080;BROSSETTE;SANITAIRE;160000000;1331203;VASQUEBASTIA56X48BLANCHE;ALLIA;un;57;40,50
800081;BROSSETTE;SANITAIRE;62600000;1331474;BAIGNOIREACRYLIQUEPRIMA2170X70BLANC;ALLIA;un;428;306,00
800082;BROSSETTE;SANITAIRE;3615;1514695;RESERVOIRATTENANTCERAMIQUEDOUBLEDEBITUNIVERSEL;ALLIA;un;180;128,25
800083;BROSSETTE;SANITAIRE;7332;1544627;RECEVEURGRESAENC.90X70EXTRA-PLATPRIMABLANC;ALLIA;un;286;204,00
800084;BROSSETTE;SANITAIRE;7352;1544648;RECEVEURGRES1/4RD90EXTRAPLATAENCASTRERPRIMA2BLANC;ALLIA;un;387;276,75
800085;BROSSETTE;SANITAIRE;736200000;1544657;RECEVEURGRESAENC.100X80EXTRAPLATPRIMABLANC;ALLIA;un;335;239,25
800086;BROSSETTE;SANITAIRE;737200000;1544668;RECEVEURGRESAENC.120X80EXTRAPLATPRIMABLANC;ALLIA;un;359;256,50
800087;BROSSETTE;SANITAIRE;8,39E+12;1544951;CUVETTESUSPENDUEPRIMACOURTEAV.ABATTANT;ALLIA;un;195;139,50
800088;BROSSETTE;SANITAIRE;8,39E+12;1544957;CUVETTESUSPENDUEPRIMASH54AV.ABATTANT;ALLIA;un;195;139,50
800089;BROSSETTE;SANITAIRE;007312AG;1544997;RECEVEURGRESAENC.80X80EXTRAPLATPRIMAANTI-GLISS;ALLIA;un;243;173,25
800090;BROSSETTE;SANITAIRE;007362AG;1545015;RECEVEURGRESAENC.100X80EXTRAPLATPRIMAANTI-GLISS;ALLIA;un;384;274,50
800091;BROSSETTE;SANITAIRE;007461AG;1602189;RECEVEURGRESAENC.100X100EXTRAPLATAMALFIANTIGLISSBLANC;ALLIA;un;590;421,50
800092;BROSSETTE;SANITAIRE;007471AG;1602190;RECEVEURGRESAENC.120X80EXTRAPLATAMALFIANTIGLISSBLANC;ALLIA;un;651;465,00
