_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
300000;LORANS;outillage;45400XP;0052000007;CHALUMEAUSOUD.OXY.ACET.ASECURITE;CASTOLINFRANCESA;1;254,10;152,46
300001;LORANS;outillage;704620F;0052008000;LANCEMALLEABLE140LP.CHAL.689823;CASTOLINFRANCESA;1;35,66;21,40
300002;LORANS;outillage;704620G;0052008018;LANCEMALLEABLE300LP.CHAL.689823;CASTOLINFRANCESA;1;35,66;21,40
300003;LORANS;outillage;45200;0052002003;CHALUMEAUSOUD.OXY-ACETYLENIQUE;CASTOLINFRANCESA;1;127,69;76,62
300004;LORANS;outillage;704620R;0052010006;LANCEMALLEABLE140LP.CHAL.689829;CASTOLINFRANCESA;1;26,29;15,78
300005;LORANS;outillage;704620S;0052010014;LANCEMALLEABLE300LP.CHAL.689829;CASTOLINFRANCESA;1;26,29;15,78
300006;LORANS;outillage;45350;0052004009;CHALUMEAUMINICOUPEURCAPAC2/18MM;CASTOLINFRANCESA;1;278,96;167,38
300007;LORANS;outillage;730853B;0052012002;BUSE7/10ADPOURCHALMINICOUPEUR;CASTOLINFRANCESA;1;38,87;23,33
300008;LORANS;outillage;730853C;0052012010;BUSE10/10ADPOURCHALMINICOUPEUR;CASTOLINFRANCESA;1;38,87;23,33
300009;LORANS;outillage;704289B;0052006004;CLEPORTE-BUSESAV.6BECS,100À400;CASTOLINFRANCESA;1;26,61;15,97
300010;LORANS;outillage;45120;0052014057;DETENDXUPERPRECIGAZ2AD;CASTOLINFRANCESA;1;195,73;117,44
300011;LORANS;outillage;45110;0052016052;DETENDXUPERPRECIGAZ2OX;CASTOLINFRANCESA;1;195,73;117,44
300012;LORANS;outillage;45130;0052019056;DETENDXUPERPRECIGAZ2TM;CASTOLINFRANCESA;1;195,73;117,44
300013;LORANS;outillage;71620120;0052013000;MANODETENDGAZNEUTRE;CASTOLINFRANCESA;1;214,60;128,76
300014;LORANS;outillage;45320L;0052014008;MANODETENDCAPOTEACETYLENECLASS.2;CASTOLINFRANCESA;1;148,77;89,27
300015;LORANS;outillage;45310L;0052016003;MANODETENDCAPOTEOXYGENECLASSE2;CASTOLINFRANCESA;1;148,77;89,27
300016;LORANS;outillage;45345A;0052015005;MANODETENDANTICHOCACETYLENECL3;CASTOLINFRANCESA;1;191,10;114,66
300017;LORANS;outillage;45340A;0052017001;MANODETENDANTICHOCOXYGENECL3;CASTOLINFRANCESA;1;191,10;114,66
300018;LORANS;outillage;79086PB;0052029006;KITCHALUMEAUDETENDTUYAULANCE;CASTOLINFRANCESA;1;528,06;316,84
300019;LORANS;outillage;79154PB;0052027000;CHARIOTCOMPLETAUTOFLAM0;CASTOLINFRANCESA;1;1621,12;972,68
300020;LORANS;outillage;79154XP;0052025004;CHARIOTCOMPLETAUTOFLAMSI500;CASTOLINFRANCESA;1;2109,58;1265,75
300021;LORANS;outillage;450903500;0052031002;CASTOLIN3500FLEX;CASTOLINFRANCESA;1;407,12;244,28
300022;LORANS;outillage;761044;0052150000;ONDULEURSOUDAGEALARCMANUEL;CASTOLINFRANCESA;1;673,28;403,97
300023;LORANS;outillage;730236;0052100005;MARTEAUAPIQUER;CASTOLINFRANCESA;1;42,86;25,72
300024;LORANS;outillage;730216C;0052103009;PRISEDEMASSE;CASTOLINFRANCESA;1;25,02;15,02
300025;LORANS;outillage;730565C;0052106002;PINCEPORTEELECTRODE1,6A5MM;CASTOLINFRANCESA;1;81,38;48,83
300026;LORANS;outillage;708198C;0052109006;NOURRICEACETYLENE2SORTIESAVROBT;CASTOLINFRANCESA;1;115,80;69,48
300027;LORANS;outillage;708198B;0052109014;NOURRICEOXYGENE2SORTIESAVROBT;CASTOLINFRANCESA;1;115,80;69,48
300028;LORANS;outillage;73950FSL40;0052038403;FERASOUDER40W;CASTOLINFRANCESA;1;19,41;11,65
300029;LORANS;outillage;73950FSL75;0052038759;FERASOUDER75W;CASTOLINFRANCESA;1;23,40;14,04
300030;LORANS;outillage;73954PAN40;0052040409;PANNEFERASOUDER40W;CASTOLINFRANCESA;1;7,19;4,32
300031;LORANS;outillage;73954PAN75;0052040755;PANNEFERASOUDER75W;CASTOLINFRANCESA;1;11,53;6,92
300032;LORANS;outillage;73950FSR100;0052042009;FERASOUDERRAPIDE100W;CASTOLINFRANCESA;1;32,22;19,34
300033;LORANS;outillage;73954PAN100R;0052044005;PANNEFERASOUDER100WRAPIDE;CASTOLINFRANCESA;1;10,81;6,49
300034;LORANS;outillage;200340;0051805018;CIRRUS0ECOACETYLENE;NEVAX;1;118,83;71,30
300035;LORANS;outillage;200305;0051805067;CIRRUS0ECOPROPANE;NEVAX;1;118,83;71,30
300036;LORANS;outillage;220030;0051807063;CARTE3BECS63LACETCIRRUS0;NEVAX;1;20,56;12,34
