_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
300000;LORANS;outillage;45400XP;52000007;CHALUMEAUSOUD.OXY.ACET.ASECURITE;CASTOLINFRANCESA;1;254.1;152.46
300001;LORANS;outillage;704620F;52008000;LANCEMALLEABLE140LP.CHAL.689823;CASTOLINFRANCESA;1;35.66;21.4
300002;LORANS;outillage;704620G;52008018;LANCEMALLEABLE300LP.CHAL.689823;CASTOLINFRANCESA;1;35.66;21.4
300003;LORANS;outillage;45200;52002003;CHALUMEAUSOUD.OXY-ACETYLENIQUE;CASTOLINFRANCESA;1;127.69;76.62
300004;LORANS;outillage;704620R;52010006;LANCEMALLEABLE140LP.CHAL.689829;CASTOLINFRANCESA;1;26.29;15.78
300005;LORANS;outillage;704620S;52010014;LANCEMALLEABLE300LP.CHAL.689829;CASTOLINFRANCESA;1;26.29;15.78
300006;LORANS;outillage;45350;52004009;CHALUMEAUMINICOUPEURCAPAC2/18MM;CASTOLINFRANCESA;1;278.96;167.38
300007;LORANS;outillage;730853B;52012002;BUSE7/10ADPOURCHALMINICOUPEUR;CASTOLINFRANCESA;1;38.87;23.33
300008;LORANS;outillage;730853C;52012010;BUSE10/10ADPOURCHALMINICOUPEUR;CASTOLINFRANCESA;1;38.87;23.33
300009;LORANS;outillage;704289B;52006004;CLEPORTE-BUSESAV.6BECS.100À400;CASTOLINFRANCESA;1;26.61;15.97
300010;LORANS;outillage;45120;52014057;DETENDXUPERPRECIGAZ2AD;CASTOLINFRANCESA;1;195.73;117.44
300011;LORANS;outillage;45110;52016052;DETENDXUPERPRECIGAZ2OX;CASTOLINFRANCESA;1;195.73;117.44
300012;LORANS;outillage;45130;52019056;DETENDXUPERPRECIGAZ2TM;CASTOLINFRANCESA;1;195.73;117.44
300013;LORANS;outillage;71620120;52013000;MANODETENDGAZNEUTRE;CASTOLINFRANCESA;1;214.6;128.76
300014;LORANS;outillage;45320L;52014008;MANODETENDCAPOTEACETYLENECLASS.2;CASTOLINFRANCESA;1;148.77;89.27
300015;LORANS;outillage;45310L;52016003;MANODETENDCAPOTEOXYGENECLASSE2;CASTOLINFRANCESA;1;148.77;89.27
300016;LORANS;outillage;45345A;52015005;MANODETENDANTICHOCACETYLENECL3;CASTOLINFRANCESA;1;191.1;114.66
300017;LORANS;outillage;45340A;52017001;MANODETENDANTICHOCOXYGENECL3;CASTOLINFRANCESA;1;191.1;114.66
300018;LORANS;outillage;79086PB;52029006;KITCHALUMEAUDETENDTUYAULANCE;CASTOLINFRANCESA;1;528.06;316.84
300019;LORANS;outillage;79154PB;52027000;CHARIOTCOMPLETAUTOFLAM0;CASTOLINFRANCESA;1;1621.12;972.68
300020;LORANS;outillage;79154XP;52025004;CHARIOTCOMPLETAUTOFLAMSI500;CASTOLINFRANCESA;1;2109.58;1265.75
300021;LORANS;outillage;450903500;52031002;CASTOLIN3500FLEX;CASTOLINFRANCESA;1;407.12;244.28
300022;LORANS;outillage;761044;52150000;ONDULEURSOUDAGEALARCMANUEL;CASTOLINFRANCESA;1;673.28;403.97
300023;LORANS;outillage;730236;52100005;MARTEAUAPIQUER;CASTOLINFRANCESA;1;42.86;25.72
300024;LORANS;outillage;730216C;52103009;PRISEDEMASSE;CASTOLINFRANCESA;1;25.02;15.02
300025;LORANS;outillage;730565C;52106002;PINCEPORTEELECTRODE1.6A5MM;CASTOLINFRANCESA;1;81.38;48.83
300026;LORANS;outillage;708198C;52109006;NOURRICEACETYLENE2SORTIESAVROBT;CASTOLINFRANCESA;1;115.8;69.48
300027;LORANS;outillage;708198B;52109014;NOURRICEOXYGENE2SORTIESAVROBT;CASTOLINFRANCESA;1;115.8;69.48
300028;LORANS;outillage;73950FSL40;52038403;FERASOUDER40W;CASTOLINFRANCESA;1;19.41;11.65
300029;LORANS;outillage;73950FSL75;52038759;FERASOUDER75W;CASTOLINFRANCESA;1;23.4;14.04
300030;LORANS;outillage;73954PAN40;52040409;PANNEFERASOUDER40W;CASTOLINFRANCESA;1;7.19;4.32
300031;LORANS;outillage;73954PAN75;52040755;PANNEFERASOUDER75W;CASTOLINFRANCESA;1;11.53;6.92
300032;LORANS;outillage;73950FSR100;52042009;FERASOUDERRAPIDE100W;CASTOLINFRANCESA;1;32.22;19.34
300033;LORANS;outillage;73954PAN100R;52044005;PANNEFERASOUDER100WRAPIDE;CASTOLINFRANCESA;1;10.81;6.49
300034;LORANS;outillage;200340;51805018;CIRRUS0ECOACETYLENE;NEVAX;1;118.83;71.3
300035;LORANS;outillage;200305;51805067;CIRRUS0ECOPROPANE;NEVAX;1;118.83;71.3
300036;LORANS;outillage;220030;51807063;CARTE3BECS63LACETCIRRUS0;NEVAX;1;20.56;12.34
300037;LORANS;outillage;220032;51807105;CARTE3BECS100LACETCIRRUS0;NEVAX;1;20.56;12.34
300038;LORANS;outillage;220033;51807162;CARTE3BECS160LACETCIRRUS0;NEVAX;1;20.56;12.34
300039;LORANS;outillage;220034;51807204;CARTE3BECS200LACETCIRRUS0;NEVAX;1;20.56;12.34
300040;LORANS;outillage;220035;51807253;CARTE3BECS250LACETCIRRUS0;NEVAX;1;20.56;12.34
300041;LORANS;outillage;220036;51807311;CARTE3BECS315LACETCIRRUS0;NEVAX;1;20.56;12.34
