_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
100000;MAFART;BRULEUR;072012;C07206;BRULEUR FIOUL STELLA 3050  21-50KW;ATLANTIC; UN ;658;487,17
100001;MAFART;BRULEUR;071905;C07318;BRULEUR FIOUL STELLA 4134  20-34KW;ATLANTIC; UN ;587;434,66
100002;MAFART;BRULEUR;072400;C07290;BRULEUR FIOUL STELLA 4245;ATLANTIC; UN ;588;435,29
100003;MAFART;BRULEUR;C20018229;C07856;BRULEUR CHAPPEE  TIGRA 2 CF710;CHAPPEE; UN ;817;604,97
100004;MAFART;BRULEUR;C56011050;C12324;BRULEUR CHAPPEE TIGRA A/INJECTEUR CF 500;CHAPPEE; UN ;432;320,21
100005;MAFART;BRULEUR;C56011051;C12325;BRULEUR CHAPPEE TIGRA A/INJECTEUR CF 500R;CHAPPEE; UN ;455;337,23
100006;MAFART;BRULEUR;C56011200;C07858;BRULEUR GAZ CHAPPEE A/FILTRE CG4 GN OU CG500;CHAPPEE; UN ;1286;952,71
100007;MAFART;BRULEUR;3832014;C11947;BRULEUR FIOUL NC4  20-30KW PROVIEW;CUENOD ; UN ;638;472,50
100008;MAFART;BRULEUR;88027319;C12856;BRULEUR FIOUL M100S;DE DIETRICH ; UN ;769;569,54
100009;MAFART;BRULEUR;3743140;C11491;BRULEUR FIOUL MILLENIUM 40 G3 19-35KW;RIELLO ; UN ;360;266,68
100010;MAFART;CHAUDIERE BOIS;021145;C07233;CHAUD.BOIS BUCHES ACIER  CHARTREUSE 15/22;ATLANTIC; UN ;3224;2387,86
100011;MAFART;CHAUDIERE BOIS;021157;C08497;CHAUD.BOIS BUCHES ACIER  VANOISE 28KW  GF-5028  NUE;ATLANTIC; UN ;5015;3715,18
100012;MAFART;CHAUDIERE BOIS;074550;C07416;SECURITE THERMIQUE FF 20X27 AVEC SOUPAPE CALIBREE A 95°;ATLANTIC; UN ;328;242,69
100013;MAFART;CHAUDIERE BOIS;15332D;C04746;ACCUMULATEUR STRATIFIE  700;FROLING; UN ;775;573,80
100014;MAFART;CHAUDIERE BOIS;15333D;C04756;ACCUMULATEUR STRATIFIE  850;FROLING; UN ;790;585,14
100015;MAFART;CHAUDIERE BOIS;15304D;C01347;ACCUMULATEUR STRATIFIE 1000;FROLING; UN ;809;599,51
100016;MAFART;CHAUDIERE BOIS;15305D;C00013;ACCUMULATEUR STRATIFIE 1500;FROLING; UN ;1085;803,63
100017;MAFART;CHAUDIERE BOIS;15335D;C04757;ACCUMULATEUR STRATIFIE 1800;FROLING; UN ;1311;971,46
100018;MAFART;CHAUDIERE BOIS;15336D;C04758;ACCUMULATEUR STRATIFIE 2200;FROLING; UN ;1567;1160,46
100019;MAFART;CHAUDIERE BOIS;15281;C04759;ACCUMULATEUR STRATIFIÉ 300;FROLING; UN ;622;460,40
100020;MAFART;CHAUDIERE BOIS;15282;C04760;ACCUMULATEUR STRATIFIÉ 500;FROLING; UN ;748;554,15
100021;MAFART;CHAUDIERE BOIS;12674;C04761;ADAPTATEUR SORTIE DE FUMÉE P1;FROLING; UN ;153;113,40
100022;MAFART;CHAUDIERE BOIS;18861;C04762;ALLUMAGE AUTOMATIQUE POUR  S4;FROLING; UN ;453;335,66
100023;MAFART;CHAUDIERE BOIS;15620;C04763;BALLON ECS P1;FROLING; UN ;1227;908,71
100024;MAFART;CHAUDIERE BOIS;14202;C04764;CHAUD. GRANULES P1 PELLET 10;FROLING; UN ;8208;6079,75
100025;MAFART;CHAUDIERE BOIS;14201;C04765;CHAUD. GRANULES P1 PELLET 7;FROLING; UN ;8102;6001,13
100026;MAFART;CHAUDIERE BOIS;11033;C04766;CHAUD. MIXTE BOIS BUCHE /GRANULÉ SP DUAL 28    28KW BUCHES - 25KW GRANULES;FROLING; UN ;15686;11618,96
