_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900000;SOCOLEC;CHAUFFAGE;073985;01760073985;APPOINTELECTRIQUE6KW230VPUISSANCE3/6KW;ATLANTICSIC;UN;383;283,61
900001;SOCOLEC;CHAUFFAGE;073987;01760073987;APPOINTELECTRIQUE9KWTRI400V;ATLANTICSIC;UN;383;283,61
900002;SOCOLEC;CHAUFFAGE;324831;01760324831;BALLONECHANGEURAVECKITELECT.DSVSM300;ATLANTICSIC;UN;1064;788,42
900003;SOCOLEC;CHAUFFAGE;809540;01760509540;BOUCHONPOURSUPPORTSOL(PAR4);ATLANTICSIC;UN;7;5,15
900004;SOCOLEC;CHAUFFAGE;073957;01760073957;BOUTEILLEDEDECOUPLAGERELEVEPOURALFEA;ATLANTICSIC;UN;546;404,11
900005;SOCOLEC;CHAUFFAGE;073954;01760073954;COMMANDEADISTANCEFILAIRET75AFFICHAGEDIGITAL;ATLANTICSIC;UN;195;144,21
900006;SOCOLEC;CHAUFFAGE;074061;01760074061;COMMANDERADIOT78AFFICHAGEDIGITAL;ATLANTICSIC;UN;231;171,45
900007;SOCOLEC;CHAUFFAGE;073953;01760073953;KIT2ZONESALFEAHYBRIDFIOUL;ATLANTICSIC;UN;639;473,18
900008;SOCOLEC;CHAUFFAGE;570630;01760570630;KIT2ZONESSPLITALFEACHAUFFAGESEUL;ATLANTICSIC;UN;1026;760,37
900009;SOCOLEC;CHAUFFAGE;570629;01760570629;KIT2ZONESSPLITALFEAEXTENSADUO&EXCELLIADUO;ATLANTICSIC;UN;811;600,41
900010;SOCOLEC;CHAUFFAGE;073991;01760073991;KITECSPOURALFEAAVECPREPARATEURECSDSVSM;ATLANTICSIC;UN;183;135,72
900011;SOCOLEC;CHAUFFAGE;075311;01760075311;KITEXTENSIONREGULATION(OBLIGATOIREPOURGESTIOND'UNSECONDCIRCUITELECTRIQUE);ATLANTICSIC;UN;101;74,60
900012;SOCOLEC;CHAUFFAGE;073990;01760073990;KITRELEVEDUOPOURALFEA;ATLANTICSIC;UN;234;173,47
