_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
capachat;mafart;PLOMBERIE;149B7312;A00000;REDUCTEURDEPRESSIONMF20X273BARS;SOCLASAS;P;36,28;19,44
capachat;mafart;PLOMBERIE;149B3122;A00002;CLAPETDENONRETOURCUVELAITONFF26X34;SOCLASAS;P;54,19;34,55
capachat;mafart;PLOMBERIE;149B3123;A00003;CLAPETDENONRETOURCUVELAITONFF33X42;SOCLASAS;P;76,66;48,88
capachat;mafart;PLOMBERIE;149B2371;A00005;CLAPETDEPIEDCREPINEPECUVELAITON20X27;SOCLASAS;P;16,39;10,45
capachat;mafart;PLOMBERIE;149B2372;A00006;CLAPETDEPIEDCREPINEPECUVELAITON26X34;SOCLASAS;P;19,44;12,4
capachat;mafart;PLOMBERIE;149B2373;A00007;CLAPETDEPIEDCREPINEPECUVELAITON33X42;SOCLASAS;P;31,64;20,18
capachat;mafart;PLOMBERIE;035601;A00016;CONSOLELAVABO210MMALUBRUTA/TAQUETBASCULE;PLOMBELEC;CA;21,67;14,63
capachat;mafart;PLOMBERIE;036103;A00018;ATTACHEPLATECOUDEZINGUEEP.2,5MMP/LAVE-MAINS;PLOMBELEC;P;1,97;0,65
capachat;mafart;PLOMBERIE;03920;A00019;ROBINETARRETCHASSEEQUERRE12X17LAITONBRUT;RIQUIERADRIEN;P;3,94;1,72
capachat;mafart;PLOMBERIE;03921;A00020;ROBINETARRETCHASSEEQUERRE12X17LAITONCHROME;RIQUIERADRIEN;P;4,18;1,5
capachat;mafart;PLOMBERIE;03926;A00035;ROBINETARRETCHASSEDROIT12X17LAITONCHROME;RIQUIERADRIEN;P;6,06;3,64
capachat;mafart;PLOMBERIE;682045;A00079;ROBINETSPHERIQ1/4TMALE15X21RACCORDNEZ20X27;SFERACO;P;13,99;7,87
capachat;mafart;PLOMBERIE;05011;A00107;COLLECTEURSANITAIREM/F3/42PRISESM1/2;RIQUIERADRIEN;P;11,41;4,7
capachat;mafart;PLOMBERIE;05013;A00108;COLLECTEURSANITAIREM/F3/44PRISESM1/2;RIQUIERADRIEN;P;21,06;8
capachat;mafart;PLOMBERIE;05019;A00109;COLLECTEURSANITAIREM/F3/45PRISESM1/2;RIQUIERADRIEN;P;26,22;10,7
capachat;mafart;PLOMBERIE;05012;A00110;COLLECTEURSANITAIREM/F3/43PRISESM1/2;RIQUIERADRIEN;P;16,14;6,5
capachat;mafart;PLOMBERIE;05017;A00112;COLLECTEURSANITAIREM/F14PRISESM1/2;RIQUIERADRIEN;P;30,85;13,89
capachat;mafart;PLOMBERIE;05016;A00113;COLLECTEURSANITAIREM/F13PRISESM1/2;RIQUIERADRIEN;P;26,92;12,12
capachat;mafart;PLOMBERIE;16001;A00121;RACCORDHYDROCABLEA/EC.LIBR.FEM.15X21AGLISS.12;RIQUIERADRIEN;P;1,65;0,62
capachat;mafart;PLOMBERIE;16020;A00132;RACCORDHYDROCABLEMALE12X17AGLISSEMENT12;RIQUIERADRIEN;P;1,69;0,64
capachat;mafart;PLOMBERIE;16021;A00133;RACCORDHYDROCABLEMALE15X21AGLISSEMENT12;RIQUIERADRIEN;P;1,94;0,73
capachat;mafart;PLOMBERIE;16023;A00134;RACCORDHYDROCABLEMALE15X21AGLISSEMENT16;RIQUIERADRIEN;P;1,83;0,69
capachat;mafart;PLOMBERIE;16025;A00135;RACCORDHYDROCABLEMALE15X21AGLISSEMENT20;RIQUIERADRIEN;P;2,51;0,95
capachat;mafart;PLOMBERIE;16026;A00136;RACCORDHYDROCABLEMALE20X27AGLISSEMENT20;RIQUIERADRIEN;P;4,02;1,51
capachat;mafart;PLOMBERIE;16010;A00137;RACCORDHYDROCABLEFEMELLE12X17AGLISSEMENT12;RIQUIERADRIEN;P;2,68;1,21
capachat;mafart;PLOMBERIE;16011;A00138;RACCORDHYDROCABLEFEMELLE15X21AGLISSEMENT12;RIQUIERADRIEN;P;2,69;1,11
capachat;mafart;PLOMBERIE;16013;A00139;RACCORDHYDROCABLEFEMELLE15X21AGLISSEMENT16;RIQUIERADRIEN;P;2,69;1,2
capachat;mafart;PLOMBERIE;16015;A00140;RACCORDHYDROCABLEFEMELLE20X27AGLISSEMENT20;RIQUIERADRIEN;P;5,24;1,97
capachat;mafart;PLOMBERIE;04077;A00195;APPLIQUELAIT.CHROMEA/ECROUCOLLETBATTU15X21-12;RIQUIERADRIEN;P;4,48;2,86
capachat;mafart;PLOMBERIE;136941;A00198;APPLIQUELAITONBROSSEA/COLLETBATTU15X21-14;WATTSINDUSTRIESFRANCE;P;2,89;1,31
capachat;mafart;PLOMBERIE;1314516;A00199;APPLIQUELAITONBROSSEA/COLLETBATTU20X27-16;SFERACO;P;11,13;7,1
capachat;mafart;PLOMBERIE;70-8FF;A00271;ROBINETLAITONBROSSE15X21RACCORDNEZ15X21;GUARESKIROBINETTERIESAS;P;10,43;5,32
capachat;mafart;PLOMBERIE;B20N15;A00272;ROBINETLAITONBROSSE15X21RACCORDNEZ20X27;WATTSINDUSTRIESFRANCE;P;14,37;4,8
capachat;mafart;PLOMBERIE;250020;A00278;ROBINETMALCHROMEDROIT15X21-20X27S/1/2RACCORD;WATTSINDUSTRIESFRANCE;P;4,6;1,8
capachat;mafart;PLOMBERIE;0120-011;A00404;ROBINETGAZDOUBLEMALE15X21ROAI;CHUCHUDECAYEUX;P;9,12;4,79
capachat;mafart;PLOMBERIE;21252200;A00410;TUYAUGAZBUT/PROP6X122M00+RACCORDVIEILLIMITEE;HOMEGAZ;P;38,32;24,43
capachat;mafart;PLOMBERIE;21252125;A00445;TUYAUGAZBUT/PROP6X121M25+RACCORDVIEILLIMITEE;HOMEGAZ;P;29,98;20,24
capachat;mafart;PLOMBERIE;21252100;A00460;TUYAUGAZBUT/PROP6X121M00+RACCORDVIEILLIMITEE;HOMEGAZ;P;27,08;18,28
capachat;mafart;PLOMBERIE;21212200;A00467;TUYAUGAZNAT15X222M00+RACCORDSVIEILLIMITEE;HOMEGAZ;P;38,32;25,87
