_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
901157;ANJACCSI;INDUSTRIE;ETRIERSDEFIXATION;24415;12680021;ETRIERP/TUBE8/13AC.M6L20;FISCHER;CENT;43,81;26,29
901160;ANJACCSI;INDUSTRIE;ETRIERSDEFIXATION;24418;12680054;ETRIERP/TUBE20/27AC.M8L30;FISCHER;CENT;68,73;41,24
901161;ANJACCSI;INDUSTRIE;ETRIERSDEFIXATION;24419;12680062;ETRIERP/TUBE26/34AC.M8L30;FISCHER;CENT;69,32;41,59
901168;ANJACCSI;INDUSTRIE;ETRIERSDEFIXATION;24432;12680146;ETRIERP/TUBE131/140AC.M14L70;FISCHER;CENT;711,74;427,04
901169;ANJACCSI;INDUSTRIE;ETRIERSDEFIXATION;24434;12680161;ETRIERP/TUBE150/159AC.M14L70;FISCHER;CENT;1030,34;618,2
901170;ANJACCSI;INDUSTRIE;ETRIERSDEFIXATION;24435;12680203;ETRIERP/TUBE168AC.M14L70;FISCHER;CENT;967,43;580,46
901171;ANJACCSI;INDUSTRIE;ETRIERSDEFIXATION;24436;12680211;ETRIERP/TUBE193,7AC.M14L60;FISCHER;CENT;1401,04;840,62
901191;ANJACCSI;INDUSTRIE;RACCORDSSTRAUB;1401021;12805008;COLLIERREPAR.EPDMINOX1T.21/25;SFERACO;UNITE;13,87;10,4
901192;ANJACCSI;INDUSTRIE;RACCORDSSTRAUB;1401026;12805016;COLLIERREPAR.EPDMINOX1T.26/30;SFERACO;UNITE;13,85;10,39
901193;ANJACCSI;INDUSTRIE;RACCORDSSTRAUB;1401033;12805032;COLLIERREPAR.EPDMINOX1T.33/37;SFERACO;UNITE;14,28;10,71
901194;ANJACCSI;INDUSTRIE;RACCORDSSTRAUB;1401042;12805057;COLLIERREPAR.EPDMINOX1T.42/45;SFERACO;UNITE;14,94;11,21
901195;ANJACCSI;INDUSTRIE;RACCORDSSTRAUB;1401048;12805065;COLLIERREPAR.EPDMINOX1T.48/51;SFERACO;UNITE;15,81;11,86
901196;ANJACCSI;INDUSTRIE;RACCORDSSTRAUB;1401050;12805073;COLLIERREPAR.EPDMINOX1T.50/54;SFERACO;UNITE;15,81;11,86
901197;ANJACCSI;INDUSTRIE;RACCORDSSTRAUB;1401060;12805081;COLLIERREPAR.EPDMINOX1T.60/64;SFERACO;UNITE;20,87;15,65
901566;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015001;14410013;MANCHONLISSEINOX316DN051/8;SFERACO;UNITE;1,68;1,26
901567;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015002;14410039;MANCHONLISSEINOX316DN081/4;SFERACO;UNITE;1,68;1,26
901568;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015003;14410054;MANCHONLISSEINOX316DN123/8;SFERACO;UNITE;1,92;1,44
901569;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015004;14410070;MANCHONLISSEINOX316DN151/2;SFERACO;UNITE;2,97;2,23
901570;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015005;14410096;MANCHONLISSEINOX316DN203/4;SFERACO;UNITE;3,56;2,67
901571;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015006;14410112;MANCHONLISSEINOX316DN251;SFERACO;UNITE;5,68;4,26
901572;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015007;14410138;MANCHONLISSEINOX31611/4;SFERACO;UNITE;7,43;5,57
901573;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015008;14410153;MANCHONLISSEINOX31611/2;SFERACO;UNITE;8,31;6,23
901574;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015010;14410161;MANCHONLISSEINOX31621/2;SFERACO;UNITE;24,76;18,57
901575;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015009;14410179;MANCHONLISSEINOX316DN502;SFERACO;UNITE;12,44;9,33
901576;ANJACCSI;INDUSTRIE;RACCORDSINOX;2015011;14410187;MANCHONLISSEINOX316DN803;SFERACO;UNITE;29,7;22,28
901577;ANJACCSI;INDUSTRIE;RACCORDSINOX;2040002;14410195;MAMELONTUBEINOX316DN081/4;SFERACO;UNITE;1,58;1,19
901578;ANJACCSI;INDUSTRIE;RACCORDSINOX;2040003;14410211;MAMELONTUBEINOX316DN123/8;SFERACO;UNITE;1,75;1,31
901579;ANJACCSI;INDUSTRIE;RACCORDSINOX;2040004;14410237;MAMELONTUBEINOX316DN151/2;SFERACO;UNITE;3,13;2,35
901580;ANJACCSI;INDUSTRIE;RACCORDSINOX;2040005;14410252;MAMELONTUBEINOX316DN203/4;SFERACO;UNITE;3,87;2,9
901581;ANJACCSI;INDUSTRIE;RACCORDSINOX;2040006;14410278;MAMELONTUBEINOX316DN251;SFERACO;UNITE;5,84;4,38
901582;ANJACCSI;INDUSTRIE;RACCORDSINOX;2040007;14410294;MAMELONTUBEINOX31611/4;SFERACO;UNITE;8,42;6,32
901583;ANJACCSI;INDUSTRIE;RACCORDSINOX;2040008;14410310;MAMELONTUBEINOX31611/2;SFERACO;UNITE;9,67;7,25
901584;ANJACCSI;INDUSTRIE;RACCORDSINOX;2040009;14410336;MAMELONTUBEINOX316DN502;SFERACO;UNITE;16,58;12,44
901585;ANJACCSI;INDUSTRIE;RACCORDSINOX;2023002;14410351;BOUCHONT.H.INOX316DN081/4M;SFERACO;UNITE;1,49;1,12
901586;ANJACCSI;INDUSTRIE;RACCORDSINOX;2023001;14410369;BOUCHONT.H.INOX316DN051/8M;SFERACO;UNITE;1,15;0,86
901587;ANJACCSI;INDUSTRIE;RACCORDSINOX;2023003;14410377;BOUCHONT.H.INOX316DN123/8M;SFERACO;UNITE;1,75;1,31
901588;ANJACCSI;INDUSTRIE;RACCORDSINOX;2022004;14410393;BOUCHONT.H.INOX316DN151/2M;SFERACO;UNITE;2,21;1,66
901589;ANJACCSI;INDUSTRIE;RACCORDSINOX;2022005;14410419;BOUCHONT.H.INOX316DN203/4M;SFERACO;UNITE;2,81;2,11
901590;ANJACCSI;INDUSTRIE;RACCORDSINOX;2022006;14410435;BOUCHONT.H.INOX316DN251M;SFERACO;UNITE;4,39;3,29
901591;ANJACCSI;INDUSTRIE;RACCORDSINOX;2022007;14410450;BOUCHONT.H.INOX31611/4M;SFERACO;UNITE;6,44;4,83
901592;ANJACCSI;INDUSTRIE;RACCORDSINOX;2022008;14410476;BOUCHONT.H.INOX31611/2M;SFERACO;UNITE;8,35;6,26
901593;ANJACCSI;INDUSTRIE;RACCORDSINOX;2022009;14410492;BOUCHONT.H.INOX316DN502M;SFERACO;UNITE;12,21;9,16
901594;ANJACCSI;INDUSTRIE;RACCORDSINOX;2037002;14410518;BOUCHONT.H.INOX316DN081/4F;SFERACO;UNITE;1,32;0,99
901595;ANJACCSI;INDUSTRIE;RACCORDSINOX;2037003;14410534;BOUCHONT.H.INOX316DN123/8F;SFERACO;UNITE;1,49;1,12
901596;ANJACCSI;INDUSTRIE;RACCORDSINOX;2037004;14410559;BOUCHONT.H.INOX316DN151/2F;SFERACO;UNITE;1,92;1,44
901597;ANJACCSI;INDUSTRIE;RACCORDSINOX;2037005;14410575;BOUCHONT.H.INOX316DN203/4F;SFERACO;UNITE;2,51;1,88
901598;ANJACCSI;INDUSTRIE;RACCORDSINOX;2037006;14410591;BOUCHONT.H.INOX316DN251F;SFERACO;UNITE;4,49;3,37
901599;ANJACCSI;INDUSTRIE;RACCORDSINOX;2037007;14410617;BOUCHONT.H.INOX31611/4F;SFERACO;UNITE;6,83;5,12
901600;ANJACCSI;INDUSTRIE;RACCORDSINOX;2037008;14410633;BOUCHONT.H.INOX31611/2F;SFERACO;UNITE;8,88;6,66
