_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
70000;LEGALLAIS;Fixation;TP14X40CLS01;8092;POINTESACTP40X2,2(BTE1KG);PATE;Boite;12.28;6.14
70001;LEGALLAIS;Fixation;646504;16492;TIGEFILETEEA44;ACTON;Barre;6.23;3.12
70002;LEGALLAIS;Fixation;646505;16499;TIGEFILETEEA45;ACTON;Barre;5.69;2.85
70003;LEGALLAIS;Fixation;646506;16506;TIGEFILETEEA46;ACTON;Barre;7.25;3.63
70004;LEGALLAIS;Fixation;646508;16513;TIGEFILETEEA48;ACTON;Barre;12.46;6.23
70005;LEGALLAIS;Fixation;6465010;16520;TIGEFILETEEA410;ACTON;Barre;19.58;9.79
70006;LEGALLAIS;Fixation;6465012;16527;TIGEFILETEEA412;ACTON;Barre;28.63;14.32
70007;LEGALLAIS;Fixation;6465014;16534;TIGEFILETEEA414;ACTON;Barre;36.83;18.42
70008;LEGALLAIS;Fixation;626504;16562;TIGEFILETEEA24;ACTON;Barre;4.79;1.89
70009;LEGALLAIS;Fixation;626505;16569;TIGEFILETEEA25;ACTON;Barre;4.61;1.80
70010;LEGALLAIS;Fixation;626506;16576;TIGEFILETEEA26;ACTON;Barre;5.15;2.02
70011;LEGALLAIS;Fixation;626508;16583;TIGEFILETEEA28;ACTON;Barre;8.56;3.35
70012;LEGALLAIS;Fixation;6265010;16597;TIGEFILETEEA210;ACTON;Barre;13.23;5.21
70013;LEGALLAIS;Fixation;6265012;16604;TIGEFILETEEA212;ACTON;Barre;20.06;7.93
70014;LEGALLAIS;Fixation;6265014;16618;TIGEFILETEEA214;ACTON;Barre;28.09;11.09
70015;LEGALLAIS;Fixation;6265016;16625;TIGEFILETEEA216;ACTON;Barre;37.01;14.62
70016;LEGALLAIS;Fixation;6265018;16639;TIGEFILETEEA218;ACTON;Barre;49.41;19.52
70017;LEGALLAIS;Fixation;6265020;16653;TIGEFILETEEA220;ACTON;Barre;57.97;22.89
70018;LEGALLAIS;Fixation;22502000501;17451;RIVETSGRIPALUBRS02COFFRET;RIVQUICK;Boite;200.07;100.04
70019;LEGALLAIS;Fixation;G112180;17661;TIGEASCELLERAC12X180;;Piece;5.84;2.92
70020;LEGALLAIS;Fixation;G114200;17675;TIGEASCELLERAC14X200;;Piece;6.24;3.12
70021;LEGALLAIS;Colles-adhesifs-lubrifiant;30180770;20104;ROULEAUAMAROUFLER;BOSTIK;Piece;100.17;50.09
70022;LEGALLAIS;Colles-adhesifs-lubrifiant;100680;20363;MOUSSEPOLYUR.ATOMISEUR750ML;AYRTON;Piece;14.33;7.17
70023;LEGALLAIS;Accessoires;74008;24500;CHANTMELAFIXBLANCSP(25M)20MM;NORDLINGER;Rouleau;41.14;24.68
70024;LEGALLAIS;Accessoires;74062;24521;CHANTMELAFIXBLANCSP(25M)23MM;NORDLINGER;Rouleau;32.79;19.67
70025;LEGALLAIS;Accessoires;74134;24563;CHANTMELAFIXBLANCSP(25M)42MM;NORDLINGER;Rouleau;85.72;51.43
70026;LEGALLAIS;Accessoires;260500;24766;CHANTPREENCACAJOU(20M)23MM;NORDLINGER;Rouleau;24.22;14.53
70027;LEGALLAIS;Accessoires;260503;24808;CHANTPREENCCHENE(20M)23MM;NORDLINGER;Rouleau;36.59;21.95
70028;LEGALLAIS;Accessoires;260505;24815;CHANTPREENCPIN(20M)23MM;NORDLINGER;Rouleau;47.01;28.21
70029;LEGALLAIS;Colles-adhesifs-lubrifiant;30604804;27769;COLLENEOSUPERAGOPLACLIQ1L;BOSTIK;Boite;36.52;18.26
70030;LEGALLAIS;Colles-adhesifs-lubrifiant;30604805;27776;COLLENEOSUPERAGOPLACLIQ5L;BOSTIK;Bidon;169.53;84.77
70031;LEGALLAIS;Colles-adhesifs-lubrifiant;30604799;27790;COLLENEOSUPERAGOPLACNCP1L;BOSTIK;Boite;37.33;18.67
70032;LEGALLAIS;Colles-adhesifs-lubrifiant;30604798;27797;COLLENEOSUPERAGOPLACNCP5L;BOSTIK;Bidon;172.57;86.29
70033;LEGALLAIS;Levageetmanutention;8123042;27846;FILGALVA50M0.9MM;CHAUBEYRE;Rouleau;7.02;4.21
70034;LEGALLAIS;Levageetmanutention;8123043;27853;FILGALVA50M1.1MM;CHAUBEYRE;Rouleau;8.8;5.28
70035;LEGALLAIS;Levageetmanutention;8123044;27860;FILGALVA50M1.3MM;CHAUBEYRE;Rouleau;10.64;6.38
70036;LEGALLAIS;Levageetmanutention;8123045;27867;FILGALVA50M1.5MM;CHAUBEYRE;Rouleau;12.64;7.58
70037;LEGALLAIS;Levageetmanutention;8123047;27874;FILGALVA50M1.8MM;CHAUBEYRE;Rouleau;18.97;11.38
