_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
100000;MAFART;plomberie;3410;131;REDUCTIONLAITONMFBRUT6PANSJTPLAT15-5;RIQUIERSA;PIECE;3,65;1,28
100001;MAFART;plomberie;28520;15174;PURGEURD'AIRPOINTHAUTFLEXVENTSUPER110-10B15X21;FLAMCOFLEXCONS.A.R.L.;PIECE;101,78;50,89
100002;MAFART;plomberie;22L0232520;15258;SOUPAPETHERMIQUE20X27;WATTSINDUSTRIES;PIECE;110,81;55,41
100003;MAFART;plomberie;ST544;15263;SOUPAPETHERMIQUEALIMENT.DECHARGE15X21;THERMADORS.A.;PIECE;315,22;157,61
100004;MAFART;plomberie;FLUS;15279;CONTROLEURDEBITAPALETTE10B110ø26X34;THERMADORS.A.;PIECE;153,18;76,59
100005;MAFART;plomberie;149B7004;15635;DETENDEUREAUDESBORDESBZE10BISFFREGLABLE25-1/7B15X21;SOCLASAS;PIECE;166,93;83,47
100006;MAFART;plomberie;149B7005;15640;DETENDEUREAUDESBORDESBZE10BISFFREGLABLE25-1/7B20X27;SOCLASAS;PIECE;219,05;109,53
100007;MAFART;plomberie;149B7006;15656;DETENDEUREAUDESBORDESBZE10BISFFREGLABLE25-1/7B26X34;SOCLASAS;PIECE;305,13;152,57
100008;MAFART;plomberie;149B7007;15661;DETENDEUREAUDESBORDESBZE10BISFFREGLABLE25-1/7B33X42;SOCLASAS;PIECE;562,68;281,34
100009;MAFART;plomberie;149B7008;15677;DETENDEUREAUDESBORDESBZE10BISFFREGLABLE25-1/7B40X49;SOCLASAS;PIECE;792,93;396,47
100010;MAFART;plomberie;149B7009;15682;DETENDEUREAUDESBORDESBZE10BISFFREGLABLE25-1/7B50X60;SOCLASAS;PIECE;1102,63;551,32
100011;MAFART;plomberie;149B7011;15703;DETENDEUREAUDESBORDESBZE10BISFFREGLABLE25-1/7B66X76;SOCLASAS;PIECE;1793,13;896,57
100012;MAFART;plomberie;ISO20F;15834;DETENDEUREAUISOBAR+BZEFFPREREGLE3B25-1.5/6.5B20X27NF/ACS;ACTARIS/ITRON;PIECE;87,13;43,57
100013;MAFART;plomberie;ISO26FCC;15840;DETENDEUREAUISOBARFFPREREGLE3B25-1/5B26X34;ACTARIS/ITRON;PIECE;128,08;64,04
100014;MAFART;plomberie;R85;17077;REGULATEURTIRAGECALORSTAT30/100ø20X27;THERMADORS.A.;PIECE;75,21;37,61
100015;MAFART;plomberie;HY5;17119;VASEEXPANSIONFERMEP/CHAUFFE-EAUMAXI10B5L;GITRAL;PIECE;48,23;24,12
100016;MAFART;plomberie;HY8;17124;VASEEXPANSIONFERMEP/CHAUFFE-EAUMAXI10B8L;GITRAL;PIECE;34,78;17,39
100017;MAFART;plomberie;HY12;17130;VASEEXPANSIONFERMEP/CHAUFFE-EAUMAXI10B12L;GITRAL;PIECE;46,69;23,35
100018;MAFART;plomberie;22IS;17192;VASEEXPANSIONOUVERTINOXRECTANGULAIRES/PRISE22L;GITRAL;PIECE;216,89;108,45
100019;MAFART;plomberie;30IS;17208;VASEEXPANSIONOUVERTINOXRECTANGULAIRES/PRISE30L;GITRAL;PIECE;276,99;138,50
100020;MAFART;plomberie;MB4;17302;VASEEXPANSIONFERME4L;GITRAL;PIECE;24,29;12,15
100021;MAFART;plomberie;MB8;17318;VASEEXPANSIONFERME8L;GITRAL;PIECE;26,68;13,34
100022;MAFART;plomberie;MB12;17323;VASEEXPANSIONFERME12L;GITRAL;PIECE;26,66;13,33
100023;MAFART;plomberie;MB18;17339;VASEEXPANSIONFERME18L;GITRAL;PIECE;27,39;13,70
100024;MAFART;plomberie;MB25;17344;VASEEXPANSIONFERME25L;GITRAL;PIECE;32,87;16,44
100025;MAFART;plomberie;MB35S;17350;VASEEXPANSIONFERME35LSUSPENDU;GITRAL;PIECE;64,29;32,15
100026;MAFART;plomberie;MB50;17365;VASEEXPANSIONFERME50L;GITRAL;PIECE;86,60;43,30
100027;MAFART;plomberie;MB80;17370;VASEEXPANSIONFERME80L;GITRAL;PIECE;145,98;72,99
100028;MAFART;plomberie;MB105;17386;VASEEXPANSIONFERME105L;GITRAL;PIECE;203,62;101,81
100029;MAFART;plomberie;MB150;17391;VASEEXPANSIONFERME150L;GITRAL;PIECE;263,81;131,91
100030;MAFART;plomberie;MB200;17407;VASEEXPANSIONFERME200L;GITRAL;PIECE;326,67;163,34
100031;MAFART;plomberie;MB250;17412;VASEEXPANSIONFERME250L;GITRAL;PIECE;397,19;198,60
100032;MAFART;plomberie;MB300;17428;VASEEXPANSIONFERME300L;GITRAL;PIECE;497,21;248,61
100033;MAFART;plomberie;8218000;17433;VASEEXPANSIONFERME400L;REFLEX;PIECE;618,63;309,32
100034;MAFART;plomberie;1720900;17538;SOUPAPESECURITECHAUF.4B15x21;FOURNISSEURREGULSTOCK;PIECE;7,41;3,71
100035;MAFART;plomberie;S20Z4;17559;SOUPAPESECURITECHAUF.4B20x27;THERMADORS.A.;PIECE;31,23;15,62
100036;MAFART;plomberie;22L0218604;17570;SOUPAPESECURITECHAUF.4B26x34;WATTSINDUSTRIES;PIECE;61,00;30,50
100037;MAFART;plomberie;22L0219604;17590;SOUPAPESECURITECHAUF.4B33x42;WATTSINDUSTRIES;PIECE;102,26;51,13
100038;MAFART;plomberie;2226264;17611;SOUPAPESECURITECHAUF.4B40x49;WATTSINDUSTRIES;PIECE;303,74;151,87
100039;MAFART;plomberie;2226265;17632;SOUPAPESECURITECHAUF.4B50x60;WATTSINDUSTRIES;PIECE;429,20;214,60
100040;MAFART;plomberie;17004-01;17648;SOUPAPESECURITECHAUF.A/MANO3B15x21;ORKLIS.COOP;PIECE;10,60;5,30
100041;MAFART;plomberie;133303BARS;17653;SOUPAPESECURITECHAUF.A/MANO3B20x27;ORKLIS.COOP;PIECE;13,71;6,86
100042;MAFART;plomberie;MA04;17669;MANOMETRESOUPAPERA8X13DIA504B;THERMADORS.A.;PIECE;7,29;3,65
100043;MAFART;plomberie;SD20;17674;SOUPAPEDIFFERENTIELLESTD20X27;THERMADORS.A.;PIECE;42,94;21,47
100044;MAFART;plomberie;1240700;17680;SOUPAPEDIFFERENTIELLESTD33X42;RBMFRANCES.A.R.L.;PIECE;137,56;68,78
100045;MAFART;plomberie;ZE15;17695;ENTONNOIRSOUPAPEA/COUDETHERMADOR15X21;THERMADORS.A.;PIECE;27,62;13,81
100046;MAFART;plomberie;ZE20;17700;ENTONNOIRSOUPAPEA/COUDETHERMADOR20X27;THERMADORS.A.;PIECE;29,00;14,50
100047;MAFART;plomberie;ZE26;17716;ENTONNOIRSOUPAPEA/COUDETHERMADOR26X34;THERMADORS.A.;PIECE;56,17;28,09
100048;MAFART;plomberie;SA26;17737;SEPARATEURAIRHORIZONTALAIRSTREAM26X34;THERMADORS.A.;PIECE;106,70;53,35
100049;MAFART;plomberie;CCAL26;17852;CLAPETANTITHERMOSIPHONCAL26X34;THERMADORS.A.;PIECE;43,93;21,97
100050;MAFART;plomberie;CCAL33;17868;CLAPETANTITHERMOSIPHONCAL33X42;THERMADORS.A.;PIECE;59,39;29,70
100051;MAFART;plomberie;390400;17983;ALIMENTATEURAUTOMATIQUEA/MANO15X21;RBMFRANCES.A.R.L.;PIECE;90,44;45,22
100052;MAFART;plomberie;543003;19467;ROBINETBOISSEAUSPH.LAITONMMAPURGE12X17P.ROUGEPIPN20/25;SFERACOSNC;PIECE;16,53;8,76
100053;MAFART;plomberie;543004;19472;ROBINETBOISSEAUSPH.LAITONMMAPURGE15X21P.ROUGEPIPN20/25;SFERACOSNC;PIECE;17,16;9,09
100054;MAFART;plomberie;543005;19488;ROBINETBOISSEAUSPH.LAITONMMAPURGE20X27P.ROUGEPIPN20/25;SFERACOSNC;PIECE;19,85;10,52
100055;MAFART;plomberie;543006;19493;ROBINETBOISSEAUSPH.LAITONMMAPURGE26X34P.ROUGEPIPN20/25;SFERACOSNC;PIECE;26,11;13,84
100056;MAFART;plomberie;513002;19509;ROBINETBOISSEAUSPH.LAITONFFF8X133V.ENLPN30;SFERACOSNC;PIECE;80,93;42,89
100057;MAFART;plomberie;513003;19514;ROBINETBOISSEAUSPH.LAITONFFF12X173V.ENLPN30;SFERACOSNC;PIECE;80,93;42,89
100058;MAFART;plomberie;513004;19520;ROBINETBOISSEAUSPH.LAITONFFF15X213V.ENLPN30;SFERACOSNC;PIECE;83,35;44,18
100059;MAFART;plomberie;513005;19535;ROBINETBOISSEAUSPH.LAITONFFF20X273V.ENLPN30;SFERACOSNC;PIECE;112,50;59,63
100060;MAFART;plomberie;513006;19540;ROBINETBOISSEAUSPH.LAITONFFF26X343V.ENLPN30;SFERACOSNC;PIECE;170,88;90,57
100061;MAFART;plomberie;513007;19556;ROBINETBOISSEAUSPH.LAITONFFF33X423V.ENLPN30;SFERACOSNC;PIECE;237,61;125,93
100062;MAFART;plomberie;513008;19561;ROBINETBOISSEAUSPH.LAITONFFF40X493V.ENLPN30;SFERACOSNC;PIECE;342,40;181,47
100063;MAFART;plomberie;513009;19577;ROBINETBOISSEAUSPH.LAITONFFF50X603V.ENLPN30;SFERACOSNC;PIECE;507,08;268,75
100064;MAFART;plomberie;514002;19582;ROBINETBOISSEAUSPH.LAITONFFF8X133V.ENTPN30;SFERACOSNC;PIECE;80,93;42,89
100065;MAFART;plomberie;514003;19598;ROBINETBOISSEAUSPH.LAITONFFF12X173V.ENTPN30;SFERACOSNC;PIECE;80,93;42,89
100066;MAFART;plomberie;514004;19603;ROBINETBOISSEAUSPH.LAITONFFF15X213V.ENTPN30;SFERACOSNC;PIECE;83,35;44,18
