_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900000;SOCOLEC;ALARMEINTRUSION;S492-22F;5083000904;CARTEMODULETRANSMETTEURLSRTC;HAGER;UN;237,00;175,66
900001;SOCOLEC;ALARMEINTRUSION;S304-22F;5083000940;CENTRALED'ALARMEINTRUSIONLS300RADIOSEUL;HAGER;UN;521,00;385,92
900002;SOCOLEC;ALARMEINTRUSION;S662-22F;78000769;CLAVIERDECOMMANDERADIOLECTEURDEBADGELS;HAGER;UN;277,00;205,21
900003;SOCOLEC;ALARMEINTRUSION;L3161F;78000604;DETECTEURDEMOUVEMENTSVOLUMETRIQUEMINIATURE90°PORTEE10M;HAGER;UN;220,00;163,19
900004;SOCOLEC;ALARMEINTRUSION;S271-22F;78000635;DETECTEURD'OUVERTUREDEPORTEMULTICONTACTRADIOBLANC;HAGER;UN;108,00;80,31
900005;SOCOLEC;ALARMEINTRUSION;SK304-22F;5083000943;PACKSYSTEMED'ALARMEINTRUSIONLSRADIO4GROUPES;HAGER;UN;730,00;540,55
900006;SOCOLEC;APPAREILLAGE;WE049;10710049;ESSENSYAPOUSSOIRVMC;HAGER;UN;9,00;6,57
900007;SOCOLEC;APPAREILLAGE;WE040;10710040;ESSENSYADOUBLEINTER.V&V;HAGER;UN;10,00;7,22
900008;SOCOLEC;APPAREILLAGE;WE044;10710044;ESSENSYADOUBLEPOUSSOIR1O+1F;HAGER;UN;15,00;11,13
900009;SOCOLEC;APPAREILLAGE;WE301;10710301;ESSENSYADOUBLEPOUSSOIRVOLET;HAGER;UN;17,00;12,39
900010;SOCOLEC;APPAREILLAGE;WE300;10710300;ESSENSYADOUBLEV&VVOLETROULANT;HAGER;UN;15,00;11,40
900011;SOCOLEC;APPAREILLAGE;WE001;10710001;ESSENSYAINTERV&V;HAGER;UN;3,00;2,52
900012;SOCOLEC;APPAREILLAGE;WE002;10710002;ESSENSYAINTERV&VAVOYANT;HAGER;UN;6,00;4,39
900013;SOCOLEC;APPAREILLAGE;WE048;10710048;ESSENSYAINTERV&VVMC;HAGER;UN;7,00;5,36
900014;SOCOLEC;APPAREILLAGE;WE050;10710050;ESSENSYAINTER.AUTO.IR2FILS;HAGER;UN;56,00;41,53
900015;SOCOLEC;APPAREILLAGE;WE051;10710051;ESSENSYAINTER.AUTO.IR3FILS;HAGER;UN;63,00;47,01
900016;SOCOLEC;APPAREILLAGE;WE157;10710157;ESSENSYAOBTURATEUR;HAGER;UN;5,00;3,41
900017;SOCOLEC;APPAREILLAGE;WE010;10710010;ESSENSYAPERMUTATEUR;HAGER;UN;14,00;10,73
900018;SOCOLEC;APPAREILLAGE;WE402;10710402;ESSENSYAPLAQUEDOUBLEHORIZENTR.71B;HAGER;UN;2,00;1,80
900019;SOCOLEC;APPAREILLAGE;WE401;10710401;ESSENSYAPLAQUESIMPLEBLANC;HAGER;UN;1,00;0,80
900020;SOCOLEC;APPAREILLAGE;WE403;10710403;ESSENSYAPLAQUETRIPLEHORIZENTR.71B;HAGER;UN;5,00;3,53
900021;SOCOLEC;APPAREILLAGE;WE407;10710407;ESSENSYAPLAQUETRIPLEVERT.ENTR.57WE407;HAGER;UN;5,00;3,66
900022;SOCOLEC;APPAREILLAGE;WE046;10710046;ESSENSYAPOUSSOIR+POUSSOIRAVOYANT;HAGER;UN;16,00;12,04
900023;SOCOLEC;APPAREILLAGE;WE022;10710022;ESSENSYAPOUSSOIR1O+1F;HAGER;UN;7,00;4,83
900024;SOCOLEC;APPAREILLAGE;WE023;10710023;ESSENSYAPOUSSOIR1O+1FAVOYANT;HAGER;UN;7,00;5,53
900025;SOCOLEC;APPAREILLAGE;WE025;10710025;ESSENSYAPOUSSOIRPORTE-ETIQUETTE1O+1;HAGER;UN;8,00;6,19
900026;SOCOLEC;APPAREILLAGE;WE100;10710100;ESSENSYAPRISE2P+T16ASANVIS;HAGER;UN;3,00;2,23
900027;SOCOLEC;APPAREILLAGE;WE291;10710291;ESSENSYAPRISEHAUTPARLEURDOUBLE;HAGER;UN;9,00;6,73
900028;SOCOLEC;APPAREILLAGE;WE290;10710290;ESSENSYAPRISEHAUTPARLEURSIMPLE;HAGER;UN;6,00;4,81
900029;SOCOLEC;APPAREILLAGE;WE214;10710214;ESSENSYAPRISERJ45CAT.5EFTP;HAGER;UN;8,00;6,26
900030;SOCOLEC;APPAREILLAGE;WE211;10710211;ESSENSYAPRISERJ45CAT.5EUTP;HAGER;UN;8,00;5,75
900031;SOCOLEC;APPAREILLAGE;WE223;10710223;ESSENSYAPRISERJ45CAT.6FTP;HAGER;UN;10,00;7,69
900032;SOCOLEC;APPAREILLAGE;WE226;10710226;ESSENSYAPRISERJ45CAT.6STP;HAGER;UN;16,00;11,71
900033;SOCOLEC;APPAREILLAGE;WE220;10710220;ESSENSYAPRISERJ45CAT.6UTP;HAGER;UN;10,00;7,47
900034;SOCOLEC;APPAREILLAGE;WE200;10710200;ESSENSYAPRISETELEPHONET;HAGER;UN;10,00;7,26
900035;SOCOLEC;APPAREILLAGE;WE250;10710250;ESSENSYAPRISETVDIRECTE;HAGER;UN;7,00;5,39
900036;SOCOLEC;APPAREILLAGE;WE253;10710253;ESSENSYAPRISETV+FMDIRECTE;HAGER;UN;16,00;11,93
900037;SOCOLEC;APPAREILLAGE;WE257;10710257;ESSENSYAPRISETV+FM+SATDIRECTE;HAGER;UN;23,00;17,34
900038;SOCOLEC;APPAREILLAGE;WE256;10710256;ESSENSYAPRISETV+FM+SATDIRECTE1ENTR;HAGER;UN;20,00;14,89
900039;SOCOLEC;APPAREILLAGE;WE064;10710064;ESSENSYAVARIATEURROTATIFTRANSFELEC;HAGER;UN;30,00;22,43
900040;SOCOLEC;APPAREILLAGE;WE063;10710063;ESSENSYAVARIATEURROTATIFTRANSFFERR;HAGER;UN;22,00;16,05
900041;SOCOLEC;APPAREILLAGE;WK785B;10707850;KALLYSTA2TOUCHEBLANCNEVE;HAGER;UN;4,00;2,89
900042;SOCOLEC;APPAREILLAGE;WK796B;10707960;KALLYSTA2TOUCHESPOUSSOIRVOLETROULANTBLANCNEVE;HAGER;UN;11,00;8,02
900043;SOCOLEC;APPAREILLAGE;WK795B;10707950;KALLYSTA2TOUCHESVAETVIENTVOLETROULANTBLANCNEVE;HAGER;UN;11,00;8,02
900044;SOCOLEC;APPAREILLAGE;WK301;10706301;KALLYSTADOUBLEPOUSSOIRVOLETROULANT;HAGER;UN;23,00;16,85
900045;SOCOLEC;APPAREILLAGE;WK300;10706300;KALLYSTADOUBLEV&VVOLETROULANT;HAGER;UN;21,00;15,45
900046;SOCOLEC;APPAREILLAGE;WK730B;10707300;KALLYSTAENJOLIVEURPC2P+TBLANCNEVE;HAGER;UN;1,00;0,77
900047;SOCOLEC;APPAREILLAGE;WK751B;10707510;KALLYSTAENJOLIVEURPRISERJ45BLANCNEVE;HAGER;UN;4,00;2,68
900048;SOCOLEC;APPAREILLAGE;WK752B;10707520;KALLYSTAENJOLIVEURPRISERJ45X2BLANCNEVE;HAGER;UN;9,00;6,55
900049;SOCOLEC;APPAREILLAGE;WK750B;10707500;KALLYSTAENJOLIVEURPRISETELEPHONETBLANCNEVE;HAGER;UN;2,00;1,82
900050;SOCOLEC;APPAREILLAGE;WK742B;10707420;KALLYSTAENJOLIVEURPRISETV+FM+SATBLANCNEVE;HAGER;UN;5,00;3,74
900051;SOCOLEC;APPAREILLAGE;WK741B;10707410;KALLYSTAENJOLIVEURPRISETV+FMBLANCNEVE;HAGER;UN;5,00;3,74
