_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;
200000;CDL;DIVERS;75387;1461190;ISOLANTPERIPHERIQUEEP.5MMHT120RL50MAVECBAVETTE;EFISOL;UN;34;24,99;
200001;CDL;DIVERS;TMS30MF;3668758;PLAQUEISOLANTLISSEEP30MMR1,201,20X1,00AUM2;EFISOL;M2;10;7,12;
200002;CDL;DIVERS;TMS47MF;3668762;PLAQUEISOLANTLISSEEP47MMR2,051,20X1,00AUM2;EFISOL;M2;14;10,15;
200003;CDL;DIVERS;TMS56SI;3668763;PLAQUEISOLANTLISSEEP56MMR2,601,20X1,00AUM2TMSSI56;EFISOL;M2;15;11,38;
200004;CDL;DIVERS;TMS80SI;3668765;PLAQUEISOLANTLISSEEP80MMR3,701,20X1,00AUM2TMSSI80;EFISOL;M2;22;16,42;
200005;CDL;DIVERS;605216;3674753;LIAISONFRIGOISOLEEDOUBLE1/4-1/220M;DITAC;UN;138;102,50;
200006;CDL;DIVERS;605215;3674754;LIAISONFRIGOISOLEEDOUBLE1/4-3/820M;DITAC;UN;117;86,32;
200007;CDL;DIVERS;605217;3674755;LIAISONFRIGOISOLEEDOUBLE1/4-5/820M;DITAC;UN;218;161,84;
200008;CDL;DIVERS;605218;3674756;LIAISONFRIGOISOLEEDOUBLE3/8-1/220M;DITAC;UN;200;147,82;
200009;CDL;DIVERS;605219;3674757;LIAISONFRIGOISOLEEDOUBLE3/8-5/820M;DITAC;UN;243;179,64;
200010;CDL;APPAREILLAGE;54185;1405688;THERMOSTATD'AMBIANCE2FILSSAILLIECONTACTINVERSEUR10A;HAGER;UN;21;15,35;
200011;CDL;APPAREILLAGE;25110;1498779;THERMOSTATD'AMBIANCE2FILSSEMIENCASTREECONTACTINVERSEUR10A;HAGER;UN;65;48,36;
200012;CDL;APPAREILLAGE;25111;1498791;THERMOSTATD'AMBIANCE2FILSSEMIENCASTREECONTACTINVERSEUR10AAVECARRETPARBOUTON;HAGER;UN;74;55,12;
200013;CDL;APPAREILLAGE;56511;1343478;THERMOSTATD'AMBIANCEANALOGIQUE24HAPILES;HAGER;UN;143;105,66;
200014;CDL;APPAREILLAGE;56571;1343481;THERMOSTATD'AMBIANCEANALOGIQUE7JAPILES;HAGER;UN;139;103,08;
200015;CDL;APPAREILLAGE;EK520;3240233;THERMOSTATD'AMBIANCEDIGITAL2FILS7JAPILES;HAGER;UN;119;88,08;
200016;CDL;APPAREILLAGE;EK530;3240236;THERMOSTATD'AMBIANCEDIGITAL4FILS7J230VAVECENTREESONDEDEPORTÉE;HAGER;UN;119;88,08;
200017;CDL;APPAREILLAGE;EK560;3240239;THERMOSTATD'AMBIANCEDIGITALRADIO7JAPILES;HAGER;UN;230;170,56;
200018;CDL;GENIECLIMATIQUE;11023301;3726340;CHAUFFEEAUB150T.FLOWACTIVTECHNOLOGIECO2NUESANSGROUPE;ALDES;UN;1261;934,01;
200019;CDL;GENIECLIMATIQUE;52550;1388993;GROUPEDESECURITEDROITSTANDARD20X27NFSFR;WATTSINDUSTRIES;UN;12;9,06;
200020;CDL;GENIECLIMATIQUE;24433;1074372;RACCORDDIELECTRIQUEMF20X27(PACKDE2);WATTSINDUSTRIES;UN;19;13,74;
200021;CDL;GENIECLIMATIQUE;92315;1074370;SIPHONDEGROUPEDESECURITENFAVECDEFLECTEURF26X34;WATTSINDUSTRIES;UN;2;1,34;
200022;CDL;APPAREILLAGE;TG520A;3521237;DETECTEURDEFUMEESAPILESDAAFCERTIFIENFEN14-604;HAGER;UN;24;17,59;
200023;CDL;APPAREILLAGE;62525;1753123;BLOCDESECOURSSATI60LUMENS;LEGRAND;UN;97;71,75;
200024;CDL;APPAREILLAGE;62526;3684969;BLOCDESECOURSSATIETANCHE60LUMENS;LEGRAND;UN;179;132,67;
200025;CDL;APPAREILLAGE;62566;3685192;BLOCDESECOURSSATIETANCHE360LUMENS;LEGRAND;UN;356;263,64;
200026;CDL;APPAREILLAGE;62565;3685198;BLOCDESECOURSSATIFLUO360LUMENS;LEGRAND;UN;295;218,71;
200027;CDL;APPAREILLAGE;3901;3684840;BOITIERTELECOMMANDE;LEGRAND;UN;164;121,39;
200028;CDL;APPAREILLAGE;40551;3681434;COFFRETD'ALARMETYPE4APILESDSETDMINTEGRES;LEGRAND;UN;153;113,48;
200029;CDL;APPAREILLAGE;38012;3679278;DECLENCHEURMANUELSAILLIEPOURALARMEINCENDIE;LEGRAND;UN;35;25,86;
200030;CDL;APPAREILLAGE;40561;3686387;TABLEAUD'ALARMETYPE4230V1BOUCLE;LEGRAND;UN;308;228,09;
200031;CDL;APPAREILLAGE;40562;3680358;TABLEAUD'ALARMETYPE4230V2BOUCLES;LEGRAND;UN;417;308,83;
200032;CDL;SECURITECOMMUNICATION;110001;3718847;BLOCDESECOURSAMBIANCESTANDARD360LUMENS;URA;UN;142;105,33;
200033;CDL;SECURITECOMMUNICATION;110000;3718848;BLOCDESECOURSEVACUATIONSTANDARD45LUMENS;URA;UN;51;37,88;
200034;CDL;SECURITECOMMUNICATION;111013;3718876;BLOCDESECOURSSATIEVACUATIONINCAND45LUMENS;URA;UN;85;62,91;
200035;CDL;SECURITECOMMUNICATION;955745;3718880;DECLENCHEURMANUELROUGEAMENBRANEACLAPET;URA;UN;61;45,20;
200036;CDL;SECURITECOMMUNICATION;957220;3718884;DIFFUSEURSONOREDS2492DB;URA;UN;60;44,80;
200037;CDL;SECURITECOMMUNICATION;320020;3718888;TABLEAUD'ALARMESONORE220VT4CT;URA;UN;261;193,03;
200038;CDL;SECURITECOMMUNICATION;320002;3718868;TABLEAUD'ALARMESONOREAPILET4CP;URA;UN;160;118,54;
200039;CDL;SECURITECOMMUNICATION;140010;3718846;TELECOMMANDECONTRÔLEMANUEL;URA;UN;96;71,12;
200040;CDL;APPAREILLAGE;S492-22F;3520610;CARTEMODULETRANSMETTEURLSRTC;HAGER;UN;213;158,04;
