_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
70000; CDL ; GENIE CLIMATIQUE ;10525;259414;COFFRET DE COMMUNICATION;SCHNEIDER;UN;65;46,23
70001; CDL ; GENIE CLIMATIQUE ;505920;827098;RADIATEUR CHALEUR DOUCE MARADJA PILOTAGE INTEL. 2000W BLANC HORIZ.;ATLANTIC;UN;771;550,93
70002; CDL ; GENIE CLIMATIQUE ;427131;366329;RADIATEUR CHALEUR DOUCE FONTE EQUATEUR DIGITAL 1000W VERT  BLC;THERMOR ;UN;598;427,27
70003; CDL ; GENIE CLIMATIQUE ;009232;;KIT AGRO POUR  CHAUFFE EAU ACI HYBRIDE;ATLANTIC;UN;29;20,63
70004; CDL ; GENIE CLIMATIQUE ;021107;413807;CHAUFFE EAU BLINDE VM  75L MONO MURAL;ATLANTIC;UN;207;147,73
70005; CDL ; GENIE CLIMATIQUE ;427151;366330;RADIATEUR CHALEUR DOUCE FONTE EQUATEUR DIGITAL 1500W VERT  BLC;THERMOR ;UN;776;554,09
70006; CDL ; GENIE CLIMATIQUE ;427171;366331;RADIATEUR CHALEUR DOUCE FONTE EQUATEUR DIGITAL 2000W VERT  BLC;THERMOR ;UN;913;652,27
70007; CDL ; GENIE CLIMATIQUE ;482121;366335;RADIATEUR CHALEUR DOUCE FONTE EQUATEUR DIGITAL  750W HORIZ BLC;THERMOR ;UN;491;351,01
70008; CDL ; GENIE CLIMATIQUE ;482131;366336;RADIATEUR CHALEUR DOUCE FONTE EQUATEUR DIGITAL 1000W HORIZ BLC;THERMOR ;UN;539;385,33
70009; CDL ; GENIE CLIMATIQUE ;482141;366337;RADIATEUR CHALEUR DOUCE FONTE EQUATEUR DIGITAL 1250W HORIZ BLC;THERMOR ;UN;610;435,96
70010; CDL ; GENIE CLIMATIQUE ;021110;413808;CHAUFFE EAU BLINDE VM 100L MONO MURAL;ATLANTIC;UN;174;124,12
70011; CDL ; GENIE CLIMATIQUE ;021115;413809;CHAUFFE EAU BLINDE VM 150L MONO MURAL;ATLANTIC;UN;202;144,47
70012; CDL ; GENIE CLIMATIQUE ;021120;413811;CHAUFFE EAU BLINDE VM 200L MONO MURAL;ATLANTIC;UN;231;165,16
70013; CDL ; GENIE CLIMATIQUE ;022115;413817;CHAUFFE EAU BLINDE VS 150L MONO S/SOCLE;ATLANTIC;UN;334;238,48
70014; CDL ; GENIE CLIMATIQUE ;022120;413819;CHAUFFE EAU BLINDE VS 200L MONO S/SOCLE;ATLANTIC;UN;388;277,14
70015; CDL ; GENIE CLIMATIQUE ;022130;413797;CHAUFFE EAU BLINDE VS 300L MONO S/SOCLE;ATLANTIC;UN;352;251,50
70016; CDL ; GENIE CLIMATIQUE ;10750;220212;REHAUSSE POUR OPALE 1 RANGEE;SCHNEIDER;UN;23;16,28
70017; CDL ; GENIE CLIMATIQUE ;21010;332541;RADIATEUR CHALEUR DOUCE RIAD  1000W;TRESCO ;UN;291;207,53
70018; CDL ; GENIE CLIMATIQUE ;21020;332558;RADIATEUR CHALEUR DOUCE RIAD  2000W;TRESCO ;UN;409;292,03
