_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
;CEF;APPAREILLAGE;00004;00004;Etiquette [ Arret D`Urgenge ];ABB;1;4,32;2,51
;CEF;APPAREILLAGE;00008;00008;Etiquette [ Augmenter ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00009;00009;Etiquette [ Declenchement ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00010;00010;Etiquette [ Arret ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00013;00013;Etiquette [ Demarrage ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00014;00014;Etiquette [ Descente ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00015;00015;Etiquette [ Diminuer];ABB;1;1,88;1,09
;CEF;APPAREILLAGE;00016;00016;Etiquette [ Droite ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00017;00017;Etiquette [ Ferme ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00018;00018;Etiquette [ Gauche ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00019;00019;Etiquette [ Marche ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00020;00020;Etiquette [ Montee ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00021;00021;Etiquette [ Ouvert ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00023;00023;Etiquette [ Fermer ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00024;00024;Etiquette [ Ouvrir ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00025;00025;Etiquette [ Arret D`Urgence ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00026;00026;Etiquette [ Arriere ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00027;00027;Etiquette [ Avant ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00028;00028;Etiquette [ Rearmement ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00029;00029;Etiquette [ Defaut ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00030;00030;Etiquette [ En Service ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00031;00031;Etiquette [ Hors Service ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00032;00032;Etiquette [ Sous Tension ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00037;00037;Etiquette [ Normal];ABB;1;1,88;1,09
;CEF;APPAREILLAGE;00040;00040;Etiquette [ Main O Auto ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00041;00041;Etiquette [ Arret Marche ];ABB;1;2,05;1,19
;CEF;APPAREILLAGE;00042;00042;Etiquette [ Auto Main];ABB;1;1,95;1,13
