_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
;CEF;GENIE CLIMATIQUE;1104-1EB;1104-1EB;Solo Etroit 500W Blanc;APPLIMO;1;78,90;59,18
;CEF;GENIE CLIMATIQUE;1104-1EB;1104-1EB;Solo Etroit 500W Blanc;APPLIMO;1;78,90;59,18
;CEF;GENIE CLIMATIQUE;1104-2EB;1104-2EB;Solo Etroit 750W Blanc;APPLIMO;1;82,00;61,50
;CEF;GENIE CLIMATIQUE;1104-2EB;1104-2EB;Solo Etroit 750W Blanc;APPLIMO;1;82,00;61,50
;CEF;GENIE CLIMATIQUE;1104-3EB;1104-3EB;Solo Etroit 1000W Blanc;APPLIMO;1;83,80;62,85
;CEF;GENIE CLIMATIQUE;1104-3EB;1104-3EB;Solo Etroit 1000W Blanc;APPLIMO;1;83,80;62,85
;CEF;GENIE CLIMATIQUE;1104-4EB;1104-4EB;Solo Etroit 1250W Blanc;APPLIMO;1;95,30;71,47
;CEF;GENIE CLIMATIQUE;1104-4EB;1104-4EB;Solo Etroit 1250W Blanc;APPLIMO;1;95,30;71,47
;CEF;GENIE CLIMATIQUE;1104-5EB;1104-5EB;Solo Etroit 1500W Blanc;APPLIMO;1;101,40;76,05
;CEF;GENIE CLIMATIQUE;1104-5EB;1104-5EB;Solo Etroit 1500W Blanc;APPLIMO;1;101,40;76,05
;CEF;GENIE CLIMATIQUE;1104-6EB;1104-6EB;Solo Etroit 1750W Blanc;APPLIMO;1;107,70;80,78
;CEF;GENIE CLIMATIQUE;1104-6EB;1104-6EB;Solo Etroit 1750W Blanc;APPLIMO;1;107,70;80,78
;CEF;GENIE CLIMATIQUE;1104-7EB;1104-7EB;Solo Etroit 2000W Blanc;APPLIMO;1;113,30;84,98
;CEF;GENIE CLIMATIQUE;1104-7EB;1104-7EB;Solo Etroit 2000W Blanc;APPLIMO;1;113,30;84,98
;CEF;GENIE CLIMATIQUE;1104-8EB;1104-8EB;Solo Etroit 2500W Blanc;APPLIMO;1;120,80;90,60
;CEF;GENIE CLIMATIQUE;1104-8EB;1104-8EB;Solo Etroit 2500W Blanc;APPLIMO;1;120,80;90,60
;CEF;GENIE CLIMATIQUE;1125-1SB;1125-1SB;Quarto Sas Horizontal 500W;APPLIMO;1;260,00;195,00
;CEF;GENIE CLIMATIQUE;1125-1SB;1125-1SB;Quarto Sas Horizontal 500W;APPLIMO;1;260,00;195,00
;CEF;GENIE CLIMATIQUE;1125-2SB;1125-2SB;Quarto Sas Horizontal 750W;APPLIMO;1;266,30;199,73
;CEF;GENIE CLIMATIQUE;1125-2SB;1125-2SB;Quarto Sas Horizontal 750W;APPLIMO;1;266,30;199,73
;CEF;GENIE CLIMATIQUE;1125-3SB;1125-3SB;Quarto Sas Horizontal 1000W;APPLIMO;1;281,70;211,27
;CEF;GENIE CLIMATIQUE;1125-3SB;1125-3SB;Quarto Sas Horizontal 1000W;APPLIMO;1;281,70;211,27
;CEF;GENIE CLIMATIQUE;1125-4SB;1125-4SB;Quarto Sas Horizontal 1250W;APPLIMO;1;307,90;230,93
;CEF;GENIE CLIMATIQUE;1125-4SB;1125-4SB;Quarto Sas Horizontal 1250W;APPLIMO;1;307,90;230,93
;CEF;GENIE CLIMATIQUE;1125-5SB;1125-5SB;Quarto Sas Horizontal 1500W;APPLIMO;1;334,00;250,50
;CEF;GENIE CLIMATIQUE;1125-5SB;1125-5SB;Quarto Sas Horizontal 1500W;APPLIMO;1;334,00;250,50
;CEF;GENIE CLIMATIQUE;1125-7SB;1125-7SB;Quarto Sas Horizontal 2000W;APPLIMO;1;395,10;296,33
;CEF;GENIE CLIMATIQUE;1125-7SB;1125-7SB;Quarto Sas Horizontal 2000W;APPLIMO;1;395,10;296,33
