_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
;CEF;SECURITE COMMUNICATION;1285002;1285002;12V 2,1 Ah;DELTA DORE;1;77,32;42,45
;CEF;SECURITE COMMUNICATION;1285006;1285006;BAT 6V 2,8 Ah;DELTA DORE;1;65,72;36,08
;CEF;SECURITE COMMUNICATION;1285009;1285009;BAT 6 V 1,2 Ah;DELTA DORE;1;36,08;19,81
;CEF;SECURITE COMMUNICATION;2210022      ;2210022      ;Sonde Delta 630;DELTA DORE;1;68,73;33,54
;CEF;SECURITE COMMUNICATION;6000003;6000003;DELTA 56-1 ;DELTA DORE;1;471,00;296,73
;CEF;SECURITE COMMUNICATION;6000012;6000012;DELTA 200;DELTA DORE;1;508,00;320,04
;CEF;SECURITE COMMUNICATION;6000013;6000013;DELTA 600 BT;DELTA DORE;1;471,00;296,73
;CEF;SECURITE COMMUNICATION;6000015;6000015;DELTA 600 TH;DELTA DORE;1;127,00;80,01
;CEF;SECURITE COMMUNICATION;6000016;6000016;DELTA 600 COM;DELTA DORE;1;217,00;136,71
;CEF;SECURITE COMMUNICATION;6002004;6002004;DELTA 125 N;DELTA DORE;1;596,00;375,48
;CEF;SECURITE COMMUNICATION;6050130;6050130;gestionnaire d'énergie simplifié 2 zones - COMBOX 2Z ;DELTA DORE;1;290,00;182,70
;CEF;SECURITE COMMUNICATION;6050149;6050149;PACK LABEL 1H;DELTA DORE;1;324,41;158,31
;CEF;SECURITE COMMUNICATION;6050264;6050264;Combox 1Z;DELTA DORE;1;237,00;149,31
;CEF;SECURITE COMMUNICATION;6050289      ;6050289      ;RADIO TYBOX CLIM;DELTA DORE;1;357,00;224,91
;CEF;SECURITE COMMUNICATION;6050359      ;6050359      ;RECEPTEUR RADIO TYBOX CLIM;DELTA DORE;1;347,77;169,71
;CEF;SECURITE COMMUNICATION;6050362;6050362;DIANA D10;DELTA DORE;1;50,00;31,50
;CEF;SECURITE COMMUNICATION;6050363;6050363;RADIO D10;DELTA DORE;1;122,00;76,86
;CEF;SECURITE COMMUNICATION;6050365;6050365;PACK LABEL PRE;DELTA DORE;1;433,00;272,79
;CEF;SECURITE COMMUNICATION;6050370;6050370;PACK LABEL ACCUMULATEUR;DELTA DORE;1;381,00;240,03
;CEF;SECURITE COMMUNICATION;6050376;6050376;DIANA D20;DELTA DORE;1;60,00;37,80
;CEF;SECURITE COMMUNICATION;6050377;6050377;RADIO D20 ;DELTA DORE;1;153,00;96,39
;CEF;SECURITE COMMUNICATION;6050382      ;6050382      ;TYBOX 710 ;DELTA DORE;1;109,00;68,67
;CEF;SECURITE COMMUNICATION;6050383      ;6050383      ;TYBOX 711 ;DELTA DORE;1;109,00;68,67
;CEF;SECURITE COMMUNICATION;6050384      ;6050384      ;RADIO TYBOX 810 ;DELTA DORE;1;228,00;143,64
;CEF;SECURITE COMMUNICATION;6050385      ;6050385      ;RADIO TYBOX 820;DELTA DORE;1;325,00;204,75
;CEF;SECURITE COMMUNICATION;6050386      ;6050386      ;DRIVER 611;DELTA DORE;1;103,00;64,89
;CEF;SECURITE COMMUNICATION;6050387      ;6050387      ;DRIVER 621;DELTA DORE;1;165,00;103,95
;CEF;SECURITE COMMUNICATION;6050388      ;6050388      ;CALYBOX 110 ;DELTA DORE;1;262,00;165,06
