_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
;CEF;APPAREILLAGE;04011;04011;Inter CrÈP 1 Voie 24H 5M Cellule Saillie;HAGER;1;331,17;331,17
;CEF;APPAREILLAGE;04504;04504;Inter CrÈP Compact Basic 8A;HAGER;1;96,47;96,47
;CEF;APPAREILLAGE;04505;04505;Inter CrÈP Compact …VOluÈ 16A;HAGER;1;128,46;128,46
;CEF;APPAREILLAGE;04510;04510;Inter CrÈP 1 Voie 3M Cellule Saillie;HAGER;1;172,02;172,02
;CEF;APPAREILLAGE;04562;04562;Horloge Astronomique 1 Voie 7J + ClÈ;HAGER;1;289,02;289,02
;CEF;APPAREILLAGE;04563;04563;Horloge Astronomique 2 Voies 7J + ClÈ;HAGER;1;478,54;478,54
;CEF;APPAREILLAGE;04610;04610;Inter CrÈP 1 Voie 3M Cellule ¿ Encastrer;HAGER;1;172,02;172,02
;CEF;APPAREILLAGE;04922;04922;Cellule EncastrÈE Pour Inter CrÈP;HAGER;1;65,29;65,29
;CEF;APPAREILLAGE;04925;04925;Cellule Saillie Pour Inter CrÈP;HAGER;1;65,29;65,29
;CEF;APPAREILLAGE;100311;100311;Goulotte Fb60X110 Pvc Gris 7030;HAGER;1;41,61;41,61
;CEF;APPAREILLAGE;100328;100328;Goulotte Fb 60X130 4 Agrafes Pvc Gris;HAGER;1;46,92;46,92
;CEF;APPAREILLAGE;100342;100342;Goulotte Fb 60X150 4 Agrafes Pvc Gris;HAGER;1;62,95;62,95
;CEF;APPAREILLAGE;100359;100359;Goulotte Fb 60X190 4 Agrafes Pvc Gris;HAGER;1;79,84;79,84
;CEF;APPAREILLAGE;100366;100366;Goulotte Fb 60X230 4 Agrafes Pvc Gris;HAGER;1;98,96;98,96
;CEF;APPAREILLAGE;100434;100434;SÈPAration Simple, Fb-H60;HAGER;1;9,04;9,04
;CEF;APPAREILLAGE;100465;100465;Angle Plat,FB 80130,GRis;HAGER;1;93,71;93,71
;CEF;APPAREILLAGE;100472;100472;Angle ExtÈRIeur,FB 80130,GRis;HAGER;1;133,41;133,41
;CEF;APPAREILLAGE;100489;100489;Angle IntÈRIeur,FB 80130,GRis;HAGER;1;101,21;101,21
;CEF;APPAREILLAGE;100618;100618;Separation Simple Pour Br/A/S 70PVc;HAGER;1;11,15;11,15
;CEF;APPAREILLAGE;101318;101318;Separation Double Pour Br/A/S 70PVc;HAGER;1;21,30;21,30
;CEF;APPAREILLAGE;104388;104388;Goulotte Vk-Flex 20 Longueur 500 Mm;HAGER;1;9,29;9,29
;CEF;APPAREILLAGE;104395;104395;Goulotte Vk-Flex 30 Longueur 500 Mm;HAGER;1;10,40;10,40
;CEF;APPAREILLAGE;104401;104401;Goulotte Vk-Flex 20 Autocollante;HAGER;1;11,21;11,21
;CEF;APPAREILLAGE;104418;104418;Goulotte Vk-Flex 30 Autocollante;HAGER;1;12,39;12,39
;CEF;APPAREILLAGE;104708;104708;TÈ Et Croix, Lf 40060/61, Gris;HAGER;1;28,20;28,20
;CEF;APPAREILLAGE;104746;104746;TÈ Et Croix, Lf 40110, Gris;HAGER;1;34,85;34,85
;CEF;APPAREILLAGE;104890;104890;TÈ Et Croix, Lf 40090/91, Gris;HAGER;1;31,86;31,86
;CEF;APPAREILLAGE;104951;104951;Agrafe Pour Lf, 120MM;HAGER;1;1,82;1,82
;CEF;APPAREILLAGE;105071;105071;TÈ Et Croix, Lf 30060, Gris;HAGER;1;26,22;26,22
;CEF;APPAREILLAGE;105378;105378;Angle IntÈRIeur,LF/FB60110,GRis;HAGER;1;33,15;33,15
;CEF;APPAREILLAGE;105385;105385;Angle ExtÈRIeur,LF/FB 60110,GRis;HAGER;1;33,15;33,15
;CEF;APPAREILLAGE;105392;105392;Angle Plat,LF/FB 60110,GRis;HAGER;1;34,15;34,15
;CEF;APPAREILLAGE;105408;105408;TÈ Et Croix, Lf/FB 60110,GRis;HAGER;1;34,43;34,43
;CEF;APPAREILLAGE;105446;105446;Angle IntÈRIeur,FB 60130,GRis;HAGER;1;37,29;37,29
;CEF;APPAREILLAGE;105453;105453;Angle ExtÈRIeur,FB 60130,GRis;HAGER;1;37,29;37,29
;CEF;APPAREILLAGE;105460;105460;Angle Plat,FB 60130,GRis;HAGER;1;38,73;38,73
;CEF;APPAREILLAGE;105477;105477;Te Et Croix,FB 60130,GRis;HAGER;1;39,16;39,16
;CEF;APPAREILLAGE;105514;105514;Angle IntÈRIeur,LF/FB 60150,GRis;HAGER;1;40,49;40,49
;CEF;APPAREILLAGE;105521;105521;Angle ExtÈRIeur,LF/FB 60150,GRis;HAGER;1;40,49;40,49
;CEF;APPAREILLAGE;105538;105538;Angle Plat,LF/FB 60150,GRis;HAGER;1;43,27;43,27
;CEF;APPAREILLAGE;105545;105545;Te Et Croix,LF/FB 60150,GRis;HAGER;1;43,78;43,78
;CEF;APPAREILLAGE;105569;105569;Angle IntÈRIeur,LF/FB 60190,GRis;HAGER;1;53,39;53,39
;CEF;APPAREILLAGE;105576;105576;Angle ExtÈRIeur,LF/FB 60190,GRis;HAGER;1;53,39;53,39
;CEF;APPAREILLAGE;105583;105583;Angle Plat,LF/FB 60190,GRis;HAGER;1;58,34;58,34
;CEF;APPAREILLAGE;105590;105590;Te Et Croix,LF/FB 60190,GRis;HAGER;1;58,89;58,89
;CEF;APPAREILLAGE;105606;105606;Angle IntÈRIeur,LF/FB 60230,GRis;HAGER;1;67,47;67,47
;CEF;APPAREILLAGE;105613;105613;Angle ExtÈRIeur,LF/FB 60230,GRis;HAGER;1;67,47;67,47
;CEF;APPAREILLAGE;105620;105620;Angle Plat,LF/FB 60230,GRis;HAGER;1;70,93;70,93
;CEF;APPAREILLAGE;105637;105637;Te Et Croix,LF/FB 60230,GRis;HAGER;1;71,58;71,58
