_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600000;CEF;GENIE CLIMATIQUE;10186;10186;Hcfb/6-560/H B;;1;879,1;515,59
600001;CEF;GENIE CLIMATIQUE;10198;10198;Helicoide Ind Hcft/6-450/H 230/400V;;1;690,36;404,9
600002;CEF;GENIE CLIMATIQUE;10208;10208;Helicoide Indus Hcft/4-355/H B;;1;481,64;282,48
600003;CEF;GENIE CLIMATIQUE;10210;10210;Helicoide Indus Hcfb/4-560/H B;;1;1 159,41;679,99
600004;CEF;GENIE CLIMATIQUE;10216;10216;Helicoide Indus Hcft/4-710/H B;;1;1 318,67;773,4
600005;CEF;GENIE CLIMATIQUE;10218;10218;Helicoide Ind Hcft/4-630/HB 230/400;;1;1 110,64;651,39
600006;CEF;GENIE CLIMATIQUE;10219;10219;Helicoide Indus Hcft/4-250/H B;;1;437,71;256,72
600007;CEF;GENIE CLIMATIQUE;10223;10223;Hcfb/6-630/H B;;1;880,18;516,23
600008;CEF;GENIE CLIMATIQUE;10225;10225;Hcfb/4-355/H B;;1;459,39;269,43
600009;CEF;GENIE CLIMATIQUE;10227;10227;Hcft/4-450/H-B 230/400V;;1;631,65;370,46
600010;CEF;GENIE CLIMATIQUE;10228;10228;Hcft/6-560/H B 400V;;1;759,45;445,42
600011;CEF;GENIE CLIMATIQUE;10229;10229;Hcfb/4-450/H B;;1;663,39;389,08
600012;CEF;GENIE CLIMATIQUE;10230;10230;Hcft/4-560/H B 230/400V;;1;973,17;570,76
600013;CEF;GENIE CLIMATIQUE;10231;10231;Hcgt/4-450/G-B 440-485V60HZ;;1;791,34;464,12
600014;CEF;GENIE CLIMATIQUE;10232;10232;Hcfb/4-500/H B;;1;764,8;448,56
600015;CEF;GENIE CLIMATIQUE;10233;10233;Hcfb/4-250/H B;;1;416,97;244,55
600016;CEF;GENIE CLIMATIQUE;10235;10235;Hcfb/2-250/H B;;1;433,64;254,33
600017;CEF;GENIE CLIMATIQUE;10236;10236;Hcft/4-500/H B 400V;;1;687,03;402,94
600018;CEF;GENIE CLIMATIQUE;10237;10237;Hcft/4-500/H B 230/400V;;1;623,05;365,42
600019;CEF;GENIE CLIMATIQUE;10238;10238;Hcft/8-710/G 230/400 60HZ;;1;1 170,39;686,43
600020;CEF;GENIE CLIMATIQUE;10239;10239;Hcft/6-630/H B 400V 50HZ;;1;811,88;476,17
600021;CEF;GENIE CLIMATIQUE;10240;10240;Hcft/4-400/H-B 230/400V 50HZ;;1;478,93;280,89
600022;CEF;GENIE CLIMATIQUE;10241;10241;Helic Mur Pale Pla 4Poles D315 Mono;;1;451,12;264,58
600023;CEF;GENIE CLIMATIQUE;10242;10242;Helic Mur Pale Pla 4Poles D355 Mono;;1;506,45;297,03
600024;CEF;GENIE CLIMATIQUE;10243;10243;Helic Mur Pale Pla 4Poles D400 Mono;;1;570,58;334,65
600025;CEF;GENIE CLIMATIQUE;10244;10244;Hcfb/4-400/H M;;1;538,29;315,71
600026;CEF;GENIE CLIMATIQUE;10245;10245;Helic Mur Pale Pla 4Poles D450 Mono;;1;703,19;412,42
600027;CEF;GENIE CLIMATIQUE;10246;10246;Hcgt/4/8-630/G B 400V 60HZ;;1;1 680,85;985,82
600028;CEF;GENIE CLIMATIQUE;10247;10247;Helic Mur Pale Pla 4Poles D500 Mono;;1;764,8;448,56
600029;CEF;GENIE CLIMATIQUE;10248;10248;Hcft/6-400/H B;;1;545,29;319,81
600030;CEF;GENIE CLIMATIQUE;10249;10249;Helic Mur Pale Pla 4Poles D560 Mono;;1;1 159,41;679,99
600031;CEF;GENIE CLIMATIQUE;10250;10250;Helic Mur Pale Pla 4Poles D630 Mono;;1;1 285,71;754,07
600032;CEF;GENIE CLIMATIQUE;10251;10251;Helic Mur Pale Pla 6Poles D355 Mono;;1;538,36;315,75
600033;CEF;GENIE CLIMATIQUE;10252;10252;Helic Mur Pale Pla 6Poles D400 Mono;;1;606,81;355,89
600034;CEF;GENIE CLIMATIQUE;10253;10253;Helic Mur Pale Pla 6Poles D450 Mono;;1;724,88;425,14
600035;CEF;GENIE CLIMATIQUE;10254;10254;Helic Mur Pale Pla 6Poles D500 Mono;;1;769,63;451,39
600036;CEF;GENIE CLIMATIQUE;10255;10255;Helic Mur Pale Pla 6Poles D560 Mono;;1;879,1;515,59
600037;CEF;GENIE CLIMATIQUE;10256;10256;Helic Mur Pale Pla 6Poles D630 Mono;;1;933;547,2
600038;CEF;GENIE CLIMATIQUE;10258;10258;Helic Mur Pale Pla 4Poles D315 Tri;;1;455,39;267,09
600039;CEF;GENIE CLIMATIQUE;10259;10259;Helic Mur Pale Pla 4Poles D355 Tri;;1;481,64;282,48
600040;CEF;GENIE CLIMATIQUE;10260;10260;Helic Mur Pale Pla 4Poles D400 Tri;;1;543,52;318,77
