ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au;PRIX DE BASE;PRIX NET
70000;;DIVERS;80020;SCOTCH SUPER 33+ 19MM  10M.;3 M;UN;3;
70001;;DIVERS;80021;SCOTCH SUPER 33+ 19MM  20M.;3 M;UN;8;
70002;;DIVERS;84890;CONNECTEUR RAPIDE TELEPHONE;3 M;CE;13;
70003;;APPAREILLAGE;190160;JEU DE BARRES INTER DIFF+ 11 SN201L (VISSEE ET RESSORT);ABB;UN;10;
70004;;APPAREILLAGE;190161;JEU DE BARRES 13 SN201L (VISSEE ET RESSORT) CAVALIER 27357 INTERDIT;ABB;UN;6;
70005;;APPAREILLAGE;26506;CONTACTEUR J/N 2 X 20 A;ABB;UN;33;
70006;;APPAREILLAGE;27355;PEIGNE DE RACCORDEMENT 12 MODULES ( PHASE );ABB;UN;3;
70007;;APPAREILLAGE;27356;PEIGNE DE RACCORDEMENT 12 MODULES  ( NEUTRE );ABB;UN;3;
70008;;APPAREILLAGE;27357;CAVALIER DE PONTAGE INTER DIFF/ PH. NEUTRE;ABB;UN;5;
70009;;APPAREILLAGE;27402;JONCTION PLAFOND/GOULOTTE;ABB;UN;21;
70010;;APPAREILLAGE;27410;GAINE TECHNIQUE KIT GTL ( CORP/COUVERCLE/CLOISON/SUPPORT/ AGRAFFE;ABB;UN;73;
70011;;APPAREILLAGE;27415;SUPPORTS DE COFFRET ( 2 PIECES );ABB;UN;17;
70012;;APPAREILLAGE;27417;JONCTION  COFFRET/GOULOTTE ( 2 PIECES );ABB;UN;18;
70013;;APPAREILLAGE;435004;TELERUPTEUR 16A - 250V  1F;ABB;UN;17;
70014;;APPAREILLAGE;442041;INTER. DIFF.  4 X 25 - 30 MA TYPE AC;ABB;UN;61;
70015;;APPAREILLAGE;442051;INTER. DIFF.  4 X 40 - 30 MA TYPE AC;ABB;UN;67;
70016;;APPAREILLAGE;442061;INTER. DIFF.  4 X 63 - 30 MA TYPE AC;ABB;UN;97;
70017;;APPAREILLAGE;443041;INTER. DIFF.  2 X 25 - 30 MA TYPE AC;ABB;UN;33;
70018;CEF;APPAREILLAGE;443051;INTER. DIFF.  2 X 40 - 30 MA TYPE AC;ABB;UN;35;23,5
70019;CEF;APPAREILLAGE;443061;INTER. DIFF.  2 X 63 - 30 MA TYPE AC;ABB;UN;55;37,5
70020;CEF;APPAREILLAGE;443151;INTER. DIFF.  2 X 40 - 30 MA TYPE A;ABB;UN;42;28,98
70021;CEF;APPAREILLAGE;443161;INTER. DIFF.  2 X 63 - 30 MA  TYPE A;ABB;UN;67;45
70022;CEF;APPAREILLAGE;470229;DISJONCTEUR DIVISIONNAIRE PH+N  2 A;ABB;UN;11;7,83
70023;CEF;APPAREILLAGE;470236;DISJONCTEUR DIVISIONNAIRE PH+N 10 A;ABB;UN;8;5,1
70024;CEF;APPAREILLAGE;470238;DISJONCTEUR DIVISIONNAIRE PH+N 16 A;ABB;UN;8;5,1
70025;CEF;APPAREILLAGE;470239;DISJONCTEUR DIVISIONNAIRE PH+N 20 A;ABB;UN;8;5,1
70026;CEF;APPAREILLAGE;470241;DISJONCTEUR DIVISIONNAIRE PH+N 32 A;ABB;UN;9;6,71
70027;CEF;APPAREILLAGE;470429;DISJONCTEUR DIVISIONNAIRE PH+N  2 A  BORNES AUTO;ABB;UN;11;8,25
70028;CEF;APPAREILLAGE;470436;DISJONCTEUR DIVISIONNAIRE PH+N 10 A BORNES AUTO;ABB;UN;9;6,15
70029;CEF;APPAREILLAGE;470438;DISJONCTEUR DIVISIONNAIRE PH+N 16 A BORNES AUTO;ABB;UN;9;6,15
70030;CEF;APPAREILLAGE;470439;DISJONCTEUR DIVISIONNAIRE PH+N 20 A BORNES AUTO;ABB;UN;9;6,15
70031;CEF;APPAREILLAGE;470441;DISJONCTEUR DIVISIONNAIRE PH+N 32 A BORNES AUTO;ABB;UN;9;6,8
70032;;APPAREILLAGE;798751;COFFRET DE DISTRIB. ALPHA 18 MODULES 1R;ABB;UN;51;
70033;;APPAREILLAGE;798752;COFFRET DE DISTRIB. ALPHA 36 MODULES 2R;ABB;UN;74;
70034;;APPAREILLAGE;798753;COFFRET DE DISTRIB. ALPHA 54 MODULES 3R;ABB;UN;95;
70035;;APPAREILLAGE;798754;COFFRET DE DISTRIB. ALPHA 72 MODULES 4R;ABB;UN;147;
70036;CEF;APPAREILLAGE;799101;COFFRET DE DISTRIB. GALE'O 13 MODULES 1R;ABB;UN;15;10,26
70037;CEF;APPAREILLAGE;799102;COFFRET DE DISTRIB. GALE'O 26 MODULES 2R;ABB;UN;23;15,71
70038;CEF;APPAREILLAGE;799103;COFFRET DE DISTRIB. GALE'O 39 MODULES 3R;ABB;UN;33;22,86
70039;CEF;APPAREILLAGE;799104;COFFRET DE DISTRIB. GALE'O 52 MODULES 4R;ABB;UN;48;34,03
70040;;APPAREILLAGE;799150;COFFRET DE COMMUNICATION BASIC;ABB;UN;58;
70041;;APPAREILLAGE;799152;COFFRET DE COMMUNICATION GRADE 1;ABB;UN;237;
70042;;APPAREILLAGE;799153;COFFRET DE COMMUNICATION GRADE 3;ABB;UN;905;
70043;;ECLAIRAGE;AL10010;SPOT TBT ENCASTRE FIXE 12V  Ø50 NICKEL;ABI ALUM;UN;3;
70044;;ECLAIRAGE;AL10012;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 OR BRILLANT;ABI ALUM;UN;5;
70045;;ECLAIRAGE;AL10110KT;KIT SPOT TBT ETANCHE  SDB FIXE  BLANC TRANSFO ELECTRO + LAMPE;ABI ALUM;UN;38;
70046;;ECLAIRAGE;AL10402;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 OR BRILLANT;ABI ALUM;UN;8;
70047;;ECLAIRAGE;AL10800;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 BLANC;ABI ALUM;UN;5;
70048;;ECLAIRAGE;AL10950;KIT SPOT TBT ELECTRONIQUE FIXE BLANC;ABI ALUM;UN;15;
70049;;ECLAIRAGE;AL10952;KIT SPOT TBT ELECTRONIQUE FIXE DORE;ABI ALUM;UN;25;
70050;;ECLAIRAGE;AL10960;KIT SPOT TBT ORIENTABLE ELECTRONIQUE BLANC;ABI ALUM;UN;15;
70051;;ECLAIRAGE;AL10962;KIT SPOT TBT ORIENTABLE ELECTRONIQUE DORE;ABI ALUM;UN;27;
70052;;ECLAIRAGE;AL38602;PROJECTEUR ETANCHE 300W NOIR;ABI ALUM;UN;17;
70053;;ECLAIRAGE;AL38606;PROJECTEUR ETANCHE 300W BLANC;ABI ALUM;UN;17;
70054;;GENIE CLIMATIQUE;THXP075 - 150;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ;UN;815;
70055;;GENIE CLIMATIQUE;THXP075 - 200;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ;UN;816;
70056;;GENIE CLIMATIQUE;THXP100 - 200;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;840;
70057;;GENIE CLIMATIQUE;THXP100 - 220;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;867;
70058;;GENIE CLIMATIQUE;THXP100 - 180;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;824;
70059;;GENIE CLIMATIQUE;THXP125 - 200;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ;UN;906;
70060;;GENIE CLIMATIQUE;THXP125 - 220;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ;UN;972;
70061;;GENIE CLIMATIQUE;THXP150 - 180;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;943;
70062;;GENIE CLIMATIQUE;THXP150 - 220;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;1001;
70063;;GENIE CLIMATIQUE;THXP150 - 200;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;966;
