ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au;PRIX DE BASE;PRIX NET
70000;CYCLELECT;DIVERS;80020;SCOTCH SUPER 33+ 19MM  10M.;3 M;UN;3,06;2,05
70001;CYCLELECT;DIVERS;80021;SCOTCH SUPER 33+ 19MM  20M.;3 M;UN;8,15;5,46
70002;CYCLELECT;DIVERS;84890;CONNECTEUR RAPIDE TELEPHONE;3 M;CE;12,78;8,56
70003;;APPAREILLAGE;190160;JEU DE BARRES INTER DIFF+ 11 SN201L (VISSEE ET RESSORT);ABB;UN;10,05;
70004;;APPAREILLAGE;190161;JEU DE BARRES 13 SN201L (VISSEE ET RESSORT) CAVALIER 27357 INTERDIT;ABB;UN;6,06;
70005;;APPAREILLAGE;26506;CONTACTEUR J/N 2 X 20 A;ABB;UN;32,63;
70006;;APPAREILLAGE;27355;PEIGNE DE RACCORDEMENT 12 MODULES ( PHASE );ABB;UN;2,99;
70007;;APPAREILLAGE;27356;PEIGNE DE RACCORDEMENT 12 MODULES  ( NEUTRE );ABB;UN;2,99;
70008;;APPAREILLAGE;27357;CAVALIER DE PONTAGE INTER DIFF/ PH. NEUTRE;ABB;UN;4,99;
70009;;APPAREILLAGE;27402;JONCTION PLAFOND/GOULOTTE;ABB;UN;20,74;
70010;;APPAREILLAGE;27410;GAINE TECHNIQUE KIT GTL ( CORP/COUVERCLE/CLOISON/SUPPORT/ AGRAFFE;ABB;UN;73,14;
70011;;APPAREILLAGE;27415;SUPPORTS DE COFFRET ( 2 PIECES );ABB;UN;16,56;
70012;;APPAREILLAGE;27417;JONCTION  COFFRET/GOULOTTE ( 2 PIECES );ABB;UN;17,57;
70013;;APPAREILLAGE;435004;TELERUPTEUR 16A - 250V  1F;ABB;UN;17,43;
70014;;APPAREILLAGE;442041;INTER. DIFF.  4 X 25 - 30 MA TYPE AC;ABB;UN;61,34;
70015;;APPAREILLAGE;442051;INTER. DIFF.  4 X 40 - 30 MA TYPE AC;ABB;UN;67,29;
70016;;APPAREILLAGE;442061;INTER. DIFF.  4 X 63 - 30 MA TYPE AC;ABB;UN;96,82;
70017;;APPAREILLAGE;443041;INTER. DIFF.  2 X 25 - 30 MA TYPE AC;ABB;UN;32,76;
70018;;APPAREILLAGE;443051;INTER. DIFF.  2 X 40 - 30 MA TYPE AC;ABB;UN;34,63;
70019;;APPAREILLAGE;443061;INTER. DIFF.  2 X 63 - 30 MA TYPE AC;ABB;UN;55,19;
70020;;APPAREILLAGE;443151;INTER. DIFF.  2 X 40 - 30 MA TYPE A;ABB;UN;42,24;
70021;;APPAREILLAGE;443161;INTER. DIFF.  2 X 63 - 30 MA  TYPE A;ABB;UN;66,99;
70022;;APPAREILLAGE;470229;DISJONCTEUR DIVISIONNAIRE PH+N  2 A;ABB;UN;11,02;
70023;;APPAREILLAGE;470236;DISJONCTEUR DIVISIONNAIRE PH+N 10 A;ABB;UN;8,12;
70024;;APPAREILLAGE;470238;DISJONCTEUR DIVISIONNAIRE PH+N 16 A;ABB;UN;8,12;
70025;;APPAREILLAGE;470239;DISJONCTEUR DIVISIONNAIRE PH+N 20 A;ABB;UN;8,12;
70026;;APPAREILLAGE;470241;DISJONCTEUR DIVISIONNAIRE PH+N 32 A;ABB;UN;9,28;
70027;;APPAREILLAGE;470429;DISJONCTEUR DIVISIONNAIRE PH+N  2 A  BORNES AUTO;ABB;UN;11,02;
70028;;APPAREILLAGE;470436;DISJONCTEUR DIVISIONNAIRE PH+N 10 A BORNES AUTO;ABB;UN;8,69;
70029;;APPAREILLAGE;470438;DISJONCTEUR DIVISIONNAIRE PH+N 16 A BORNES AUTO;ABB;UN;8,69;
70030;;APPAREILLAGE;470439;DISJONCTEUR DIVISIONNAIRE PH+N 20 A BORNES AUTO;ABB;UN;8,69;
70031;;APPAREILLAGE;470441;DISJONCTEUR DIVISIONNAIRE PH+N 32 A BORNES AUTO;ABB;UN;9,28;
70032;;APPAREILLAGE;798751;COFFRET DE DISTRIB. ALPHA 18 MODULES 1R;ABB;UN;50,82;
70033;;APPAREILLAGE;798752;COFFRET DE DISTRIB. ALPHA 36 MODULES 2R;ABB;UN;73,96;
70034;;APPAREILLAGE;798753;COFFRET DE DISTRIB. ALPHA 54 MODULES 3R;ABB;UN;94,74;
70035;;APPAREILLAGE;798754;COFFRET DE DISTRIB. ALPHA 72 MODULES 4R;ABB;UN;147,12;
70036;;APPAREILLAGE;799101;COFFRET DE DISTRIB. GALE'O 13 MODULES 1R;ABB;UN;14,79;
70037;;APPAREILLAGE;799102;COFFRET DE DISTRIB. GALE'O 26 MODULES 2R;ABB;UN;22,85;
70038;;APPAREILLAGE;799103;COFFRET DE DISTRIB. GALE'O 39 MODULES 3R;ABB;UN;32,97;
70039;;APPAREILLAGE;799104;COFFRET DE DISTRIB. GALE'O 52 MODULES 4R;ABB;UN;48,29;
70040;;APPAREILLAGE;799150;COFFRET DE COMMUNICATION BASIC;ABB;UN;58,38;
70041;;APPAREILLAGE;799152;COFFRET DE COMMUNICATION GRADE 1;ABB;UN;237,08;
70042;;APPAREILLAGE;799153;COFFRET DE COMMUNICATION GRADE 3;ABB;UN;904,8;
70043;;ECLAIRAGE;AL10010;SPOT TBT ENCASTRE FIXE 12V  Ø50 NICKEL;ABI ALUM;UN;2,93;
70044;;ECLAIRAGE;AL10012;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 OR BRILLANT;ABI ALUM;UN;4,73;
70045;;ECLAIRAGE;AL10110KT;KIT SPOT TBT ETANCHE  SDB FIXE  BLANC TRANSFO ELECTRO + LAMPE;ABI ALUM;UN;38,28;
70046;;ECLAIRAGE;AL10402;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 OR BRILLANT;ABI ALUM;UN;7,83;
70047;;ECLAIRAGE;AL10800;SPOT TBT ENCASTRE ORIENTABLE 12V Ø50 BLANC;ABI ALUM;UN;5,47;
70048;;ECLAIRAGE;AL10950;KIT SPOT TBT ELECTRONIQUE FIXE BLANC;ABI ALUM;UN;14,5;
70049;;ECLAIRAGE;AL10952;KIT SPOT TBT ELECTRONIQUE FIXE DORE;ABI ALUM;UN;24,88;
70050;;ECLAIRAGE;AL10960;KIT SPOT TBT ORIENTABLE ELECTRONIQUE BLANC;ABI ALUM;UN;14,94;
70051;;ECLAIRAGE;AL10962;KIT SPOT TBT ORIENTABLE ELECTRONIQUE DORE;ABI ALUM;UN;26,91;
70052;;ECLAIRAGE;AL38602;PROJECTEUR ETANCHE 300W NOIR;ABI ALUM;UN;17,11;
70053;;ECLAIRAGE;AL38606;PROJECTEUR ETANCHE 300W BLANC;ABI ALUM;UN;17,11;
70054;CYCLELECT;GENIE CLIMATIQUE;THXP075 - 150;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ;UN;814,6;488,76
70055;CYCLELECT;GENIE CLIMATIQUE;THXP075 - 200;RADIATEUR FASSANE  PREMIUM   750 W;ACOVA                          ;UN;815,5;489,3
70056;CYCLELECT;GENIE CLIMATIQUE;THXP100 - 200;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;840,4;504,24
70057;CYCLELECT;GENIE CLIMATIQUE;THXP100 - 220;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;867,3;520,38
70058;CYCLELECT;GENIE CLIMATIQUE;THXP100 - 180;RADIATEUR FASSANE  PREMIUM  1000 W;ACOVA                          ;UN;823,9;494,34
70059;CYCLELECT;GENIE CLIMATIQUE;THXP125 - 200;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ;UN;905,8;543,48
70060;CYCLELECT;GENIE CLIMATIQUE;THXP125 - 220;RADIATEUR FASSANE  PREMIUM  1250 W;ACOVA                          ;UN;972,4;583,44
70061;CYCLELECT;GENIE CLIMATIQUE;THXP150 - 180;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;942,8;565,68
70062;CYCLELECT;GENIE CLIMATIQUE;THXP150 - 220;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;1000,9;600,54
70063;CYCLELECT;GENIE CLIMATIQUE;THXP150 - 200;RADIATEUR FASSANE  PREMIUM  1500 W;ACOVA                          ;UN;965,9;579,54
70064;CYCLELECT;GENIE CLIMATIQUE;THXP200 - 220;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ;UN;1118,2;670,92
70065;CYCLELECT;GENIE CLIMATIQUE;THXP200 - 200;RADIATEUR FASSANE  PREMIUM  2000 W;ACOVA                          ;UN;1079,3;647,58
70066;CYCLELECT;GENIE CLIMATIQUE;TSL-050-050;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  500W;ACOVA                          ;UN;299,5;171,65
70067;CYCLELECT;GENIE CLIMATIQUE;TSL-075-050;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  750W;ACOVA                          ;UN;313,3;179,5
