ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;PRIX AU;PRIX BASE;Prix Net 
80000;LECOUFLE;PLOMBERIE;3549210025771;COLLE PVC GEL 125ML OPSIAL ALIMENTAIRE;BOSTIK SA;1;9,03;6,69 €
80001;LECOUFLE;PLOMBERIE;3549210025764;COLLE PVC QUAL ALIM. OPTIAL 250ML-020382;BOSTIK SA;1;13,78;10,21 €
80002;LECOUFLE;PLOMBERIE;3549210025740;COLLE PVC QUAL ALIMENT BTE 1L OPSIAL;BOSTIK SA;1;32,54;24,10 €
80003;LECOUFLE;PLOMBERIE;3549210021339;DECAPANT PVC 1 LITRE OPSIAL;BOSTIK SA;1;26,99;19,99 €
80004;LECOUFLE;PLOMBERIE;171200;MANCHON REPARATION ISI101 20X20;C.G.A.  (RAUFOSS);1;15,13;11,21 €
80005;LECOUFLE;PLOMBERIE;60102540;GRILLAGE AVERT 100X30 BLEU;ETS COURANT SA;1;13,05;9,67 €
80006;LECOUFLE;PLOMBERIE;60142540;GRILLAGE AVERT 100X30 JAUNE;ETS COURANT SA;1;13,05;9,67 €
80007;LECOUFLE;PLOMBERIE;60162540;GRILLAGE AVERT 100X30 MARRON;ETS COURANT SA;1;13,05;9,67 €
80008;LECOUFLE;PLOMBERIE;60062540;GRILLAGE AVERT 100X30 ROUGE;ETS COURANT SA;1;13,05;9,67 €
80009;LECOUFLE;PLOMBERIE;60082540;GRILLAGE AVERT 100X30 VERT;ETS COURANT SA;1;13,05;9,67 €
80010;LECOUFLE;PLOMBERIE;66125324;GRILLAGE BALISAGE 1,00M STD   190G ORANGE;ETS COURANT SA;1;40,58;30,06 €
80011;LECOUFLE;PLOMBERIE;CIV16;BOUCHON A COLLER F CIV 16;GLYNWED;1;0,96;0,71 €
80012;LECOUFLE;PLOMBERIE;CIV20;BOUCHON A COLLER F CIV 20;GLYNWED;1;0,51;0,38 €
80013;LECOUFLE;PLOMBERIE;CIV25;BOUCHON A COLLER F CIV 25;GLYNWED;1;0,70;0,52 €
80014;LECOUFLE;PLOMBERIE;CIV32;BOUCHON A COLLER F CIV 32;GLYNWED;1;1,00;0,74 €
80015;LECOUFLE;PLOMBERIE;CIV40;BOUCHON A COLLER F CIV 40;GLYNWED;1;1,32;0,98 €
80016;LECOUFLE;PLOMBERIE;CIV50;BOUCHON A COLLER F CIV 50;GLYNWED;1;1,65;1,22 €
80017;LECOUFLE;PLOMBERIE;CIV63;BOUCHON A COLLER F CIV 63;GLYNWED;1;2,38;1,76 €
80018;LECOUFLE;PLOMBERIE;ODV63;BRIDE D63 REF.ODV;GLYNWED;1;6,78;5,02 €
80019;LECOUFLE;PLOMBERIE;SEA125;COLLE PVC 125ML REF.MKS125;GLYNWED;1;6,17;4,57 €
80020;LECOUFLE;PLOMBERIE;QRV63;COLLET A JOINT 63 REF.QRV;GLYNWED;1;4,27;3,16 €
80021;LECOUFLE;PLOMBERIE;HCK167;COLLIER MONOCLIP-HCK 16/7;GLYNWED;1;1,96;1,45 €
80022;LECOUFLE;PLOMBERIE;HCK257;COLLIER MONOCLIP-HCK 25/7;GLYNWED;1;2,15;1,59 €
80023;LECOUFLE;PLOMBERIE;HCKC327;COLLIER MONOCLIP-HCK 32/7;GLYNWED;1;3,47;2,57 €
