ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;PRIX AU;PRIX BASE;Prix Net 
80000;LECOUFLE;PLOMBERIE;87167727690;KIT CHANGEMENT GAZ GVAC24HN-B/B-N;ELM LEBLANC;1;47,86;35,45
80001;LECOUFLE;PLOMBERIE;87167633180;KIT CHANGEMENT GAZ GVTC241-1H N-P;ELM LEBLANC;1;7,06;5,23
80002;LECOUFLE;PLOMBERIE;7710149033;KIT CHANGEMENT GAZ SVBC 22-2H N-P;ELM LEBLANC;1;30,24;22,4
80003;LECOUFLE;PLOMBERIE;7716705028+AZ315;CHAUD.ACLEIS NGVM23H VENTOUSE MIXTE GN;ELM LEBLANC;1;1653,76;1225,01
80004;LECOUFLE;PLOMBERIE;7716705029+AZ414;CHAUD.ACLEIS NGVM23H VENTOUSE MIXTE GP;ELM LEBLANC;1;1715,2;1270,52
80005;LECOUFLE;PLOMBERIE;NGLM 23-2HN;CHAUD.ACLEIS NGLM23H CHEMINEE MIXTE GN;ELM LEBLANC;1;1365,31;1011,34
80006;LECOUFLE;PLOMBERIE;NGLM 23-2HB;CHAUD.ACLEIS NGLM23H CHEMINEE MIXTE GP;ELM LEBLANC;1;1365,31;1011,34
80007;LECOUFLE;PLOMBERIE;7716704190+AZ315;CHAUD.MEGALIS NGVA 24H VENT.MICRO-ACCUGN;ELM LEBLANC;1;1854,43;1373,65
80008;LECOUFLE;PLOMBERIE;7716704191+AZ315;CHAUD.MEGALIS NGVA 24H VENT.MICRO-ACCUGP;ELM LEBLANC;1;1918,19;1420,88
80009;LECOUFLE;PLOMBERIE;NGLA24-4HN;CHAUD.MEGALIS NGLA 24H CHEM.MICRO-ACCUGN;ELM LEBLANC;1;1498,92;1110,31
80010;LECOUFLE;PLOMBERIE;NGLA24-4HB;CHAUD.MEGALIS NGLA 24H CHEM.MICRO-ACCUGP;ELM LEBLANC;1;1498,92;1110,31
