_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
cap achat;mafart;PLOMBERIE;149B7312;A00000;REDUCTEUR DE PRESSION MF 20X27 3 BARS;SOCLA SAS;P;36,28;19,44
cap achat;mafart;PLOMBERIE;149B3122;A00002;CLAPET DE NON RETOUR CUVE LAITON FF 26X34;SOCLA SAS;P;54,19;34,55
cap achat;mafart;PLOMBERIE;149B3123;A00003;CLAPET DE NON RETOUR CUVE LAITON FF 33X42;SOCLA SAS;P;76,66;48,88
cap achat;mafart;PLOMBERIE;149B2371;A00005;CLAPET DE PIED CREPINE PE CUVE LAITON 20X27;SOCLA SAS;P;16,39;10,45
cap achat;mafart;PLOMBERIE;149B2372;A00006;CLAPET DE PIED CREPINE PE CUVE LAITON 26X34;SOCLA SAS;P;19,44;12,4
cap achat;mafart;PLOMBERIE;149B2373;A00007;CLAPET DE PIED CREPINE PE CUVE LAITON 33X42;SOCLA SAS;P;31,64;20,18
cap achat;mafart;PLOMBERIE;035601;A00016;CONSOLE LAVABO 210MM ALU BRUT A/TAQUET BASCULE;PLOMBELEC;CA;21,67;14,63
cap achat;mafart;PLOMBERIE;036103;A00018;ATTACHE PLATE COUDE ZINGUE EP.2,5MM P/LAVE-MAINS;PLOMBELEC;P;1,97;0,65
cap achat;mafart;PLOMBERIE;03920;A00019;ROBINET ARRET CHASSE EQUERRE 12X17 LAITON BRUT;RIQUIER ADRIEN;P;3,94;1,72
cap achat;mafart;PLOMBERIE;03921;A00020;ROBINET ARRET CHASSE EQUERRE 12X17 LAITON CHROME;RIQUIER ADRIEN;P;4,18;1,5
cap achat;mafart;PLOMBERIE;03926;A00035;ROBINET ARRET CHASSE DROIT 12X17 LAITON CHROME;RIQUIER ADRIEN;P;6,06;3,64
cap achat;mafart;PLOMBERIE;682045;A00079;ROBINET SPHERIQ 1/4T MALE 15X21 RACCORD NEZ 20X27;SFERACO;P;13,99;7,87
cap achat;mafart;PLOMBERIE;05011;A00107;COLLECTEUR SANITAIRE M/F 3/4 2 PRISES M 1/2;RIQUIER ADRIEN;P;11,41;4,7
cap achat;mafart;PLOMBERIE;05013;A00108;COLLECTEUR SANITAIRE M/F 3/4 4 PRISES M 1/2;RIQUIER ADRIEN;P;21,06;8
cap achat;mafart;PLOMBERIE;05019;A00109;COLLECTEUR SANITAIRE M/F 3/4 5 PRISES M 1/2;RIQUIER ADRIEN;P;26,22;10,7
cap achat;mafart;PLOMBERIE;05012;A00110;COLLECTEUR SANITAIRE M/F 3/4 3 PRISES M 1/2;RIQUIER ADRIEN;P;16,14;6,5
cap achat;mafart;PLOMBERIE;05017;A00112;COLLECTEUR SANITAIRE M/F 1  4 PRISES M 1/2;RIQUIER ADRIEN;P;30,85;13,89
cap achat;mafart;PLOMBERIE;05016;A00113;COLLECTEUR SANITAIRE M/F 1  3 PRISES M 1/2;RIQUIER ADRIEN;P;26,92;12,12
cap achat;mafart;PLOMBERIE;16001;A00121;RACCORD HYDROCABLE A/EC.LIBR.FEM.15X21 A GLISS. 12;RIQUIER ADRIEN;P;1,65;0,62
cap achat;mafart;PLOMBERIE;16020;A00132;RACCORD HYDROCABLE MALE 12X17 A GLISSEMENT 12;RIQUIER ADRIEN;P;1,69;0,64
cap achat;mafart;PLOMBERIE;16021;A00133;RACCORD HYDROCABLE MALE 15X21 A GLISSEMENT 12;RIQUIER ADRIEN;P;1,94;0,73
cap achat;mafart;PLOMBERIE;16023;A00134;RACCORD HYDROCABLE MALE 15X21 A GLISSEMENT 16;RIQUIER ADRIEN;P;1,83;0,69
cap achat;mafart;PLOMBERIE;16025;A00135;RACCORD HYDROCABLE MALE 15X21 A GLISSEMENT 20;RIQUIER ADRIEN;P;2,51;0,95
cap achat;mafart;PLOMBERIE;16026;A00136;RACCORD HYDROCABLE MALE 20X27 A GLISSEMENT 20;RIQUIER ADRIEN;P;4,02;1,51
cap achat;mafart;PLOMBERIE;16010;A00137;RACCORD HYDROCABLE FEMELLE 12X17 A GLISSEMENT 12;RIQUIER ADRIEN;P;2,68;1,21
cap achat;mafart;PLOMBERIE;16011;A00138;RACCORD HYDROCABLE FEMELLE 15X21 A GLISSEMENT 12;RIQUIER ADRIEN;P;2,69;1,11
cap achat;mafart;PLOMBERIE;16013;A00139;RACCORD HYDROCABLE FEMELLE 15X21 A GLISSEMENT 16;RIQUIER ADRIEN;P;2,69;1,2
cap achat;mafart;PLOMBERIE;16015;A00140;RACCORD HYDROCABLE FEMELLE 20X27 A GLISSEMENT 20;RIQUIER ADRIEN;P;5,24;1,97
cap achat;mafart;PLOMBERIE;04077;A00195;APPLIQUE LAIT.CHROME A/ECROU COLLET BATTU 15X21-12;RIQUIER ADRIEN;P;4,48;2,86
cap achat;mafart;PLOMBERIE;136941;A00198;APPLIQUE LAITON BROSSE A/COLLET BATTU 15X21-14;WATTS INDUSTRIES FRANCE;P;2,89;1,31
cap achat;mafart;PLOMBERIE;1314516;A00199;APPLIQUE LAITON BROSSE A/COLLET BATTU 20X27-16;SFERACO;P;11,13;7,1
cap achat;mafart;PLOMBERIE;70-8FF;A00271;ROBINET LAITON BROSSE 15X21 RACCORD NEZ 15X21;GUARESKI ROBINETTERIE SAS;P;10,43;5,32
cap achat;mafart;PLOMBERIE;B20N15;A00272;ROBINET LAITON BROSSE 15X21 RACCORD NEZ 20X27;WATTS INDUSTRIES FRANCE;P;14,37;4,8
cap achat;mafart;PLOMBERIE;250020;A00278;ROBINET MAL CHROME DROIT 15X21-20X27 S/1/2 RACCORD;WATTS INDUSTRIES FRANCE;P;4,6;1,8
cap achat;mafart;PLOMBERIE;0120-011;A00404;ROBINET GAZ DOUBLE MALE 15X21                 ROAI;CHUCHU DECAYEUX;P;9,12;4,79
cap achat;mafart;PLOMBERIE;21252200;A00410;TUYAU GAZ BUT/PROP 6X12 2M00+RACCORD VIE ILLIMITEE;HOME GAZ;P;38,32;24,43
