_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
300000;MAILLARD;PLOMBERIE;ISOPLUSCC;S05980;REDUCTEUR DE PRESSION ISOBAR + AVEC RACCORDS;ITRON France;PIEC;65;47,98
300001;MAILLARD;PLOMBERIE;716904;C01195;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 1.05 EP 25MM;ACOME TUBES & CHAUFFAGE;PIEC;10;7,7
300002;MAILLARD;PLOMBERIE;523217_S100;C09517;SACHET  100 BARRETTES CLIPABLES;ACOME TUBES & CHAUFFAGE;SACH;12;8,93
300003;MAILLARD;PLOMBERIE;716905;C01196;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 1.70 EP 40MM;ACOME TUBES & CHAUFFAGE;PIEC;14;10,05
300004;MAILLARD;PLOMBERIE;716866;C10120;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 2.15 EP 50 MM;ACOME TUBES & CHAUFFAGE;PIEC;15;11,38
300005;MAILLARD;PLOMBERIE;716907;C10121;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 2.60 EP 60MM;ACOME TUBES & CHAUFFAGE;PIEC;19;13,85
300006;MAILLARD;PLOMBERIE;716908;C10127;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 3.45 EP 80MM;ACOME TUBES & CHAUFFAGE;PIEC;25;18,45
300007;MAILLARD;PLOMBERIE;893203;C09518;BIDON  5 L ADJUVANT BETON;ACOME TUBES & CHAUFFAGE;PIEC;27;20,25
300008;MAILLARD;PLOMBERIE;523986_C300;C09725;CARTON DE 300 CAVALIERS DE FIXATION HT 40MM;ACOME TUBES & CHAUFFAGE;CART;34;25,25
300009;MAILLARD;PLOMBERIE;728733_C80;C09495;TUBE PER BLEU  13/16 EN COURONNE  80 M;ACOME TUBES & CHAUFFAGE;COUR;63;46,8
300010;MAILLARD;PLOMBERIE;728733_C100;C09496;TUBE PER BLEU  13/16 EN COURONNE 100 M;ACOME TUBES & CHAUFFAGE;COUR;79;58,5
300011;MAILLARD;PLOMBERIE;728734_C80;C09506;TUBE PER BLEU  16/20 EN COURONNE  80 M;ACOME TUBES & CHAUFFAGE;COUR;86;63,65
300012;MAILLARD;PLOMBERIE;728733_C120;C09497;TUBE PER BLEU  13/16 EN COURONNE 120 M;ACOME TUBES & CHAUFFAGE;COUR;95;70,2
300013;MAILLARD;PLOMBERIE;728734_C100;C09507;TUBE PER BLEU  16/20 EN COURONNE 100 M;ACOME TUBES & CHAUFFAGE;COUR;107;79,56
300014;MAILLARD;PLOMBERIE;728734_C120;C09508;TUBE PER BLEU  16/20 EN COURONNE 120 M;ACOME TUBES & CHAUFFAGE;COUR;138;102,49
300015;MAILLARD;PLOMBERIE;728733_C240;C09498;TUBE PER BLEU  13/16 EN COURONNE 240 M;ACOME TUBES & CHAUFFAGE;COUR;190;140,4
300016;MAILLARD;PLOMBERIE;728733_C720;C09659;COURONNE 720M ECOTUBE PER BLEU 13X16;ACOME TUBES & CHAUFFAGE;COUR;535;395,93
300017;MAILLARD;GENIE CLIMATIQUE;SL_080_050;C11686;SECHE SERVIETTE EAU CHAUDE ATOLL  388W H748  L500;ACOVA SAS;PIEC;93;69,02
300018;MAILLARD;GENIE CLIMATIQUE;SL_120_050;C11687;SECHE SERVIETTE EAU CHAUDE ATOLL  571W H1148 L500;ACOVA SAS;PIEC;111;82,11
300019;MAILLARD;GENIE CLIMATIQUE;SL_150_060;C11688;SECHE SERVIETTE EAU CHAUDE ATOLL  839W H1468 L600;ACOVA SAS;PIEC;129;95,2
300020;MAILLARD;GENIE CLIMATIQUE;SL_170_060;C11689;SECHE SERVIETTE EAU CHAUDE ATOLL  966W H1708 L600;ACOVA SAS;PIEC;140;103,53
300021;MAILLARD;GENIE CLIMATIQUE;SL_170_075;C11690;SECHE SERVIETTE EAU CHAUDE ATOLL 1154W H1708 L750;ACOVA SAS;PIEC;151;111,86
300022;MAILLARD;GENIE CLIMATIQUE;857211;C11484;RESISTANCE POUR SECHE SERVIETTE CORAIL 300W;ACOVA SAS;PIEC;156;115,43
300023;MAILLARD;GENIE CLIMATIQUE;857221;C11485;RESISTANCE POUR SECHE SERVIETTE CORAIL 600W;ACOVA SAS;PIEC;162;120,19
300024;MAILLARD;GENIE CLIMATIQUE;LN_072_050;C11861;SECHE SERVIETTE EAU CH CALA BLANC H721 L496 378W;ACOVA SAS;PIEC;176;130,54
300025;MAILLARD;GENIE CLIMATIQUE;857231;C11486;RESISTANCE POUR SECHE SERVIETTE CORAIL 900W;ACOVA SAS;PIEC;182;134,47
300026;MAILLARD;GENIE CLIMATIQUE;LN_112_045;C11848;SECHE SERVIETTE EAU CH CALA BLANC H1161 L446 547W;ACOVA SAS;PIEC;191;141,35
300027;MAILLARD;GENIE CLIMATIQUE;TSL_050_050_TF;C11554;SECHE SERVIETTE ELECTRIQUE ATOLL  500W H 998 L500;ACOVA SAS;PIEC;199;147,56
300028;MAILLARD;GENIE CLIMATIQUE;LN_112_050;C11696;SECHE SERVIETTE EAU CH CALA BLANC H1161 L496 612W;ACOVA SAS;PIEC;204;151,36
300029;MAILLARD;GENIE CLIMATIQUE;TSL_075_050_TF;C11598;SECHE SERVIETTE ELECTRIQUE ATOLL  750W H1358 L500;ACOVA SAS;PIEC;217;160,65
300030;MAILLARD;GENIE CLIMATIQUE;FAS_133_050;C08400;SECHE SERVIETTE FASSANE SPA EC 625W  1333HT 500LG;ACOVA SAS;PIEC;219;162,44
300031;MAILLARD;GENIE CLIMATIQUE;SHX_200_029;C01805;FASSANE STOCK VERTICAL SIMPLE 620W  HT 2000 LG 296;ACOVA SAS;PIEC;233;172,48
300032;MAILLARD;GENIE CLIMATIQUE;TSL_100_050_TF;C11669;SECHE SERVIETTE ELECTRIQUE ATOLL 1000W H1758 L500;ACOVA SAS;PIEC;236;174,93
300033;MAILLARD;GENIE CLIMATIQUE;LN_168_050;C11697;SECHE SERVIETTE EAU CH CALA BLANC H1681 L496 880W;ACOVA SAS;PIEC;241;178,49
