_ID;FOURNISSEUR;FAMILLE;S_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900000;SONEPAROUEST;VMCETACCESSOIRES;;80536;33080536;BANDEADHESIFALU(ROULEAUDE50M);3M;1;6,87;5,21
900001;SONEPAROUEST;VMCETACCESSOIRES;;80020;33080020;SCOTCHSUPER33+19MMX6.1M;3M;1;2,83;2,16
900002;SONEPAROUEST;VMCETACCESSOIRES;;80021;33080021;SCOTCHSUPER33+19MMX20M;3M;1;7,55;5,09
900003;SONEPAROUEST;VMCETACCESSOIRES;;84890;33084890;UY2CONNECTEURSCOTCHLOCK;3M;100;13,00;9,49
900004;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;471018;29033394;BARREPORTESERVIETTESCALA/ATOLLSpa33cm;ACOVA;1;131,48;87,92
900005;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;471028;29033395;BARREPORTESERVIETTESCALA/ATOLLSpa43cm;ACOVA;1;154,84;103,55
900006;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;461121;29000464;BARREPORTESERVIETTESBLANCHECLARIAN32cm;ACOVA;1;86,50;57,17
900007;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;462121;29000469;BARREPORTESERVIETTESBLANCHECLARIAN44cm;ACOVA;1;91,70;60,61
900008;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;463121;29000475;BARREPORTESERVIETTESBLANCHECLARIAN54cm;ACOVA;1;96,70;63,91
900009;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;461161;29000467;BARREPORTESERVIETTESBLANCHEREGATE/FASSANE34cm;ACOVA;1;86,50;57,17
900010;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;463161;29000479;BARREPORTESERVIETTESBLANCHEREGATE/FASSANE48cm;ACOVA;1;96,70;63,91
900011;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;857241;29031065;KITRESISTANCEDBM1200WPOURCALA;ACOVA;1;257,65;172,30
900012;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;857211;29031059;KITRESISTANCEDBM300WPOURCALA;ACOVA;1;211,75;141,60
900013;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;857221;29031061;KITRESISTANCEDBM600WPOURCALA;ACOVA;1;221,03;147,81
900014;SONEPAROUEST;SECHE-SERVIETTESMIXTE;;857231;29031063;KITRESISTANCEDBM900WPOURCALA;ACOVA;1;247,15;165,28
900015;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;455101;29000452;PORTESERVIETTESANNEAUBLANCCALA;ACOVA;1;83,44;55,15
900016;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;455121;29000456;PORTESERVIETTESANNEAUBLANCCLARIAN;ACOVA;1;83,44;55,15
900017;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;455161;29000460;PORTESERVIETTESANNEAUBLANCREGATE/FASSANE;ACOVA;1;83,44;55,15
900018;SONEPAROUEST;RADIATEURACIERSTANDARD;;SHXD-060-088;29005593;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD060-088923W;ACOVA;1;399,00;303,42
900019;SONEPAROUEST;RADIATEURACIERSTANDARD;;SHXD-070-074;29005596;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD070-074885W;ACOVA;1;349,00;261,26
900020;SONEPAROUEST;RADIATEURACIERSTANDARD;;SHXD-060-059;29005591;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD060059615W;ACOVA;1;269,00;201,26
900021;SONEPAROUEST;RADIATEURACIERSTANDARD;;SHXD-060-074;29005592;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD060074769W;ACOVA;1;339,00;250,79
900022;SONEPAROUEST;RADIATEURACIERSTANDARD;;SHXD-060-104;29005594;RADIATEURACIERFASSANEDOUBLEHORIZONTALSHXD0601041077W;ACOVA;1;459,00;343,41
