_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
200000;Socolec;DIVERS;;75387;X;ISOLANTPERIPHERIQUEEP.5MMHT120RL50MAVECBAVETTE;EFISOL;UN;;
200001;Socolec;DIVERS;;TMS30MF;X;PLAQUEISOLANTLISSEEP30MMR1,201,20X1,00AUM2;EFISOL;M2;;
200002;Socolec;DIVERS;;TMS47MF;X;PLAQUEISOLANTLISSEEP47MMR2,051,20X1,00AUM2;EFISOL;M2;;
200003;Socolec;DIVERS;;TMS56SI;X;PLAQUEISOLANTLISSEEP56MMR2,601,20X1,00AUM2TMSSI56;EFISOL;M2;;
200004;Socolec;DIVERS;;TMS80SI;X;PLAQUEISOLANTLISSEEP80MMR3,701,20X1,00AUM2TMSSI80;EFISOL;M2;;
200005;Socolec;DIVERS;;605216;X;LIAISONFRIGOISOLEEDOUBLE1/4-1/220M;DITAC;UN;;
200006;Socolec;DIVERS;;605215;X;LIAISONFRIGOISOLEEDOUBLE1/4-3/820M;DITAC;UN;;
200007;Socolec;DIVERS;;605217;X;LIAISONFRIGOISOLEEDOUBLE1/4-5/820M;DITAC;UN;;
200008;Socolec;DIVERS;;605218;X;LIAISONFRIGOISOLEEDOUBLE3/8-1/220M;DITAC;UN;;
200009;Socolec;DIVERS;;605219;X;LIAISONFRIGOISOLEEDOUBLE3/8-5/820M;DITAC;UN;;
200010;Socolec;APPAREILLAGE;;54185;00063054185;THERMOSTATD'AMBIANCE2FILSSAILLIECONTACTINVERSEUR10A;HAGER;UN;46,15;17,54
200011;Socolec;APPAREILLAGE;;25110;00063025110;THERMOSTATD'AMBIANCE2FILSSEMIENCASTREECONTACTINVERSEUR10A;HAGER;UN;156,71;59,55
200012;Socolec;APPAREILLAGE;;25111;00063025111;THERMOSTATD'AMBIANCE2FILSSEMIENCASTREECONTACTINVERSEUR10AAVECARRETPARBOUTON;HAGER;UN;178,65;67,89
200013;Socolec;APPAREILLAGE;;56511;00063056511;THERMOSTATD'AMBIANCEANALOGIQUE24HAPILES;HAGER;UN;296,05;112,50
200014;Socolec;APPAREILLAGE;;56571;00063056571;THERMOSTATD'AMBIANCEANALOGIQUE7JAPILES;HAGER;UN;298,59;113,46
200015;Socolec;APPAREILLAGE;;EK520;00010254520;THERMOSTATD'AMBIANCEDIGITAL2FILS7JAPILES;HAGER;UN;246,76;93,77
200016;Socolec;APPAREILLAGE;;EK530;00010254530;THERMOSTATD'AMBIANCEDIGITAL4FILS7J230VAVECENTREESONDEDEPORT…E;HAGER;UN;247,94;94,22
200017;Socolec;APPAREILLAGE;;EK560;00010254560;THERMOSTATD'AMBIANCEDIGITALRADIO7JAPILES;HAGER;UN;465,65;176,95
200018;Socolec;GENIECLIMATIQUE;;11023301;00046023301;CHAUFFEEAUB150T.FLOWACTIVTECHNOLOGIECO2NUESANSGROUPE;ALDES;UN;2463,54;936,14
200019;Socolec;GENIECLIMATIQUE;;52550;X;GROUPEDESECURITEDROITSTANDARD20X27NFSFR;WATTSINDUSTRIES;UN;;
200020;Socolec;GENIECLIMATIQUE;;24433;X;RACCORDDIELECTRIQUEMF20X27(PACKDE2);WATTSINDUSTRIES;UN;;
200021;Socolec;GENIECLIMATIQUE;;92315;X;SIPHONDEGROUPEDESECURITENFAVECDEFLECTEURF26X34;WATTSINDUSTRIES;UN;;
200022;Socolec;APPAREILLAGE;;TG520A;X;DETECTEURDEFUMEESAPILESDAAFCERTIFIENFEN14-604;HAGER;UN;;
200023;Socolec;APPAREILLAGE;;62525;00001062525;BLOCDESECOURSSATI60LUMENS;LEGRAND;UN;177,64;67,50
200024;Socolec;APPAREILLAGE;;62526;00001062526;BLOCDESECOURSSATIETANCHE60LUMENS;LEGRAND;UN;347,31;131,98
200025;Socolec;APPAREILLAGE;;62566;00001062566;BLOCDESECOURSSATIETANCHE360LUMENS;LEGRAND;UN;656,63;249,52
200026;Socolec;APPAREILLAGE;;62565;00001062565;BLOCDESECOURSSATIFLUO360LUMENS;LEGRAND;UN;574,33;218,24
200027;Socolec;APPAREILLAGE;;3901;00001003901;BOITIERTELECOMMANDE;LEGRAND;UN;293,09;111,38
200028;Socolec;APPAREILLAGE;;40551;00001040551;COFFRETD'ALARMETYPE4APILESDSETDMINTEGRES;LEGRAND;UN;298,25;113,34
200029;Socolec;APPAREILLAGE;;38012;00001038012;DECLENCHEURMANUELSAILLIEPOURALARMEINCENDIE;LEGRAND;UN;;
200030;Socolec;APPAREILLAGE;;40561;00001040561;TABLEAUD'ALARMETYPE4230V1BOUCLE;LEGRAND;UN;590,80;224,50
200031;Socolec;APPAREILLAGE;;40562;00001040562;TABLEAUD'ALARMETYPE4230V2BOUCLES;LEGRAND;UN;800,44;304,17
200032;Socolec;SECURITECOMMUNICATION;;110001;00030110001;BLOCDESECOURSAMBIANCESTANDARD360LUMENS;URA;UN;262,34;99,69
200033;Socolec;SECURITECOMMUNICATION;;110000;00030110000;BLOCDESECOURSEVACUATIONSTANDARD45LUMENS;URA;UN;92,53;35,16
200034;Socolec;SECURITECOMMUNICATION;;111013;00030111013;BLOCDESECOURSSATIEVACUATIONINCAND45LUMENS;URA;UN;123,35;46,87
200035;Socolec;SECURITECOMMUNICATION;;955745;X;DECLENCHEURMANUELROUGEAMENBRANEACLAPET;URA;UN;;
200036;Socolec;SECURITECOMMUNICATION;;957220;00030957220;DIFFUSEURSONOREDS2492DB;URA;UN;74,57;28,34
200037;Socolec;SECURITECOMMUNICATION;;320020;00030320020;TABLEAUD'ALARMESONORE220VT4CT;URA;UN;365,66;138,95
200038;Socolec;SECURITECOMMUNICATION;;320002;00030320002;TABLEAUD'ALARMESONOREAPILET4CP;URA;UN;199,37;75,76
200039;Socolec;SECURITECOMMUNICATION;;140010;00030140010;TELECOMMANDECONTR‘LEMANUEL;URA;UN;172,90;65,70
200040;Socolec;APPAREILLAGE;;S492-22F;05083000904;CARTEMODULETRANSMETTEURLSRTC;HAGER;UN;453,69;176,70
200041;Socolec;APPAREILLAGE;;S304-22F;05083000940;CENTRALED'ALARMEINTRUSIONLS300RADIOSEUL;HAGER;UN;;
200042;Socolec;APPAREILLAGE;;S620-22F;00078000643;CLAVIERDECOMMANDERADIO;HAGER;UN;;
200043;Socolec;APPAREILLAGE;;S662-22F;00078000769;CLAVIERDECOMMANDERADIOLECTEURDEBADGELS;HAGER;UN;534,75;213,90
