_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
200010;Socolec;APPAREILLAGE;;54185;63054185;THERMOSTATD'AMBIANCE2FILSSAILLIECONTACTINVERSEUR10A;HAGER;UN;46,15;17,54
200011;Socolec;APPAREILLAGE;;25110;63025110;THERMOSTATD'AMBIANCE2FILSSEMIENCASTREECONTACTINVERSEUR10A;HAGER;UN;156,71;59,55
200012;Socolec;APPAREILLAGE;;25111;63025111;THERMOSTATD'AMBIANCE2FILSSEMIENCASTREECONTACTINVERSEUR10AAVECARRETPARBOUTON;HAGER;UN;178,65;67,89
200013;Socolec;APPAREILLAGE;;56511;63056511;THERMOSTATD'AMBIANCEANALOGIQUE24HAPILES;HAGER;UN;296,05;112,5
200014;Socolec;APPAREILLAGE;;56571;63056571;THERMOSTATD'AMBIANCEANALOGIQUE7JAPILES;HAGER;UN;298,59;113,46
200015;Socolec;APPAREILLAGE;;EK520;10254520;THERMOSTATD'AMBIANCEDIGITAL2FILS7JAPILES;HAGER;UN;246,76;93,77
200016;Socolec;APPAREILLAGE;;EK530;10254530;THERMOSTATD'AMBIANCEDIGITAL4FILS7J230VAVECENTREESONDEDEPORT…E;HAGER;UN;247,94;94,22
200017;Socolec;APPAREILLAGE;;EK560;10254560;THERMOSTATD'AMBIANCEDIGITALRADIO7JAPILES;HAGER;UN;465,65;176,95
200018;Socolec;GENIECLIMATIQUE;;11023301;46023301;CHAUFFEEAUB150T.FLOWACTIVTECHNOLOGIECO2NUESANSGROUPE;ALDES;UN;2463,54;936,14
200023;Socolec;APPAREILLAGE;;62525;1062525;BLOCDESECOURSSATI60LUMENS;LEGRAND;UN;177,64;67,5
200024;Socolec;APPAREILLAGE;;62526;1062526;BLOCDESECOURSSATIETANCHE60LUMENS;LEGRAND;UN;347,31;131,98
200025;Socolec;APPAREILLAGE;;62566;1062566;BLOCDESECOURSSATIETANCHE360LUMENS;LEGRAND;UN;656,63;249,52
200026;Socolec;APPAREILLAGE;;62565;1062565;BLOCDESECOURSSATIFLUO360LUMENS;LEGRAND;UN;574,33;218,24
200027;Socolec;APPAREILLAGE;;3901;1003901;BOITIERTELECOMMANDE;LEGRAND;UN;293,09;111,38
200028;Socolec;APPAREILLAGE;;40551;1040551;COFFRETD'ALARMETYPE4APILESDSETDMINTEGRES;LEGRAND;UN;298,25;113,34
200030;Socolec;APPAREILLAGE;;40561;1040561;TABLEAUD'ALARMETYPE4230V1BOUCLE;LEGRAND;UN;590,8;224,5
200031;Socolec;APPAREILLAGE;;40562;1040562;TABLEAUD'ALARMETYPE4230V2BOUCLES;LEGRAND;UN;800,44;304,17
200032;Socolec;SECURITECOMMUNICATION;;110001;30110001;BLOCDESECOURSAMBIANCESTANDARD360LUMENS;URA;UN;262,34;99,69
200033;Socolec;SECURITECOMMUNICATION;;110000;30110000;BLOCDESECOURSEVACUATIONSTANDARD45LUMENS;URA;UN;92,53;35,16
200034;Socolec;SECURITECOMMUNICATION;;111013;30111013;BLOCDESECOURSSATIEVACUATIONINCAND45LUMENS;URA;UN;123,35;46,87
200036;Socolec;SECURITECOMMUNICATION;;957220;30957220;DIFFUSEURSONOREDS2492DB;URA;UN;74,57;28,34
200037;Socolec;SECURITECOMMUNICATION;;320020;30320020;TABLEAUD'ALARMESONORE220VT4CT;URA;UN;365,66;138,95
200038;Socolec;SECURITECOMMUNICATION;;320002;30320002;TABLEAUD'ALARMESONOREAPILET4CP;URA;UN;199,37;75,76
200039;Socolec;SECURITECOMMUNICATION;;140010;30140010;TELECOMMANDECONTR‘LEMANUEL;URA;UN;172,9;65,7
200040;Socolec;APPAREILLAGE;;S492-22F;5083000904;CARTEMODULETRANSMETTEURLSRTC;HAGER;UN;453,69;176,7
200043;Socolec;APPAREILLAGE;;S662-22F;78000769;CLAVIERDECOMMANDERADIOLECTEURDEBADGELS;HAGER;UN;534,75;213,9
200044;Socolec;APPAREILLAGE;;S162-22X;78000669;DETECTEURDEMOUVEMENTCOULOIRRADIO22M;HAGER;UN;414,74;157,6
200045;Socolec;APPAREILLAGE;;S121-22X;78000774;DETECTEURDEMOUVEMENTVOLUMETRIQUERADIO90?12M;HAGER;UN;471,66;179,23
200046;Socolec;APPAREILLAGE;;L3161F;78000604;DETECTEURDEMOUVEMENTSVOLUMETRIQUEMINIATURE90?PORTEE10M;HAGER;UN;467,61;172,28
200047;Socolec;APPAREILLAGE;;S261-22F;5083000941;DETECTEURD'OUVERTUREDEPORTEMULTICONTACTRADIOBLANC;HAGER;UN;83,47;31,72
200050;Socolec;APPAREILLAGE;;L3405F;78000210;SIRENEFLASHCLIGNOTANT;HAGER;UN;1123,4;426,89
200051;Socolec;APPAREILLAGE;;L3614F;78000311;TELECOMMANDEPORTE-CLES4TOUCHES;HAGER;UN;210,7;80,07
200052;Socolec;APPAREILLAGE;;TU444;5083000934;TELECOMMANDESEULELS4FONCTIONSRADIO;HAGER;UN;144,17;54,78
200053;Socolec;SECURITECOMMUNICATION;;6351173;50351173;PACKMICROMODULESECLAIRAGEVA&VIENTSANSFILTYXIA500;DELTADORE;UN;144,38;54,71
200054;Socolec;APPAREILLAGE;;WK785B;10707850;KALLYSTA2TOUCHEBLANCNEVE;HAGER;UN;7,26;2,71
200055;Socolec;APPAREILLAGE;;WK796B;10707960;KALLYSTA2TOUCHESPOUSSOIRVOLETROULANTBLANCNEVE;HAGER;UN;20,27;16,16
200056;Socolec;APPAREILLAGE;;WK795B;10707950;KALLYSTA2TOUCHESVAETVIENTVOLETROULANTBLANCNEVE;HAGER;UN;20,27;7,55
200057;Socolec;APPAREILLAGE;;WK301;10706301;KALLYSTADOUBLEPOUSSOIRVOLETROULANT;HAGER;UN;43,86;15,89
200058;Socolec;APPAREILLAGE;;WK300;10706300;KALLYSTADOUBLEV&VVOLETROULANT;HAGER;UN;38,48;14,74
200059;Socolec;APPAREILLAGE;;WK730B;10707300;KALLYSTAENJOLIVEURPC2P+TBLANCNEVE;HAGER;UN;1,88;0,71
200060;Socolec;APPAREILLAGE;;WK751B;10707510;KALLYSTAENJOLIVEURPRISERJ45BLANCNEVE;HAGER;UN;6,89;2,56
200061;Socolec;APPAREILLAGE;;WK752B;10707520;KALLYSTAENJOLIVEURPRISERJ45X2BLANCNEVE;HAGER;UN;16,77;6,18
200062;Socolec;APPAREILLAGE;;WK750B;10707500;KALLYSTAENJOLIVEURPRISETELEPHONETBLANCNEVE;HAGER;UN;4,74;1,73
200063;Socolec;APPAREILLAGE;;WK742B;10707420;KALLYSTAENJOLIVEURPRISETV+FM+SATBLANCNEVE;HAGER;UN;9,82;3,53
200064;Socolec;APPAREILLAGE;;WK741B;10707410;KALLYSTAENJOLIVEURPRISETV+FMBLANCNEVE;HAGER;UN;9,82;3,53
200065;Socolec;APPAREILLAGE;;WK740B;10707400;KALLYSTAENJOLIVEURPRISETVBLANCNEVE;HAGER;UN;3,76;1,37
200066;Socolec;APPAREILLAGE;;WK798B;10707980;KALLYSTAENJOLIVEURVAETVIENTVMCBLANCNEVE;HAGER;UN;14,97;5,58
200067;Socolec;APPAREILLAGE;;WK791B;10707910;KALLYSTAENJOLIVEURVARIATEURAPOUSSOIRBLANCNEVE;HAGER;UN;15,08;5,51
200068;Socolec;APPAREILLAGE;;WK790B;10707900;KALLYSTAENJOLIVEURVARIATEURROTATIFBLANCNEVE;HAGER;UN;15,5;5,51
