_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
#VALEUR!;beauplet;PLOMBERIE;270014;MANCHON CUIVRE A SOUDER 14;COMAP ;un;0,14;0,10
#VALEUR!;beauplet;PLOMBERIE;270012;MANCHON CUIVRE A SOUDER 12;COMAP ;un;0,16;0,11
#VALEUR!;beauplet;PLOMBERIE;270016;MANCHON CUIVRE A SOUDER 16;COMAP ;un;0,16;0,11
#VALEUR!;beauplet;PLOMBERIE;270018;MANCHON CUIVRE A SOUDER 18;COMAP ;un;0,19;0,13
#VALEUR!;beauplet;PLOMBERIE;OO13500;GAINE DE PROTECTION SANITAIRE PVC ANNELEE  Ø13 LES 100ML;HEGLER;un;0,21;0,14
#VALEUR!;beauplet;PLOMBERIE;OO16500;GAINE DE PROTECTION SANITAIRE PVC ANNELEE  Ø16 LES 100ML;HEGLER;un;0,24;0,16
#VALEUR!;beauplet;PLOMBERIE;M2F;MANCHON PVC Ø  32;NICOLL;un;0,25;0,18
#VALEUR!;beauplet;PLOMBERIE;92014;COUDE CUIVRE 90° FF 14;COMAP ;un;0,26;0,18
#VALEUR!;beauplet;PLOMBERIE;92018;COUDE CUIVRE 90° FF 18;COMAP ;un;0,28;0,19
#VALEUR!;beauplet;PLOMBERIE;1554;BOUCHON LAITON BRUT F 12/17;COMAP ;un;0,28;0,19
#VALEUR!;beauplet;PLOMBERIE;OO19250;GAINE DE PROTECTION SANITAIRE PVC ANNELEE  Ø19 LES 50ML;HEGLER;un;0,28;0,20
#VALEUR!;beauplet;PLOMBERIE;90012;COUDE CUIVRE 90° FF 12;COMAP ;un;0,29;0,20
#VALEUR!;beauplet;PLOMBERIE;270022;MANCHON CUIVRE A SOUDER 22;COMAP ;un;0,29;0,20
#VALEUR!;beauplet;PLOMBERIE;92016;COUDE CUIVRE 90° FF 16;COMAP ;un;0,31;0,21
#VALEUR!;beauplet;PLOMBERIE;M2H;MANCHON PVC Ø  40;NICOLL;un;0,32;0,22
#VALEUR!;beauplet;PLOMBERIE;1098;MANCHON LAITON FER/CU 14-M12X17;COMAP ;un;0,39;0,27
#VALEUR!;beauplet;PLOMBERIE;337;MAMELON LAITON MM12X17;COMAP ;un;0,39;0,27
#VALEUR!;beauplet;PLOMBERIE;1097;MANCHON LAITON FER/CU 12-M12X17;COMAP ;un;0,40;0,28
#VALEUR!;beauplet;PLOMBERIE;CO32;COLLIER PVC LYRE D32 L'UNITE;NICOLL;un;0,41;0,29
#VALEUR!;beauplet;PLOMBERIE;OO23250;GAINE DE PROTECTION SANITAIRE PVC ANNELEE  Ø23 LES 50ML;HEGLER;un;0,43;0,30
#VALEUR!;beauplet;PLOMBERIE;CF44;COUDE PVC 45° D32 FF;NICOLL;un;0,45;0,31
#VALEUR!;beauplet;PLOMBERIE;CF4;COUDE PVC 45° D32 MF;NICOLL;un;0,45;0,31
#VALEUR!;beauplet;PLOMBERIE;1555;BOUCHON LAITON BRUT F 15/21;COMAP ;un;0,46;0,32
#VALEUR!;beauplet;PLOMBERIE;IH;REDUCTION INCORPOREE D40X32;NICOLL;un;0,46;0,32
#VALEUR!;beauplet;PLOMBERIE;92014;COUDE CUIVRE 90° MF 14;COMAP ;un;0,47;0,32
#VALEUR!;beauplet;PLOMBERIE;CO40;COLLIER PVC LYRE D40 L'UNITE;NICOLL;un;0,48;0,33
#VALEUR!;beauplet;PLOMBERIE;242174;REDUCTION CUIVRE A SOUDER MF16-14  243CU;COMAP ;un;0,48;0,33
#VALEUR!;beauplet;PLOMBERIE;092022;COUDE CUIVRE 90° FF 22;COMAP ;un;0,50;0,34
#VALEUR!;beauplet;PLOMBERIE;130014;TE CUIVRE EGAL 14;COMAP ;un;0,50;0,34
#VALEUR!;beauplet;PLOMBERIE;FF;BOUCHON PVC D32;NICOLL;un;0,52;0,36
#VALEUR!;beauplet;PLOMBERIE;92016;COUDE CUIVRE 90° MF 16;COMAP ;un;0,53;0,37
#VALEUR!;beauplet;PLOMBERIE;FH;BOUCHON PVC D40;NICOLL;un;0,54;0,37
#VALEUR!;beauplet;PLOMBERIE;340;MAMELON LAITON MM15X21;COMAP ;un;0,54;0,37
#VALEUR!;beauplet;PLOMBERIE;1105;MANCHON LAITON FER/CU 14-M15X21;COMAP ;un;0,55;0,38
#VALEUR!;beauplet;PLOMBERIE;CH44;COUDE PVC 45° D40 FF;NICOLL;un;0,56;0,38
#VALEUR!;beauplet;PLOMBERIE;CF88;COUDE PVC 87° D32 FF;NICOLL;un;0,56;0,38
#VALEUR!;beauplet;PLOMBERIE;CF8;COUDE PVC 87° D32 MF;NICOLL;un;0,56;0,38
#VALEUR!;beauplet;PLOMBERIE;M2J;MANCHON PVC Ø  50;NICOLL;un;0,56;0,38
#VALEUR!;beauplet;PLOMBERIE;240152;REDUCTION CUIVRE A SOUDER FF14-12  240CU;COMAP ;un;0,57;0,39
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM090150;ISOLANT TUBE SOUPLE  9MM M1 NON FENDU Ø14-15-16 LE M;NMC FRANCE ;un;0,58;0,40
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM090180;ISOLANT TUBE SOUPLE  9MM M1 NON FENDU Ø17-18 LE M;NMC FRANCE ;un;0,58;0,40
#VALEUR!;beauplet;PLOMBERIE;240174;REDUCTION CUIVRE A SOUDER FF16-14  240CU;COMAP ;un;0,60;0,42
#VALEUR!;beauplet;PLOMBERIE;130016;TE CUIVRE EGAL 16;COMAP ;un;0,60;0,42
#VALEUR!;beauplet;PLOMBERIE;130018;TE CUIVRE EGAL 18;COMAP ;un;0,60;0,42
#VALEUR!;beauplet;PLOMBERIE;CO63;COLLIER PVC LYRE D63 L'UNITE;NICOLL;un;0,60;0,42
#VALEUR!;beauplet;PLOMBERIE;CM32;COLLIER PVC MONOBLOC Ø32 L'UNITE;NICOLL;un;0,62;0,43
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM090220;ISOLANT TUBE SOUPLE  9MM M1 NON FENDU Ø22 LE M;NMC FRANCE ;un;0,63;0,43
#VALEUR!;beauplet;PLOMBERIE;CM40;COLLIER PVC MONOBLOC Ø40 L'UNITE;NICOLL;un;0,64;0,44
#VALEUR!;beauplet;PLOMBERIE;242238;REDUCTION CUIVRE A SOUDER MF22-18  243CU;COMAP ;un;0,64;0,44
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM130120;ISOLANT TUBE SOUPLE 13MM M1 NON FENDU Ø12-13 LE M;NMC FRANCE ;un;0,66;0,45
#VALEUR!;beauplet;PLOMBERIE;CH4;COUDE PVC 45° D40 MF;NICOLL;un;0,67;0,46
#VALEUR!;beauplet;PLOMBERIE;IJ;REDUCTION INCORPOREE D50X40;NICOLL;un;0,68;0,47
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM130150;ISOLANT TUBE SOUPLE 13MM M1 NON FENDU Ø14-15-16 LE M;NMC FRANCE ;un;0,69;0,48
#VALEUR!;beauplet;CHAUFFAGE;PV05;PURGEUR DE RADIATEUR  A VOLANT 5/10;THERMADOR ;un;0,71;0,49
#VALEUR!;beauplet;PLOMBERIE;OO29250;GAINE DE PROTECTION SANITAIRE PVC ANNELEE  Ø29 LES 50ML;HEGLER;un;0,72;0,49
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM130180;ISOLANT TUBE SOUPLE 13MM M1 NON FENDU Ø17-18 LE M;NMC FRANCE ;un;0,72;0,50
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM090280;ISOLANT TUBE SOUPLE  9MM M1 NON FENDU Ø28 LE M;NMC FRANCE ;un;0,74;0,51
#VALEUR!;beauplet;PLOMBERIE;92012;COUDE CUIVRE 90° MF 12;COMAP ;un;0,74;0,51
#VALEUR!;beauplet;PLOMBERIE;92018;COUDE CUIVRE 90° MF 18;COMAP ;un;0,74;0,51
#VALEUR!;beauplet;PLOMBERIE;CH88;COUDE PVC 87° D40 FF;NICOLL;un;0,75;0,52
#VALEUR!;beauplet;PLOMBERIE;CH8;COUDE PVC 87° D40 MF;NICOLL;un;0,75;0,52
#VALEUR!;beauplet;PLOMBERIE;CM50;COLLIER PVC MONOBLOC Ø50 L'UNITE;NICOLL;un;0,76;0,53
#VALEUR!;beauplet;PLOMBERIE;;TUBE SEMI-RIGIDE BANDE BLEUE Ø25   50M;ALPHACAN/WAVIN/URALITA/MERIDIONALE;un;0,78;0,54
#VALEUR!;beauplet;PLOMBERIE;;TUBE SEMI-RIGIDE BANDE BLEUE Ø25  100M;ALPHACAN/WAVIN/URALITA/MERIDIONALE;un;0,78;0,54
#VALEUR!;beauplet;PLOMBERIE;perpb12100;TUBE PER PREGAINE 10X12 BLEU  LES100 ML;PB TUB ;un;0,78;0,54
#VALEUR!;beauplet;PLOMBERIE;perpr12100;TUBE PER PREGAINE 10X12 ROUGE  LES100 ML;PB TUB ;un;0,78;0,54
#VALEUR!;beauplet;PLOMBERIE;1557;BOUCHON LAITON BRUT F 20/27;COMAP ;un;0,79;0,54
#VALEUR!;beauplet;PLOMBERIE;e812;RACCORD PER A GLISSEMENT F ECROU LIBRE PE12-F12X17;PB TUB ;un;0,82;0,56
#VALEUR!;beauplet;PLOMBERIE;FJ;BOUCHON PVC D50;NICOLL;un;0,83;0,57
#VALEUR!;beauplet;PLOMBERIE;IJF;REDUCTION INCORPOREE D50X32;NICOLL;un;0,83;0,57
#VALEUR!;beauplet;PLOMBERIE;3201;DOUILLE CUIVRE DROITE 359GCL 2 PIECES F12X17-12;COMAP ;un;0,83;0,57
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM130220;ISOLANT TUBE SOUPLE 13MM M1 NON FENDU Ø21-22 LE M;NMC FRANCE ;un;0,83;0,57
#VALEUR!;beauplet;PLOMBERIE;344;MAMELON LAITON MM20X27;COMAP ;un;0,84;0,58
#VALEUR!;beauplet;PLOMBERIE;270028;MANCHON CUIVRE A SOUDER 28;COMAP ;un;0,84;0,58
#VALEUR!;beauplet;PLOMBERIE;240238;REDUCTION CUIVRE A SOUDER FF22-18 240CU;COMAP ;un;0,84;0,58
#VALEUR!;beauplet;PLOMBERIE;242236;REDUCTION CUIVRE A SOUDER MF22-16  243CU;COMAP ;un;0,84;0,58
#VALEUR!;beauplet;PLOMBERIE;1579;BOUCHON LAITON BRUT M 20/27;COMAP ;un;0,87;0,60
#VALEUR!;beauplet;PLOMBERIE;CF66;COUDE PVC 67° D32 FF;NICOLL;un;0,87;0,60
#VALEUR!;beauplet;PLOMBERIE;CF6;COUDE PVC 67° D32 MF;NICOLL;un;0,87;0,60
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM090350;ISOLANT TUBE SOUPLE  9MM M1 NON FENDU Ø35 LE M;NMC FRANCE ;un;0,88;0,61
#VALEUR!;beauplet;PLOMBERIE;1118;MANCHON LAITON FER/CU 22-M20X27;COMAP ;un;0,89;0,61
#VALEUR!;beauplet;PLOMBERIE;CO75;COLLIER PVC LYRE D75 L'UNITE;NICOLL;un;0,89;0,61
#VALEUR!;beauplet;PLOMBERIE;3204;DOUILLE CUIVRE DROITE 359GCL 2 PIECES F15X21-14;COMAP ;un;0,90;0,62
#VALEUR!;beauplet;PLOMBERIE;115514/001;TUBE PVC RIGIDE Ø 32 NFE  NF  M1  LE ML;ALPHACAN/WAVIN/URALITA/MERIDIONALE;un;0,90;0,62
#VALEUR!;beauplet;PLOMBERIE;m812;RACCORD PER A GLISSEMENT M 12X17- PE 12;PB TUB ;un;0,90;0,62
#VALEUR!;beauplet;PLOMBERIE;92028;COUDE CUIVRE 90° FF 28;COMAP ;un;0,91;0,63
#VALEUR!;beauplet;PLOMBERIE;242194;REDUCTION CUIVRE A SOUDER MF18-14  243CU;COMAP ;un;0,91;0,63
#VALEUR!;beauplet;CHAUFFAGE;IQTTTM130280;ISOLANT TUBE SOUPLE 13MM M1 NON FENDU Ø27-28 LE M;NMC FRANCE ;un;0,93;0,64
#VALEUR!;beauplet;PLOMBERIE;2471;DOUILLE CUIVRE DROITE 359GCL 2 PIECES F15X21-16;COMAP ;un;0,95;0,65
#VALEUR!;beauplet;PLOMBERIE;e212;RACCORD PER A GLISSEMENT F ECROU LIBRE PE12-F15X21;PB TUB ;un;0,95;0,65
#VALEUR!;beauplet;PLOMBERIE;131646;TE CUIVRE 16-14-16;COMAP ;un;0,96;0,67
#VALEUR!;beauplet;CHAUFFAGE;IRTKK30120;ISOLANT TUBE SOUPLE 13MM M1 A RECOUVR.ADH. Ø12 LE M;NMC FRANCE ;un;0,97;0,67
