_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900000;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;4792;11110038;TUBET.1NOIRB.L.DE12/17;ARVEDITUBIACCIAIO;METRE;4,35;0
900001;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL15;11110053;TUBET.1NOIRB.L.DE15/21;ARVEDITUBIACCIAIO;METRE;3,75;0
900002;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL20;11110079;TUBET.1NOIRB.L.DE20/27;ARVEDITUBIACCIAIO;METRE;4,45;0
900003;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL26;11110095;TUBET.1NOIRB.L.DE26/34;ARVEDITUBIACCIAIO;METRE;6,58;0
900004;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL33;11110111;TUBET.1NOIRB.L.DE33/42;ARVEDITUBIACCIAIO;METRE;8,34;0
900005;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL40;11110137;TUBET.1NOIRB.L.DE40/49;ARVEDITUBIACCIAIO;METRE;9,59;0
900006;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL50;11110152;TUBET.1NOIRB.L.DE50/60;ARVEDITUBIACCIAIO;METRE;13,3;0
900007;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL66;11110194;TUBET.1NOIRB.L.DE66/76;ARVEDITUBIACCIAIO;METRE;17,2;0
900008;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL80;11110210;TUBET.1NOIRB.L.DE80/90;ARVEDITUBIACCIAIO;METRE;20,25;0
900009;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NBL102;11110251;TUBET.1NOIRB.L.DE102/114;ARVEDITUBIACCIAIO;METRE;30,03;0
900010;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NFM15;11110319;TUBET.1NOIRF.M.DE15/21;ARVEDITUBIACCIAIO;METRE;4,17;0
900011;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NFM20;11110335;TUBET.1NOIRF.M.DE20/27;ARVEDITUBIACCIAIO;METRE;5,01;0
900012;ANJACCSI;INDUSTRIE;TUBESACIERSOUDET1NOIR;T1NFM26;11110350;TUBET.1NOIRF.M.DE26/34;ARVEDITUBIACCIAIO;METRE;7,56;0
