_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
500000;BROSSETTE;CHAUFFAGE;523217S100;1919426;BARETTE FIXATION SACHET DE 100;ACOME;UN;15;10,18
500001;BROSSETTE;CHAUFFAGE;523859C300;1763300;AGRAFE  FIXATION LONG Ø 16 & 20 POUR DALLE PLANE EP 40-50MM LE SACHET DE 300;ACOME;UN;44;30,31
500002;BROSSETTE;CHAUFFAGE;523986-C300;1019426;AGRAFE  FIXATION COURT Ø 16 & 20 POUR DALLE PLANE EP 30MM LE SACHET DE 300;ACOME;UN;39;26,78
500003;BROSSETTE;CHAUFFAGE;716895;3047558;DALLE À PLOTS, PÉLLICULÉE NOVACOME EVOLUTION LG  1200 MM LARG  800 MM EP  24 MM R=0.75;ACOME;UN;12;8,4
500004;BROSSETTE;CHAUFFAGE;716896;3047560;DALLE À PLOTS, PÉLLICULÉE NOVACOME EVOLUTION LG  1200 MM LARG  800 MM EP  40 MM R=1.25;ACOME;UN;20;13,79
500005;BROSSETTE;CHAUFFAGE;716897;3047561;DALLE À PLOTS, PÉLLICULÉE NOVACOME EVOLUTION LG  1200 MM LARG  800 MM EP  55 MM R=1.70;ACOME;UN;22;15,12
500006;BROSSETTE;CHAUFFAGE;716898;3047562;DALLE À PLOTS, PÉLLICULÉE NOVACOME EVOLUTION LG  1200 MM LARG  800 MM EP  68 MM R=2.10;ACOME;UN;23;15,64
500007;BROSSETTE;SECHE-SERVIETTES;SL-120-050;1681801;RADIATEUR SECHE-SERVIETTES  ATOLL EC   571 W DROIT;ACOVA                          ;UN;135;93,39
500008;BROSSETTE;SECHE-SERVIETTES;SL-150-060;1681802;RADIATEUR SECHE-SERVIETTES  ATOLL EC   839 W DROIT;ACOVA                          ;UN;166;114,24
500009;BROSSETTE;SECHE-SERVIETTES;SL-170-075;1681804;RADIATEUR SECHE-SERVIETTES  ATOLL EC  1154 W DROIT;ACOVA                          ;UN;200;137,8
500010;BROSSETTE;CHAUFFAGE;716866;3047569;DALLE PLANE ELEA EVOLUTION LG  1200 MM LARG  1000 MM EP  50 MM R=2.10;ACOME;UN;15;10,63
500011;BROSSETTE;CHAUFFAGE;716904;3047567;DALLE PLANE ELEA EVOLUTION LG  1200 MM LARG  1000 MM EP  25 MM R=1.05;ACOME;UN;10;7,08
500012;BROSSETTE;CHAUFFAGE;716905;3047568;DALLE PLANE ELEA EVOLUTION LG  1200 MM LARG  1000 MM EP  40 MM R=1.70;ACOME;UN;13;9,02
500013;BROSSETTE;CHAUFFAGE;716907;3047572;DALLE PLANE ELEA EVOLUTION LG  1200 MM LARG  1000 MM EP  60 MM R=2.60;ACOME;UN;18;12,54
500014;BROSSETTE;CHAUFFAGE;525865;3354465;MODULE ALLER RETOUR AVEC DEBIMETRE RACCORD RAPIDE;ACOME;UN;56;38,58
500015;BROSSETTE;RADIATEUR EAU CHAUDE;RX04-200-040;1019614;RADIATEUR ACIER CLARIAN SIMPLE VERTICAL   RX04-200-040 1220W HT 200 10 ELEMENTS;ACOVA                          ;UN;473;326,07
500016;BROSSETTE;RADIATEUR EAU CHAUDE;RX04-200-60;1019616;RADIATEUR ACIER CLARIAN SIMPLE VERTICAL   RX04-200-60 1830W HT 200 15 ELEMENTS;ACOVA                          ;UN;665;458,53
500017;BROSSETTE;RADIATEUR EAU CHAUDE;RX04-200-80;1019617;RADIATEUR ACIER CLARIAN SIMPLE VERTICAL   RX04-200-80 2440W HT 200 20 ELEMENTS;ACOVA                          ;UN;859;592,71
500018;BROSSETTE;RADIATEUR EAU CHAUDE;SHXD 060-059;3230808;RADIATEUR ACIER FASSANE DOUBLE HORIZONTAL  SHXD 060-059  615W;ACOVA                          ;UN;306;211,22
500019;BROSSETTE;RADIATEUR EAU CHAUDE;SHXD 060-074;3230835;RADIATEUR ACIER FASSANE DOUBLE HORIZONTAL  SHXD 060-074  769W;ACOVA                          ;UN;982;677,09
500020;BROSSETTE;RADIATEUR EAU CHAUDE;SHXD 060-088;3230814;RADIATEUR ACIER FASSANE DOUBLE HORIZONTAL  SHXD 060-088  923W;ACOVA                          ;UN;454;313,23
