_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;;
500000;brossette;BAIGNOIRES ACIER LISSE BLANCHE;403038;Non percée;DIVERS;un;106,92;76,37;;;;;;;
500001;brossette;BAIGNOIRES ACIER LISSE BLANCHE;403040;Percée 3 trous 150 mm;DIVERS;un;106,92;76,37;;;;;;;
500002;brossette;BAIGNOIRES ACIER LISSE BLANCHE;403039;Percée monotrou;DIVERS;un;106,92;76,37;;;;;;;
500003;brossette;BAIGNOIRES ACIER LISSE BLANCHE;;Jeu de plaques d'insonorisation;DIVERS;un;8,13;5,81;;;;;;;
500004;brossette;BAIGNOIRES ACRYLIQUES BF;NABIS;NABIS 160X75 BLANC;NABIS;un;158,62;113,30;;;;;;;
500005;brossette;BAIGNOIRES ACRYLIQUES BF;NABIS;NABIS 170X75 BLANC;NABIS;un;158,62;113,30;;;;;;;
500006;brossette;BAIGNOIRES ACRYLIQUES BF;NABIS;ALOHA 170X80 BLANC;NABIS;un;298,13;212,95;;;;;;;
500007;brossette;BAIGNOIRES ACRYLIQUES BF;NABIS;ALOHA 170X75 BLANC;NABIS;un;215,53;153,95;;;;;;;
500008;brossette;BAIGNOIRES ACRYLIQUES BF;NABIS;ALOHA 160X75 BLANC;NABIS;un;208,84;149,17;;;;;;;
500009;brossette;BAIGNOIRES ACRYLIQUES BF;NABIS;BALNEO 170X75 BLANC;NABIS;un;966,91;690,65;;;;;;;
500010;brossette;BAIGNOIRES ACRYLIQUES BF;NABIS;BALNEO 160X75 BLANC;NABIS;un;966,91;690,65;;;;;;;
500011;brossette;BAIGNOIRES ACRYLIQUES BF;VERS'EAU;VERS'EAU angle 140x140 blanc;NABIS;un;186,80;133,43;;;;;;;
500012;brossette;BAIGNOIRES ACRYLIQUES BF;VERS'EAU;Tablier pour baignoire angle 140x140 blanc;NABIS;un;91,85;65,61;;;;;;;
500013;brossette;BAIGNOIRES ACRYLIQUES BF;VERS'EAU;VERS'EAU 160X70 BLANC;NABIS;un;110,32;78,80;;;;;;;
500014;brossette;BAIGNOIRES ACRYLIQUES BF;VERS'EAU;VERS'EAU 170X70 Blanc;NABIS;un;110,32;78,80;;;;;;;
500015;brossette;BAIGNOIRES ACRYLIQUES PORCHER;p115701;ULYSSE 2 170X75 BLANC;PORCHER;un;109,66;78,33;;;;;;;
500016;brossette;BAIGNOIRES ACRYLIQUES PORCHER;p111901;KHEOPS 2 170X70 BLANC;PORCHER;un;226,81;162,01;;;;;;;
500017;brossette;BAIGNOIRES ACRYLIQUE ALLIA;65600000;PRIMA 2 170X75 BLANC;ALLIA;un;398,57;284,69;;;;;;;
500018;brossette;VIDAGES;vidage à chainette EUROBASIC;EUROBASIC;EUROBASIC;un;7,42;5,30;;;;;;;
500019;brossette;VIDAGES;vidage automatique articulé EUROBASIC;EUROBASIC;EUROBASIC;un;19,84;14,17;;;;;;;
500020;brossette;VIDAGES;vidage automatiques GEBERIT;150,616,21,1;GEBERIT;un;51,65;36,89;;;;;;;
500021;brossette;MELANGEUR BD BF;B9044AA;Monotrou BF2;BF;un;65,58;46,84;;;;;;;
500022;brossette;MELANGEUR BD BF;B9043AA;Mural BF 2;BF;un;57,69;41,21;;;;;;;
500023;brossette;MELANGEUR BD PORCHER;D1634AA;Monotrou Ulysse;PORCHER;un;60,28;43,06;;;;;;;
500024;brossette;MITIGEUR BD BF;B8644AA;Mural BF Naya ss raccords;DIVERS;un;75,61;54,01;;;;;;;
500025;brossette;MITIGEUR BD BF;B8542AA;Monotrou BF Naya;DIVERS;un;97,41;69,58;;;;;;;
500026;brossette;MITIGEUR BD BF;B8610AA;Mural BF Livia avec raccords;DIVERS;un;104,36;74,54;;;;;;;
500027;brossette;MITIGEUR BD BF;23000;Mitigeur BF Thermostatique ELIOS TERM;DIVERS;un;130,37;93,12;;;;;;;
500028;brossette;MITIGEURS PORCHER;d2335aa;Monotrou OKYRIS2;PORCHER;un;67,26;48,04;;;;;;;
500029;brossette;MITIGEURS PORCHER;d2345aa;Mural OKYRIS2;PORCHER;un;79,79;56,99;;;;;;;
500030;brossette;MITIGEURS PORCHER;d1136aa;Monotrou OLYOS2;PORCHER;un;53,72;38,37;;;;;;;
500031;brossette;MITIGEURS PORCHER;d1146aa;Mural OLYOS2;PORCHER;un;67,63;48,31;;;;;;;
500032;brossette;MITIGEURS PORCHER;D1235AA;Monotrou OPHELIO;PORCHER;un;122,09;87,21;;;;;;;
