_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
800000;BROSSETTE;CHAUFFAGE;523859C300;1763300;AGRAFE  FIXATION LONG Ø 16 & 20 POUR DALLE PLANE EP 40-50MM LE SACHET DE 300;ACOME;un;43;30,49
800001;BROSSETTE;CHAUFFAGE;523986-C300;3072964;AGRAFE  FIXATION COURT Ø 16 & 20 POUR DALLE PLANE EP 30MM LE SACHET DE 300;ACOME;un;38;26,92
800002;BROSSETTE;SECHE-SERVIETTES;SL-120-050;1681801;RADIATEUR SECHE-SERVIETTES  ATOLL EC   571 W DROIT;ACOVA                          ;un;135;96,76
800003;BROSSETTE;SECHE-SERVIETTES;SL-150-060;1681802;RADIATEUR SECHE-SERVIETTES  ATOLL EC   839 W DROIT;ACOVA                          ;un;166;118,32
800004;BROSSETTE;SECHE-SERVIETTES;SL-170-075;1681804;RADIATEUR SECHE-SERVIETTES  ATOLL EC  1154 W DROIT;ACOVA                          ;un;200;142,67
800005;BROSSETTE;CHAUFFAGE;716866;3047569;DALLE PLANE ELEA EVOLUTION LG : 1200 MM LARG : 1000 MM EP : 50 MM R=2.10;ACOME;un;15;10,92
800006;BROSSETTE;CHAUFFAGE;716904;3047567;DALLE PLANE ELEA EVOLUTION LG : 1200 MM LARG : 1000 MM EP : 25 MM R=1.05;ACOME;un;10;7,27
800007;BROSSETTE;CHAUFFAGE;716905;3047568;DALLE PLANE ELEA EVOLUTION LG : 1200 MM LARG : 1000 MM EP : 40 MM R=1.70;ACOME;un;13;9,27
800008;BROSSETTE;CHAUFFAGE;716907;3047572;DALLE PLANE ELEA EVOLUTION LG : 1200 MM LARG : 1000 MM EP : 60 MM R=2.60;ACOME;un;18;12,75
800009;BROSSETTE;CHAUFFAGE;525865;3354465;MODULE ALLER RETOUR AVEC DEBIMETRE RACCORD RAPIDE;ACOME;un;57;40,65
800010;BROSSETTE;RADIATEUR EAU CHAUDE;RX04-200-040;1019614;RADIATEUR ACIER CLARIAN SIMPLE VERTICAL   RX04-200-040 1220W HT 200 10 ELEMENTS;ACOVA                          ;un;480;342,54
800011;BROSSETTE;RADIATEUR EAU CHAUDE;RX04-200-60;1019616;RADIATEUR ACIER CLARIAN SIMPLE VERTICAL   RX04-200-60 1830W HT 200 15 ELEMENTS;ACOVA                          ;un;674;481,74
800012;BROSSETTE;RADIATEUR EAU CHAUDE;RX04-200-80;1019617;RADIATEUR ACIER CLARIAN SIMPLE VERTICAL   RX04-200-80 2440W HT 200 20 ELEMENTS;ACOVA                          ;un;872;622,68
800013;BROSSETTE;RADIATEUR EAU CHAUDE;SHXD 060-059;3230808;RADIATEUR ACIER FASSANE DOUBLE HORIZONTAL  SHXD 060-059  615W;ACOVA                          ;un;301;215,08
