_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
170793;CDL;FILS ET CABLES;250115;RO2V 2 X 1,5;neant;CE;74;37,20
170794;CDL;FILS ET CABLES;250202;RO2V 2 X 2,5;neant;CE;110;55,04
170795;CDL;FILS ET CABLES;neant;RO2V 2 X 4;neant;CE;;
170796;CDL;FILS ET CABLES;250960;RO2V 2 X 6;neant;CE;238;119,10
170797;CDL;FILS ET CABLES;251044;RO2V 2 X 10;neant;CE;367;183,63
170798;CDL;FILS ET CABLES;250897;RO2V 2 X 16;neant;CE;553;276,69
170799;CDL;FILS ET CABLES;250127;RO2V 2 X 25;neant;CE;869;434,32
170800;CDL;FILS ET CABLES;250313;RO2V 2 X 35;neant;CE;1267;633,74
170801;CDL;FILS ET CABLES;250222;RO2V 3 G 1,5;neant;CE;87;43,28
170802;CDL;FILS ET CABLES;250223;RO2V 3 G 2,5;neant;CE;131;65,32
170803;CDL;FILS ET CABLES;250135;RO2V 3 G 4;neant;CE;215;107,31
170804;CDL;FILS ET CABLES;250916;RO2V 3 G 6;neant;CE;323;161,52
170805;CDL;FILS ET CABLES;250448;RO2V 3 G 10;neant;CE;524;262,13
170806;CDL;FILS ET CABLES;250449;RO2V 3 G 16;neant;CE;789;394,60
170807;CDL;FILS ET CABLES;neant;RO2V 3 G 25;neant;CE;;
170808;CDL;FILS ET CABLES;250204;RO2V 4 G 1,5;neant;CE;124;62,14
170809;CDL;FILS ET CABLES;250206;RO2V 4 G 2,5;neant;CE;186;93,05
170810;CDL;FILS ET CABLES;250143;RO2V 4 G 4;neant;CE;276;137,98
170811;CDL;FILS ET CABLES;250453;RO2V 4 G 6;neant;CE;429;214,66
170812;CDL;FILS ET CABLES;250430;RO2V 4 G 10;neant;CE;672;336,24
170813;CDL;FILS ET CABLES;250148;RO2V 4 G 16;neant;CE;1275;637,26
170814;CDL;FILS ET CABLES;250904;RO2V 4 G 25;neant;CE;1679;839,33
