_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
700019;CDL;GENIECLIMATIQUE;327106;1277979;CHAUFFEEAUBLINDE50LMONOSUREVIERSERIEETROITE;ATLANTIC;UN;208;148.25
700020;CDL;GENIECLIMATIQUE;900366;3354384;RACCORDPOURGAINEX2AVECJOINTH100MM;ATLANTIC;UN;21;14.91
700021;CDL;GENIECLIMATIQUE;153120;3506944;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM200LMONOMURALØ530HT1480;ATLANTIC;UN;384;274.26
700022;CDL;GENIECLIMATIQUE;153115;3506943;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM150LMONOMURALØ530HT1165;ATLANTIC;UN;335;239.62
700023;CDL;GENIECLIMATIQUE;232296;3185078;UNITEEXTERIEUREPOURODYSSEESPLIT;ATLANTIC;UN;343;244.77
700024;CDL;GENIECLIMATIQUE;533159;1077783;ENTREE/SORTIEDAIRMURALEØ160MM;ATLANTIC;UN;31;22.42
700025;CDL;GENIECLIMATIQUE;153107;3506941;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM75LMONOMURALØ510HT700;ATLANTIC;UN;304;216.92
700026;CDL;GENIECLIMATIQUE;22330;1022426;CHAUFFEEAUBLINDEVS300LTCS/SOCLE;ATLANTIC;UN;502;358.26
700027;CDL;GENIECLIMATIQUE;21115;1022423;CHAUFFEEAUBLINDEVM150LMONOMURAL;ATLANTIC;UN;214;152.73
700028;CDL;GENIECLIMATIQUE;153105;3506940;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM50LMONOMURALØ505HT570;ATLANTIC;UN;289;206.21
700029;CDL;GENIECLIMATIQUE;21120;1022424;CHAUFFEEAUBLINDEVM200LMONOMURAL;ATLANTIC;UN;244;174.5
700030;CDL;GENIECLIMATIQUE;22130;1332754;CHAUFFEEAUBLINDEVS300LMONOS/SOCLE;ATLANTIC;UN;380;271.6
700031;CDL;GENIECLIMATIQUE;154315;3506936;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVS150LMONOS/SOCLEØ530HT1170;ATLANTIC;UN;528;376.81
700032;CDL;GENIECLIMATIQUE;153110;3506942;CHAUFFEEAUSTEATITEACIHYBRIDEZENEOVM100LMONOMURALØ510HT865;ATLANTIC;UN;300;214.54
700033;CDL;GENIECLIMATIQUE;21107;1022419;CHAUFFEEAUBLINDEVM75LMONOMURAL;ATLANTIC;UN;224;159.76
700034;CDL;GENIECLIMATIQUE;21110;1022422;CHAUFFEEAUBLINDEVM100LMONOMURAL;ATLANTIC;UN;184;131.31
700035;CDL;GENIECLIMATIQUE;21315;1022427;CHAUFFEEAUBLINDEVM150LTCMURAL;ATLANTIC;UN;316;225.99
700036;CDL;GENIECLIMATIQUE;22325;1022432;CHAUFFEEAUBLINDEVS250LTCS/SOCLE;ATLANTIC;UN;480;342.51
