_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
800000;CDL;FILS ET CABLES;neant;201136;CONDUIT ELEC IRL3321     TULIPE D16;neant;M;40;19,97
800001;CDL;FILS ET CABLES;neant;201137;CONDUIT ELEC IRL3321     TULIPE D20;neant;M;47;23,32
800002;CDL;FILS ET CABLES;neant;201138;CONDUIT ELEC IRL3321     TULIPE D25;neant;M;75;37,57
800003;CDL;FILS ET CABLES;neant;201139;CONDUIT ELEC IRL3321     TULIPE D32;neant;M;110;55,19
800004;CDL;FILS ET CABLES;neant;201161;GAINE PREFILEE 3G1.5 BLE/RGE/VJ;neant;CE;111;55,41
800005;CDL;FILS ET CABLES;neant;201162;GAINE PREFILEE 3G1.5 BLE/NOIR/VJ;neant;CE;111;55,41
800006;CDL;FILS ET CABLES;neant;201163;GAINE PREFILEE 3G1.5 BLE/MARR/VJ;neant;CE;111;55,41
800007;CDL;FILS ET CABLES;neant;201164;GAINE PREFILEE 3G1.5 BLE/ORAN/VJ;neant;CE;111;55,41
800008;CDL;FILS ET CABLES;neant;201165;GAINE PREFILEE 3G2.5 BLE/RGE/VJ;neant;CE;165;82,63
800009;CDL;FILS ET CABLES;neant;201166;GAINE PREFILEE 4X1.5 BLE/RGE/MAR/NO;neant;CE;153;76,75
800010;CDL;FILS ET CABLES;neant;201186;GAINE PREFILEE 4G1.5 BLE/RGE/NO/VJ;neant;CE;152;76,04
800011;CDL;FILS ET CABLES;neant;201187;GAINE PREFILEE 5G1.5 BLE/RGE/MAR/MAR/VJ;neant;CE;187;93,59
800012;CDL;FILS ET CABLES;neant;201188;GAINE PREFILEE 3G2.5 BLE/NOIR/VJ;neant;CE;165;82,63
800013;CDL;FILS ET CABLES;neant;201214;GAINE PREFILEE 3X1.5 VIOL/VIOL/ORANG D16;neant;CE;111;55,41
800014;CDL;FILS ET CABLES;neant;201222;GAINE PREFILEE 3X1.5 ORAN/ORAN/NOIR  D16;neant;CE;111;55,41
800015;CDL;FILS ET CABLES;neant;201223;GAINE PREFILEE 3X1.5 VIOL/VIOL/RGE   D16;neant;CE;111;55,41
800016;CDL;FILS ET CABLES;neant;201239;GAINE PREFILEE 1X1.5+3X2.5 NR+BLE/RG/VJ;neant;CE;225;112,56
800017;CDL;FILS ET CABLES;neant;201280;GAINE PREFILEE 3G6 BLE/RGE/VJ;neant;CE;402;201,23
800018;CDL;FILS ET CABLES;neant;201285;JANOFIL FTP GRADE 3 D20      C100M 07425;neant;CE;180;89,95
800019;CDL;FILS ET CABLES;neant;201461;CONDUIT ELEC ICTA3422 JANOJET D16 ATFP;neant;CE;41;20,31
800020;CDL;FILS ET CABLES;neant;201462;CONDUIT ELEC ICTA3422 JANOJET D20 ATFP;neant;CE;44;22,11
800021;CDL;FILS ET CABLES;neant;201463;CONDUIT ELEC ICTA3422 JANOJET D25 ATFP;neant;CE;75;37,37
800022;CDL;FILS ET CABLES;neant;201464;CONDUIT ELEC ICTA3422           D32 ATFP;neant;CE;129;64,27
800023;CDL;FILS ET CABLES;neant;201465;CONDUIT ELEC ICTA3422           D40 ATFP;neant;CE;238;119,05
800024;CDL;FILS ET CABLES;neant;201467;GAINE PREFILEE 5G1,5BLE/RGE/0RAN/ORAN/VJ;neant;CE;187;93,59
800025;CDL;FILS ET CABLES;neant;201690;CONDUIT ELEC ICTA JANOSPRINT     D16 ATF;neant;CE;44;21,88
800026;CDL;FILS ET CABLES;neant;201691;CONDUIT ELEC ICTA JANOSPRINT     D20 ATF;neant;CE;48;24,13
800027;CDL;FILS ET CABLES;neant;201692;CONDUIT ELEC ICTA JANOSPRINT     D25 ATF;neant;CE;82;40,87
800028;CDL;FILS ET CABLES;neant;201718;GAINE PREFILEE 3X1.5 ORAN/ORAN/RGE   D16;neant;CE;111;55,41
800029;CDL;FILS ET CABLES;neant;201885;GAINE PREFILEE 3G2.5 BLE/MARRON/VJ;neant;CE;165;82,63
