ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au; PRIX DE BASE ; PRIX NET 
359879;CDL;APPAREILLAGE;359879;PEIGNE DE RACCORDEMENT VERTICAL;ABB;UN;7,54;5,20
420066;CDL;APPAREILLAGE;420066;PC 2P + T 10/16 A;ABB;UN;6,38;4,40
444041;CDL;APPAREILLAGE;444041;INTER. DIFF.  2 X 25 - 30 MA TYPE AC;ABB;UN;36,25;25,00
444051;CDL;APPAREILLAGE;444051;INTER. DIFF.  2 X 40 - 30 MA TYPE AC;ABB;UN;36,25;25,00
444061;CDL;APPAREILLAGE;444061;INTER. DIFF.  2 X 63 - 30 MA TYPE AC;ABB;UN;59,74;41,20
444151;CDL;APPAREILLAGE;444151;INTER. DIFF.  2 X 40 - 30 MA TYPE A;ABB;UN;43,21;29,80
444161;CDL;APPAREILLAGE;444161;INTER. DIFF.  2 X 63 - 30 MA TYPE A;ABB;UN;68,44;47,20
799154;CDL;APPAREILLAGE;799154;COFFRET DE COMMUNICATION GALE'O GRADE 2;ABB;UN;281,30;194,00
799155;CDL;APPAREILLAGE;799155;COFFRET DE COMMUNICATION GALE'O BASIC;ABB;UN;44,95;31,00
190160;CDL;APPAREILLAGE;190160;JEU DE BARRES INTER DIFF+ 11 SN201L (VISSEE ET RESSORT);ABB;UN;9,57;6,60
190161;CDL;APPAREILLAGE;190161;JEU DE BARRES 13 SN201L (VISSEE ET RESSORT) CAVALIER 27357 INTERDIT;ABB;UN;5,66;3,90
26506;CDL;APPAREILLAGE;26506;CONTACTEUR J/N 2 X 20 A;ABB;UN;27,55;19,00
27355;CDL;APPAREILLAGE;27355;PEIGNE DE RACCORDEMENT 12 MODULES ( PHASE );ABB;UN;2,76;1,90
27356;CDL;APPAREILLAGE;27356;PEIGNE DE RACCORDEMENT 12 MODULES  ( NEUTRE );ABB;UN;2,76;1,90
27357;CDL;APPAREILLAGE;27357;CAVALIER DE PONTAGE INTER DIFF/ PH. NEUTRE;ABB;UN;4,93;3,40
27402;CDL;APPAREILLAGE;27402;JONCTION PLAFOND/GOULOTTE;ABB;UN;20,30;14,00
27410;CDL;APPAREILLAGE;27410;GAINE TECHNIQUE KIT GTL ( CORP/COUVERCLE/CLOISON/SUPPORT/ AGRAFFE;ABB;UN;68,15;47,00
27415;CDL;APPAREILLAGE;27415;SUPPORTS DE COFFRET ( 2 PIECES );ABB;UN;16,53;11,40
27417;CDL;APPAREILLAGE;27417;JONCTION  COFFRET/GOULOTTE ( 2 PIECES );ABB;UN;17,40;12,00
435004;CDL;APPAREILLAGE;435004;TELERUPTEUR 16A - 250V  1F;ABB;UN;15,66;10,80
442041;CDL;APPAREILLAGE;442041;INTER. DIFF.  4 X 25 - 30 MA TYPE AC;ABB;UN;59,45;41,00
442051;CDL;APPAREILLAGE;442051;INTER. DIFF.  4 X 40 - 30 MA TYPE AC;ABB;UN;65,25;45,00
442061;CDL;APPAREILLAGE;442061;INTER. DIFF.  4 X 63 - 30 MA TYPE AC;ABB;UN;92,80;64,00
443041;CDL;APPAREILLAGE;443041;INTER. DIFF.  2 X 25 - 30 MA TYPE AC;ABB;UN;31,90;22,00
443051;CDL;APPAREILLAGE;443051;INTER. DIFF.  2 X 40 - 30 MA TYPE AC;ABB;UN;30,45;21,00
