ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au;PRIX DE BASE; PRIX NET ;
46109;CEF;APPAREILLAGE;46109;Douille Nylon B;Ebenoid;UN;149,32;102,98;
45238;CEF;APPAREILLAGE;45238;Douille B22+C;Ebenoid;UN;180,76;124,66;
45218;CEF;APPAREILLAGE;45218;Testeur D'insta;Ebenoid;UN;75,84;52,3;
55215;CEF;APPAREILLAGE;55215;Eo avec Inter+P;Ebenoid;UN;6727,01;4639,32;
55201;CEF;APPAREILLAGE;55201;Eo Simple;Ebenoid;UN;1480,41;1020,97;
55203;CEF;APPAREILLAGE;55203;Eo avec Inter;Ebenoid;UN;1722,08;1187,64;
55205;CEF;APPAREILLAGE;55205;Eo avec Inter+P;Ebenoid;UN;2387,12;1646,29;
21408;CEF;APPAREILLAGE;21408;Fiche Male 16A;Ebenoid;UN;259,35;178,86;
21471;CEF;APPAREILLAGE;21471;Fiche Male 16A;Ebenoid;UN;602,19;415,3;
21474;CEF;APPAREILLAGE;21474;Fiche Femelle 1;Ebenoid;UN;749,53;516,92;
21114;CEF;APPAREILLAGE;21114;Fiche Male 16A;Ebenoid;UN;237,73;163,95;
21148;CEF;APPAREILLAGE;21148;Fiche Male 16A;Ebenoid;UN;180,76;124,66;
21429;CEF;APPAREILLAGE;21429;Fiche Femelle 1;Ebenoid;UN;314,36;216,8;
21353;CEF;APPAREILLAGE;21353;Fiche Femelle 1;Ebenoid;UN;324,18;223,57;
77762;CEF;APPAREILLAGE;77762;Hublot Rond 62;Ebenoid;UN;1188,65;819,76;
52022;CEF;APPAREILLAGE;52022;Pack 300 btes+S;Eur Hom;UN;267,41;184,42;
52029;CEF;APPAREILLAGE;52029;Bte Pl Dble D67;Eur Hom;UN;418,54;288,65;
52046;CEF;APPAREILLAGE;52046;Bte Pl Tple D67;Eur Hom;UN;453,08;312,47;
53030;CEF;APPAREILLAGE;53030;Bte d'appl. Pla;Eur Hom;UN;441,80;304,69;
53034;CEF;APPAREILLAGE;53034;Boite Appl. Dcl;Eur Hom;UN;569,69;392,89;
53012;CEF;APPAREILLAGE;53012;Bte Ctre Plac D;Eur Hom;UN;577,98;398,61;
53014;CEF;APPAREILLAGE;53014;Kit Pt Ctre Pl.;Eur Hom;UN;58,13;40,09;
52044;CEF;APPAREILLAGE;52044;Bte Pl Dble D67;Eur Hom;UN;11455,00;7900;
43534;CEF;APPAREILLAGE;43534;Attache Multi 2;Eur Hom;UN;279,04;192,44;
43533;CEF;APPAREILLAGE;43533;Attache Multi 1;Eur Hom;UN;8,74;6,03;
43532;CEF;APPAREILLAGE;43532;Attache Multi 1;Eur Hom;UN;7,45;5,14;
43514;CEF;APPAREILLAGE;43514;Attache 25MM Gr;Eur Hom;UN;10,77;7,43;
43512;CEF;APPAREILLAGE;43512;Attache 20MM Gr;Eur Hom;UN;23,03;15,88;
43510;CEF;APPAREILLAGE;43510;Attache 16MM Gr;Eur Hom;UN;10,22;7,05;
43509;CEF;APPAREILLAGE;43509;Attache 14MM Gr;Eur Hom;UN;8,06;5,56;
43508;CEF;APPAREILLAGE;43508;Attache 12 Mm G;Eur Hom;UN;7,73;5,33;
43507;CEF;APPAREILLAGE;43507;Attache 10MM Gr;Eur Hom;UN;6,99;4,82;
