_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600000;dupont;RADIATEURS SECHE SERVIETTES ET DECOR;1019;ACOVA SERIE FASSANE SPA VERSION EAU CHAUDE 1019;ACOVA;UN;386,3;247,71
600001;dupont;RADIATEURS SECHE SERVIETTES ET DECOR;625;ACOVA SERIE FASSANE SPA VERSION EAU CHAUDE 625;ACOVA;UN;274,6;176,09
600002;dupont;RADIATEURS SECHE SERVIETTES ET DECOR;500;ACOVA SERIE FASSANE SPA VERSION ELECTRIQUE 500;ACOVA;UN;405,6;260,09
600003;dupont;RADIATEURS SECHE SERVIETTES ET DECOR;750;ACOVA SERIE FASSANE SPA VERSION ELECTRIQUE 750;ACOVA;UN;440,4;282,41
600004;dupont;CERAMIQUE;1862;BASTIA Colonne bastia blanc;ALLIA;UN;28;16,59
600005;dupont;CERAMIQUE;3475;BASTIA Cuvette bastia sh blanc;ALLIA;UN;57;34,2
600006;dupont;CERAMIQUE;3280;BASTIA Cuvette bastia surel sh blanc;ALLIA;UN;120;72,9
600007;dupont;CERAMIQUE;3967;BASTIA Cuvette suspend bastia blanc;ALLIA;UN;68;41,31
600008;dupont;CERAMIQUE;1105;BASTIA Lavabo bastia 60 blanc;ALLIA;UN;40;23,7
600009;dupont;CERAMIQUE;1045;BASTIA Lave main bastia blanc;ALLIA;UN;40;24,3
600010;dupont;CERAMIQUE;3851;BASTIA Reservoir bastia 3/6l blanc;ALLIA;UN;64;37,92
600011;dupont;CERAMIQUE;1873;PRIMA Colonne prima blanc;ALLIA;UN;64;39,36
600012;dupont;CERAMIQUE;83345;PRIMA Ens wc prima cdi ct sh sil blanc;ALLIA;UN;351;207,97
600013;dupont;CERAMIQUE;83045;PRIMA Ens wc prima cdi sac blanc;ALLIA;UN;374;221,6
600014;dupont;CERAMIQUE;83035;PRIMA Ens wc prima cdi sh sil blanc;ALLIA;UN;267;154,19
