_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600000;DUPONT;RADIATEURS SECHE SERVIETTES ET DECOR;1019;ACOVA SERIE FASSANE SPA VERSION EAU CHAUDE 1019;ACOVA;UN;386,30;247,71
600001;DUPONT;RADIATEURS SECHE SERVIETTES ET DECOR;625;ACOVA SERIE FASSANE SPA VERSION EAU CHAUDE 625;ACOVA;UN;274,60;176,09
600002;DUPONT;RADIATEURS SECHE SERVIETTES ET DECOR;500;ACOVA SERIE FASSANE SPA VERSION ELECTRIQUE 500;ACOVA;UN;405,60;260,09
600003;DUPONT;RADIATEURS SECHE SERVIETTES ET DECOR;750;ACOVA SERIE FASSANE SPA VERSION ELECTRIQUE 750;ACOVA;UN;440,40;282,41
600004;DUPONT;CERAMIQUE;1862;BASTIA Colonne bastia blanc;ALLIA;UN;28,00;16,59
600005;DUPONT;CERAMIQUE;3475;BASTIA Cuvette bastia sh blanc;ALLIA;UN;57,00;34,20
600006;DUPONT;CERAMIQUE;3280;BASTIA Cuvette bastia surel sh blanc;ALLIA;UN;120,00;72,90
600007;DUPONT;CERAMIQUE;3967;BASTIA Cuvette suspend bastia blanc;ALLIA;UN;68,00;41,31
600008;DUPONT;CERAMIQUE;1105;BASTIA Lavabo bastia 60 blanc;ALLIA;UN;40,00;23,70
600009;DUPONT;CERAMIQUE;1045;BASTIA Lave main bastia blanc;ALLIA;UN;40,00;24,30
600010;DUPONT;CERAMIQUE;3851;BASTIA Reservoir bastia 3/6l blanc;ALLIA;UN;64,00;37,92
600011;DUPONT;CERAMIQUE;1873;PRIMA Colonne prima blanc;ALLIA;UN;64,00;39,36
600012;DUPONT;CERAMIQUE;83345;PRIMA Ens wc prima cdi ct sh sil blanc;ALLIA;UN;351,00;207,97
600013;DUPONT;CERAMIQUE;83045;PRIMA Ens wc prima cdi sac blanc;ALLIA;UN;374,00;221,60
600014;DUPONT;CERAMIQUE;83035;PRIMA Ens wc prima cdi sh sil blanc;ALLIA;UN;267,00;154,19
600015;DUPONT;CERAMIQUE;83113;PRIMA Ens wc prima surl cdi sh blanc;ALLIA;UN;384,00;256,32
600016;DUPONT;CERAMIQUE;1065;PRIMA Lavabo angle prima 50 blanc;ALLIA;UN;149,00;106,16
600017;DUPONT;CERAMIQUE;1333;PRIMA Lavabo prima 60x50 blanc;ALLIA;UN;82,00;51,66
600018;DUPONT;CERAMIQUE;1052;PRIMA Lave main prima 40 blanc;ALLIA;UN;79,00;56,29
600019;DUPONT;CERAMIQUE;1062;PRIMA Lave main prima 45 blanc;ALLIA;UN;81,00;57,71
600020;DUPONT;CERAMIQUE;1002;PRIMA Lave main prima angle blanc;ALLIA;UN;94,00;54,99
600021;DUPONT;CERAMIQUE;83233;PRIMA Pack wc sol ligne 4x4 blanc;ALLIA;UN;259,00;170,94
600022;DUPONT;CERAMIQUE;83923;PRIMA Pack wc susp prima blanc;ALLIA;UN;169,00;97,60
600023;DUPONT;CERAMIQUE;83903;PRIMA Pack wc susp prima compact blanc;ALLIA;UN;169,00;97,60
600024;DUPONT;EVIERS GRES INOX MEUBLES;6900;A poser 2 C + 1 égouttoir 120x60;ALLIA;UN;136,00;86,70
600025;DUPONT;EVIERS GRES INOX MEUBLES;6810;Evier grés  VALLAURIS A encastrer 1 C + 1 égouttoir 92x50 ;ALLIA;UN;178,00;113,48
600026;DUPONT;EVIERS GRES INOX MEUBLES;6800;Evier grés  VALLAURIS A encastrer 2 C + 1 égouttoir 112x50 ;ALLIA;UN;189,00;120,49
600027;DUPONT;EVIERS GRES INOX MEUBLES;6920;Evier grès REDON A poser 1 C + 1 égouttoir 100x60;ALLIA;UN;156,00;99,45
600028;DUPONT;RECEVEURS;7302; PRIMA EXTRA PLAT                             70x70        Blanc;ALLIA;UN;108,00;66,42
600029;DUPONT;RECEVEURS;7362; PRIMA EXTRA PLAT        100x80        Blanc;ALLIA;UN;293,00;175,80
600030;DUPONT;RECEVEURS;7322; PRIMA EXTRA PLAT       ¼ cercle 80x80        Blanc;ALLIA;UN;245,00;147,00
600031;DUPONT;RECEVEURS;7352; PRIMA EXTRA PLAT       ¼ cercle 90x90        Blanc;ALLIA;UN;332,00;199,20
600032;DUPONT;RECEVEURS;7312; PRIMA EXTRA PLAT       80x80        Blanc;ALLIA;UN;185,00;111,00
600033;DUPONT;RECEVEURS;7332; PRIMA EXTRA PLAT       90x70        Blanc;ALLIA;UN;246,00;147,60
600034;DUPONT;RECEVEURS;7343; PRIMA EXTRA PLAT       90x90        Blanc;ALLIA;UN;249,00;149,40
600035;DUPONT;RECEVEURS;7372; PRIMA EXTRA PLAT    120x80        Blanc;ALLIA;UN;326,00;195,60
600036;DUPONT;RECEVEURS;7352AG; PRIMA EXTRA PLAT ANTI GLISSE                          ¼ cercle  90x90        Blanc;ALLIA;UN;382,00;252,12
600037;DUPONT;RECEVEURS;7461AG;AMALFI EXTRA PLAT ANTI GLISSE 100x100        Blanc;ALLIA;UN;526,00;319,55
600038;DUPONT;RECEVEURS;7471AG;AMALFI EXTRA PLAT ANTI GLISSE 120x80        Blanc;ALLIA;UN;580,00;352,35
600039;DUPONT;RECEVEURS;7121;BASTIA A ENCASTRER 70 x 70       Blanc;ALLIA;UN;87,00;53,51
600040;DUPONT;RECEVEURS;7281;BASTIA A ENCASTRER 80x80       Blanc;ALLIA;UN;118,00;67,26
600041;DUPONT;RECEVEURS;7361;BASTIA A ENCASTRER 90 x 90       Blanc;ALLIA;UN;201,00;114,57
600042;DUPONT;RECEVEURS;7311;BASTIA A ENCASTRER 90x75       Blanc;ALLIA;UN;203,00;126,37
600043;DUPONT;RECEVEURS;7141;BASTIA A ENCASTRER80 x 80       Blanc;ALLIA;UN;118,00;67,26
600044;DUPONT;RECEVEURS;7261;BASTIA A POSER                                  90x90       Blanc;ALLIA;UN;201,00;114,57
