ID;FOURNISSEUR;FAMILLE;REFERENCE;DESIGNATION;MARQUE;prix au;PRIX DE BASE;PRIX NET;;;;
70000;CDL;DIVERS;80020;SCOTCH SUPER 33+ 19MM  10M.;3 M;UN;3;2,30;;;;
70001;CDL;DIVERS;80021;SCOTCH SUPER 33+ 19MM  20M.;3 M;UN;8;5,10;;;;
70002;CDL;DIVERS;84890;CONNECTEUR RAPIDE TELEPHONE;3 M;CE;13;8,46;;;;
70003;CDL;APPAREILLAGE;190160;JEU DE BARRES INTER DIFF+ 11 SN201L (VISSEE ET RESSORT);ABB;UN;10;6,93;;;;
70004;CDL;APPAREILLAGE;190161;JEU DE BARRES 13 SN201L (VISSEE ET RESSORT) CAVALIER 27357 INTERDIT;ABB;UN;6;4,18;;;;
70005;CDL;APPAREILLAGE;26506;CONTACTEUR J/N 2 X 20 A;ABB;UN;33;22,50;;;;
70006;CDL;APPAREILLAGE;27355;PEIGNE DE RACCORDEMENT 12 MODULES ( PHASE );ABB;UN;3;2,06;;;;
70007;CDL;APPAREILLAGE;27356;PEIGNE DE RACCORDEMENT 12 MODULES  ( NEUTRE );ABB;UN;3;2,06;;;;
70008;CDL;APPAREILLAGE;27357;CAVALIER DE PONTAGE INTER DIFF/ PH. NEUTRE;ABB;UN;5;3,44;;;;
70009;CDL;APPAREILLAGE;27402;JONCTION PLAFOND/GOULOTTE;ABB;UN;21;14,30;;;;
70010;CDL;APPAREILLAGE;27410;GAINE TECHNIQUE KIT GTL ( CORP/COUVERCLE/CLOISON/SUPPORT/ AGRAFFE;ABB;UN;73;50,44;;;;
70011;CDL;APPAREILLAGE;27415;SUPPORTS DE COFFRET ( 2 PIECES );ABB;UN;17;11,42;;;;
70012;CDL;APPAREILLAGE;27417;JONCTION  COFFRET/GOULOTTE ( 2 PIECES );ABB;UN;18;12,12;;;;
70013;CDL;APPAREILLAGE;435004;TELERUPTEUR 16A - 250V  1F;ABB;UN;17;12,02;;;;
70014;CDL;APPAREILLAGE;442041;INTER. DIFF.  4 X 25 - 30 MA TYPE AC;ABB;UN;61;42,30;;;;
70015;CDL;APPAREILLAGE;442051;INTER. DIFF.  4 X 40 - 30 MA TYPE AC;ABB;UN;67;46,41;;;;
70016;CDL;APPAREILLAGE;442061;INTER. DIFF.  4 X 63 - 30 MA TYPE AC;ABB;UN;97;66,77;;;;
70017;CDL;APPAREILLAGE;443041;INTER. DIFF.  2 X 25 - 30 MA TYPE AC;ABB;UN;33;22,59;;;;
70018;CDL;APPAREILLAGE;443051;INTER. DIFF.  2 X 40 - 30 MA TYPE AC;ABB;UN;35;23,88;;;;
70019;CDL;APPAREILLAGE;443061;INTER. DIFF.  2 X 63 - 30 MA TYPE AC;ABB;UN;55;38,06;;;;
70020;CDL;APPAREILLAGE;443151;INTER. DIFF.  2 X 40 - 30 MA TYPE A;ABB;UN;42;29,13;;;;
70021;CDL;APPAREILLAGE;443161;INTER. DIFF.  2 X 63 - 30 MA  TYPE A;ABB;UN;67;46,20;;;;
70022;CDL;APPAREILLAGE;470229;DISJONCTEUR DIVISIONNAIRE PH+N  2 A;ABB;UN;11;7,60;;;;
70023;CDL;APPAREILLAGE;470236;DISJONCTEUR DIVISIONNAIRE PH+N 10 A;ABB;UN;8;5,60;;;;
70024;CDL;APPAREILLAGE;470238;DISJONCTEUR DIVISIONNAIRE PH+N 16 A;ABB;UN;8;5,60;;;;
70025;CDL;APPAREILLAGE;470239;DISJONCTEUR DIVISIONNAIRE PH+N 20 A;ABB;UN;8;5,60;;;;
70026;CDL;APPAREILLAGE;470241;DISJONCTEUR DIVISIONNAIRE PH+N 32 A;ABB;UN;9;6,40;;;;
70027;CDL;APPAREILLAGE;470429;DISJONCTEUR DIVISIONNAIRE PH+N  2 A  BORNES AUTO;ABB;UN;11;7,60;;;;
70028;CDL;APPAREILLAGE;470436;DISJONCTEUR DIVISIONNAIRE PH+N 10 A BORNES AUTO;ABB;UN;9;5,99;;;;
70029;CDL;APPAREILLAGE;470438;DISJONCTEUR DIVISIONNAIRE PH+N 16 A BORNES AUTO;ABB;UN;9;5,99;;;;
70030;CDL;APPAREILLAGE;470439;DISJONCTEUR DIVISIONNAIRE PH+N 20 A BORNES AUTO;ABB;UN;9;5,99;;;;
70031;CDL;APPAREILLAGE;470441;DISJONCTEUR DIVISIONNAIRE PH+N 32 A BORNES AUTO;ABB;UN;9;6,40;;;;
70032;CDL;APPAREILLAGE;798751;COFFRET DE DISTRIB. ALPHA 18 MODULES 1R;ABB;UN;51;35,05;;;;
70033;CDL;APPAREILLAGE;798752;COFFRET DE DISTRIB. ALPHA 36 MODULES 2R;ABB;UN;74;51,01;;;;
70034;CDL;APPAREILLAGE;798753;COFFRET DE DISTRIB. ALPHA 54 MODULES 3R;ABB;UN;95;65,34;;;;
70035;CDL;APPAREILLAGE;798754;COFFRET DE DISTRIB. ALPHA 72 MODULES 4R;ABB;UN;147;101,46;;;;
70036;CDL;APPAREILLAGE;799101;COFFRET DE DISTRIB. GALE'O 13 MODULES 1R;ABB;UN;15;10,20;;;;
70037;CDL;APPAREILLAGE;799102;COFFRET DE DISTRIB. GALE'O 26 MODULES 2R;ABB;UN;23;15,76;;;;
70038;CDL;APPAREILLAGE;799103;COFFRET DE DISTRIB. GALE'O 39 MODULES 3R;ABB;UN;33;22,74;;;;
70039;CDL;APPAREILLAGE;799104;COFFRET DE DISTRIB. GALE'O 52 MODULES 4R;ABB;UN;48;33,30;;;;
70040;CDL;APPAREILLAGE;799150;COFFRET DE COMMUNICATION BASIC;ABB;UN;58;40,26;;;;
70041;CDL;APPAREILLAGE;799152;COFFRET DE COMMUNICATION GRADE 1;ABB;UN;237;163,50;;;;
