_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;
200000;CDL;FILS ET CABLES;250115;RO2V 2 X 1,5;;CE;66,72;41,7;;;
200001;CDL;FILS ET CABLES;250202;RO2V 2 X 2,5;;CE;94,88;59,3;;;
200002;CDL;FILS ET CABLES;neant;RO2V 2 X 4;;CE;0;0;;;
200003;CDL;FILS ET CABLES;250960;RO2V 2 X 6;;CE;204,992;128,12;;;
200004;CDL;FILS ET CABLES;251044;RO2V 2 X 10;;CE;315,568;197,23;;;
200005;CDL;FILS ET CABLES;250897;RO2V 2 X 16;;CE;491,52;307,2;;;
200006;CDL;FILS ET CABLES;250127;RO2V 2 X 25;;CE;763,6;477,25;;;
200007;CDL;FILS ET CABLES;250313;RO2V 2 X 35;;CE;1112,16;695,1;;;
200008;CDL;FILS ET CABLES;250222;RO2V 3 G 1,5;;CE;76,8;48;;;
200009;CDL;FILS ET CABLES;250223;RO2V 3 G 2,5;;CE;115,952;72,47;;;
200010;CDL;FILS ET CABLES;250135;RO2V 3 G 4;;CE;192,176;120,11;;;
200011;CDL;FILS ET CABLES;250916;RO2V 3 G 6;;CE;284,944;178,09;;;
200012;CDL;FILS ET CABLES;250448;RO2V 3 G 10;;CE;462,016;288,76;;;
200013;CDL;FILS ET CABLES;250449;RO2V 3 G 16;;CE;717,216;448,26;;;
200014;CDL;FILS ET CABLES;neant;RO2V 3 G 25;;CE;0;0;;;
200015;CDL;FILS ET CABLES;250204;RO2V 4 G 1,5;;CE;108,48;67,8;;;
200016;CDL;FILS ET CABLES;250206;RO2V 4 G 2,5;;CE;166,4;104;;;
200017;CDL;FILS ET CABLES;250143;RO2V 4 G 4;;CE;251,952;157,47;;;
200018;CDL;FILS ET CABLES;250453;RO2V 4 G 6;;CE;374,384;233,99;;;
200019;CDL;FILS ET CABLES;250430;RO2V 4 G 10;;CE;611,552;382,22;;;
200020;CDL;FILS ET CABLES;250148;RO2V 4 G 16;;CE;924,272;577,67;;;
200021;CDL;FILS ET CABLES;250904;RO2V 4 G 25;;CE;1456,72;910,45;;;
200022;CDL;FILS ET CABLES;neant;RO2V 4 G 35;;CE;0;0;;;
200023;CDL;FILS ET CABLES;250201;RO2V 5 G 1,5;;CE;126,32;78,95;;;
200024;CDL;FILS ET CABLES;250203;RO2V 5 G 2,5;;CE;194,656;121,66;;;
