_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
500000;cyclelect;divers;80536;BANDE ADHESIF ALU  (ROULEAU DE 50 M);3 M;un;6,24;4,30
500001;cyclelect;genie climatique;LN112-050S;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  612+1000W BLANC;ACOVA                          ;un;389,06;268,32
500002;cyclelect;genie climatique;LN172-050S;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  880+1000W BLANC;ACOVA                          ;un;425,52;293,46
500003;cyclelect;genie climatique;LN180-050S;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  973+1000W BLANC;ACOVA                          ;un;435,96;300,66
500004;cyclelect;genie climatique;LNO112-050S;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  402+1000W CHROME;ACOVA                          ;un;1054,96;727,56
500005;cyclelect;genie climatique;LNO172-050S;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  578+1000W CHROME;ACOVA                          ;un;1286,99;887,58
500006;cyclelect;genie climatique;TAQ-050-052;RADIATEUR TAÏGA EVOLUTION  500 W;ACOVA                          ;un;410,64;283,20
500007;cyclelect;genie climatique;TAQ-075-060;RADIATEUR TAÏGA EVOLUTION  750 W;ACOVA                          ;un;443,18;305,64
500008;cyclelect;genie climatique;TAQ-100-076;RADIATEUR TAÏGA EVOLUTION 1000 W;ACOVA                          ;un;476,85;328,86
500009;cyclelect;genie climatique;TAQ-125-084;RADIATEUR TAÏGA EVOLUTION 1250 W;ACOVA                          ;un;522,87;360,60
500010;cyclelect;genie climatique;TAQ-150-100;RADIATEUR TAÏGA EVOLUTION 1500 W;ACOVA                          ;un;591,95;408,24
500011;cyclelect;genie climatique;TAQ-200-123;RADIATEUR TAÏGA EVOLUTION 2000 W;ACOVA                          ;un;679,04;468,30
500012;cyclelect;genie climatique;TAX-050-037;RADIATEUR ATOLL 500W;ACOVA                          ;un;243,51;167,94
500013;cyclelect;genie climatique;TAX-075-045;RADIATEUR ATOLL 750W;ACOVA                          ;un;265,44;183,06
500014;cyclelect;genie climatique;TAX-100-061;RADIATEUR ATOLL 1000W;ACOVA                          ;un;311,11;214,56
500015;cyclelect;genie climatique;TAX-125-077;RADIATEUR ATOLL 1250W;ACOVA                          ;un;347,74;239,82
500016;cyclelect;genie climatique;TAX-150-093;RADIATEUR ATOLL 1500W;ACOVA                          ;un;393,59;271,44
