_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600000;LEGALLAIS;Fixation;TP14X40CLS01;8092;POINTES AC TP  40X2,2(BTE 1KG);PATE;Boite;11.07;5.54
600001;LEGALLAIS;Fixation;646504;16492;TIGE FILETEE A4              4;ACTON;Barre;6.07;3.04
600002;LEGALLAIS;Fixation;646505;16499;TIGE FILETEE A4              5;ACTON;Barre;5.99;3.00
600003;LEGALLAIS;Fixation;646506;16506;TIGE FILETEE A4              6;ACTON;Barre;7.73;3.87
600004;LEGALLAIS;Fixation;646508;16513;TIGE FILETEE A4              8;ACTON;Barre;13.17;6.59
600005;LEGALLAIS;Fixation;6465010;16520;TIGE FILETEE A4             10;ACTON;Barre;20.73;10.37
600006;LEGALLAIS;Fixation;6465012;16527;TIGE FILETEE A4             12;ACTON;Barre;28.44;14.22
600007;LEGALLAIS;Fixation;6465014;16534;TIGE FILETEE A4             14;ACTON;Barre;39.06;19.53
600008;LEGALLAIS;Fixation;626504;16562;TIGE FILETEE A2              4;ACTON;Barre;5.14;2.57
600009;LEGALLAIS;Fixation;626505;16569;TIGE FILETEE A2              5;ACTON;Barre;4.86;2.43
600010;LEGALLAIS;Fixation;626506;16576;TIGE FILETEE A2              6;ACTON;Barre;5.3;2.65
600011;LEGALLAIS;Fixation;626508;16583;TIGE FILETEE A2              8;ACTON;Barre;9.13;4.57
600012;LEGALLAIS;Fixation;6265010;16597;TIGE FILETEE A2             10;ACTON;Barre;13.82;6.91
600013;LEGALLAIS;Fixation;6265012;16604;TIGE FILETEE A2             12;ACTON;Barre;21.05;10.53
600014;LEGALLAIS;Fixation;6265014;16618;TIGE FILETEE A2             14;ACTON;Barre;29.85;14.93
600015;LEGALLAIS;Fixation;6265016;16625;TIGE FILETEE A2             16;ACTON;Barre;38.73;19.37
600016;LEGALLAIS;Fixation;6265018;16639;TIGE FILETEE A2             18;ACTON;Barre;52.62;26.31
600017;LEGALLAIS;Fixation;6265020;16653;TIGE FILETEE A2             20;ACTON;Barre;61.7;30.85
600018;LEGALLAIS;Fixation;22502000501;17451;RIVETS GRIP ALU BRS 02 COFFRET;BOLLHOFF;Boite;190.49;95.25
600019;LEGALLAIS;Fixation;G112180;17661;TIGE A SCELLER AC       12X180;;Piece;5.1;2.55
600020;LEGALLAIS;Fixation;G114200;17675;TIGE A SCELLER AC       14X200;;Piece;5.5;2.75
600021;LEGALLAIS;Colles - adhesifs - lubrifiant;30180770;20104;ROULEAU A MAROUFLER;BOSTIK;Piece;118.26;59.13
600022;LEGALLAIS;Colles - adhesifs - lubrifiant;100680;20363;MOUSSE POLYUR.ATOMISEUR 750 ML;AYRTON;Piece;13.19;6.60
600023;LEGALLAIS;Accessoires;74008;24500;CHANT MELAFIX BLANCSP(25M)20MM;NORDLINGER;Rouleau;35.92;21.55
