_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
200000;LEGALLAIS;Fixation;TP14X40CLS01;8092;POINTES AC TP  40X2,2(BTE 1KG);PATE;Boite;11.72;5.86
200001;LEGALLAIS;Fixation;646504;16492;TIGE FILETEE A4              4;ACTON;Barre;6.2;3.10
200002;LEGALLAIS;Fixation;646505;16499;TIGE FILETEE A4              5;ACTON;Barre;6.12;3.06
200003;LEGALLAIS;Fixation;646506;16506;TIGE FILETEE A4              6;ACTON;Barre;7.81;3.91
200004;LEGALLAIS;Fixation;646508;16513;TIGE FILETEE A4              8;ACTON;Barre;13.37;6.69
200005;LEGALLAIS;Fixation;6465010;16520;TIGE FILETEE A4             10;ACTON;Barre;21;10.50
200006;LEGALLAIS;Fixation;6465012;16527;TIGE FILETEE A4             12;ACTON;Barre;28.86;14.43
200007;LEGALLAIS;Fixation;6465014;16534;TIGE FILETEE A4             14;ACTON;Barre;39.66;19.83
200008;LEGALLAIS;Fixation;626504;16562;TIGE FILETEE A2              4;ACTON;Barre;5.26;2.63
200009;LEGALLAIS;Fixation;626505;16569;TIGE FILETEE A2              5;ACTON;Barre;4.98;2.49
200010;LEGALLAIS;Fixation;626506;16576;TIGE FILETEE A2              6;ACTON;Barre;5.42;2.71
200011;LEGALLAIS;Fixation;626508;16583;TIGE FILETEE A2              8;ACTON;Barre;9.22;4.61
200012;LEGALLAIS;Fixation;6265010;16597;TIGE FILETEE A2             10;ACTON;Barre;14.03;7.02
200013;LEGALLAIS;Fixation;6265012;16604;TIGE FILETEE A2             12;ACTON;Barre;21.33;10.67
200014;LEGALLAIS;Fixation;6265014;16618;TIGE FILETEE A2             14;ACTON;Barre;30.29;15.15
200015;LEGALLAIS;Fixation;6265016;16625;TIGE FILETEE A2             16;ACTON;Barre;39.33;19.67
200016;LEGALLAIS;Fixation;6265018;16639;TIGE FILETEE A2             18;ACTON;Barre;53.42;26.71
200017;LEGALLAIS;Fixation;6265020;16653;TIGE FILETEE A2             20;ACTON;Barre;62.59;31.30
200018;LEGALLAIS;Fixation;22502000501;17451;RIVETS GRIP ALU BRS 02 COFFRET;BOLLHOFF;Boite;193.36;96.68
200019;LEGALLAIS;Fixation;G112180;17661;TIGE A SCELLER AC       12X180;;Piece;5.3;2.65
200020;LEGALLAIS;Fixation;G114200;17675;TIGE A SCELLER AC       14X200;;Piece;5.7;2.85
200021;LEGALLAIS;Colles - adhesifs - lubrifiant;30180770;20104;ROULEAU A MAROUFLER;BOSTIK;Piece;123.68;61.84
200022;LEGALLAIS;Colles - adhesifs - lubrifiant;100680;20363;MOUSSE POLYUR.ATOMISEUR 750 ML;AYRTON;Piece;13.58;6.79
200023;LEGALLAIS;Accessoires;74008;24500;CHANT MELAFIX BLANCSP(25M)20MM;NORDLINGER;Rouleau;37.51;22.51
200024;LEGALLAIS;Accessoires;74062;24521;CHANT MELAFIX BLANCSP(25M)23MM;NORDLINGER;Rouleau;29.88;17.93
200025;LEGALLAIS;Accessoires;74109;24535;CHANT MELAFIX CHEN.RU(25M)23MM;NORDLINGER;Rouleau;40.97;24.58
200026;LEGALLAIS;Accessoires;74134;24563;CHANT MELAFIX BLANCSP(25M)42MM;NORDLINGER;Rouleau;78.01;46.81
200027;LEGALLAIS;Accessoires;260500;24766;CHANT PREENC ACAJOU (20M) 23MM;NORDLINGER;Rouleau;22.02;13.21
200028;LEGALLAIS;Accessoires;260503;24808;CHANT PREENC CHENE  (20M) 23MM;NORDLINGER;Rouleau;33.34;20.00
200029;LEGALLAIS;Accessoires;260505;24815;CHANT PREENC PIN    (20M) 23MM;NORDLINGER;Rouleau;42.82;25.69
200030;LEGALLAIS;Colles - adhesifs - lubrifiant;30504111;27769;COLLE NEO SUPER AGOPLAC LIQ 1L;BOSTIK;Boite;42.34;21.17
200031;LEGALLAIS;Colles - adhesifs - lubrifiant;30504112;27776;COLLE NEO SUPER AGOPLAC LIQ 5L;BOSTIK;Bidon;167.01;83.51
200032;LEGALLAIS;Colles - adhesifs - lubrifiant;30504120;27790;COLLE NEO SUPER AGOPLAC NCP 1L;BOSTIK;Boite;43.27;21.64
200033;LEGALLAIS;Colles - adhesifs - lubrifiant;30504121;27797;COLLE NEO SUPER AGOPLAC NCP 5L;BOSTIK;Bidon;170;85.00
200034;LEGALLAIS;Levage et manutention;8123042;27846;FIL GALVA  50M  0.9MM;CHAUBEYRE;Rouleau;6.8;4.08
200035;LEGALLAIS;Levage et manutention;8123043;27853;FIL GALVA  50M 1.1MM;CHAUBEYRE;Rouleau;8.5;5.10
200036;LEGALLAIS;Levage et manutention;8123044;27860;FIL GALVA  50M  1.3MM;CHAUBEYRE;Rouleau;10.24;6.14
200037;LEGALLAIS;Levage et manutention;8123045;27867;FIL GALVA  50M  1.5MM;CHAUBEYRE;Rouleau;12.24;7.34
200038;LEGALLAIS;Levage et manutention;8123047;27874;FIL GALVA  50M  1.8MM;CHAUBEYRE;Rouleau;18.33;11.00
200039;LEGALLAIS;Levage et manutention;8123041;27881;FIL GALVA 100M  0.7MM;CHAUBEYRE;Rouleau;7.83;4.70
200040;LEGALLAIS;Levage et manutention;8123052;27902;FIL PLASTIQUE VERT 50M  1MM;CHAUBEYRE;Rouleau;9.6;5.76
200041;LEGALLAIS;Quincaillerie générale;201300;28917;SEUIL PORTE A VISSER INOX 0,73;DINAC;Piece;3.55;1.78
200042;LEGALLAIS;Quincaillerie générale;201301;28980;SEUIL PORTE A VISSER INOX 0,83;DINAC;Piece;4.04;2.02
200043;LEGALLAIS;Quincaillerie générale;201302;28987;SEUIL PORTE A VISSER INOX 0,93;DINAC;Piece;4.52;2.26
200044;LEGALLAIS;Quincaillerie générale;201309;28994;SEUIL PORTE A VISSER INOX 2M70;DINAC;Piece;12;6.00
