_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
500000;LORANS;chauffage;428303-3428;30471122;COUDE REGLAGE MF SAR 3428 12/17;COMAP FRANCE;1;8;5,76
500001;LORANS;chauffage;428304-3428;30471155;COUDE REGLAGE MF SAR 3428 15/21;COMAP FRANCE;1;9;6,95
500002;LORANS;chauffage;428306-3428;30471205;COUDE REGLAGE MF SAR 3428 20/27;COMAP FRANCE;1;14;10,74
500003;LORANS;chauffage;3428E-428804;30473011;COUDE REGLAGE SAR MEM/-VID MM15-22;COMAP FRANCE;1;11;8,48
500004;LORANS;chauffage;429303-3429;30477129;TE REGLAGE MF SAR 3429 12/17;COMAP FRANCE;1;8;6,25
500005;LORANS;chauffage;429304-3429;30477152;TE REGLAGE MF SAR 3429 15/21;COMAP FRANCE;1;10;7,73
500006;LORANS;chauffage;429306-3429;30477202;TE REGLAGE MF SAR 3429 20/27;COMAP FRANCE;1;17;12,45
500007;LORANS;chauffage;429804;30479158;TE REGLAGE SAR MEM/VID 15/21 22;COMAP FRANCE;1;13;9,27
500008;LORANS;chauffage;550334-334;30483002;CLE DE REGLAGE POUR UNION SAR;COMAP FRANCE;1;27;19,96
500009;LORANS;chauffage;835412;30485007;RAC MECANIQUE SAR F 22 CU 12;COMAP FRANCE;1;3;2,2
500010;LORANS;chauffage;835-835414;30485015;RAC MECANIQUE SAR F 22 CU 14;COMAP FRANCE;1;3;2,2
500011;LORANS;chauffage;835416;30485023;RAC MECANIQUE SAR F 22 CU 16;COMAP FRANCE;1;3;2,2
500012;LORANS;chauffage;835P-835221;30487003;RAC MECANIQUE SAR F 22 PE 12;COMAP FRANCE;1;4;3,31
500013;LORANS;chauffage;835P-835261;30487011;RAC MECANIQUE SAR F 22 PE 16;COMAP FRANCE;1;4;3,31
500014;LORANS;chauffage;839-839514;30489009;RAC MECANIQUE SAR F 22 MULTISKIN 14;COMAP FRANCE;1;5;3,62
500015;LORANS;chauffage;839-839516;30489017;RAC MECANIQUE SAR F 22 MULTISKIN 16;COMAP FRANCE;1;5;3,62
500016;LORANS;chauffage;587144-834;30491005;RAC MECANIQUE SAR M 15/21 CU 14;COMAP FRANCE;1;4;2,77
500017;LORANS;chauffage;587154-834;30491013;RAC MECANIQUE SAR M 15/21 CU 15;COMAP FRANCE;1;4;2,77
500018;LORANS;chauffage;587164-834;30491021;RAC MECANIQUE SAR M 15/21 CU 16;COMAP FRANCE;1;4;2,77
500019;LORANS;chauffage;118 38 63;30500128;ROB RAD THERM OVENTROP DROIT FM 12;OVENTROP ROBINETTERIE;1;16;12,17
500020;LORANS;chauffage;118 38 64;30500151;ROB RAD THERM OVENTROP DROIT FM 15;OVENTROP ROBINETTERIE;1;15;10,82
500021;LORANS;chauffage;118 38 66;30500201;ROB RAD THERM OVENTROP DROIT FM 20;OVENTROP ROBINETTERIE;1;24;17,97
500022;LORANS;chauffage;118 37 63;30502124;ROB RAD THERM OVENTROP EQUERRE FM 12;OVENTROP ROBINETTERIE;1;14;10,6
500023;LORANS;chauffage;118 37 64;30502157;ROB RAD THERM OVENTROP EQUERRE FM 15;OVENTROP ROBINETTERIE;1;14;10,49
500024;LORANS;chauffage;118 37 66;30502207;ROB RAD THERM OVENTROP EQUERRE FM 20;OVENTROP ROBINETTERIE;1;24;17,97
500025;LORANS;chauffage;118 34 63;30504153;ROB RAD THERM OVENTROP EQ DROITE 15;OVENTROP ROBINETTERIE;1;24;17,89
500026;LORANS;chauffage;118 34 62;30506158;ROB RAD THERM OVENTROP EQ GAUCHE 15;OVENTROP ROBINETTERIE;1;24;17,89
500027;LORANS;chauffage;118 39 63;30508121;ROB RAD THERM OVENTROP EQ INV 12;OVENTROP ROBINETTERIE;1;19;13,79
500028;LORANS;chauffage;118 39 64;30508154;ROB RAD THERM OVENTROP EQ INV 15;OVENTROP ROBINETTERIE;1;16;11,9
500029;LORANS;chauffage;101 30 66;30510002;TETE THERM OVENTROP BULBE LIQUIDE;OVENTROP ROBINETTERIE;1;10;7,21
500030;LORANS;chauffage;101.14.97;30511000;OUTIL DE REGLAGE POUR TETE;OVENTROP ROBINETTERIE;1;20;14,73
500031;LORANS;chauffage;101 14 65;30512008;TETE THERM OVENTROP BULBE LIQUIDE;OVENTROP ROBINETTERIE;1;14;10,15
500032;LORANS;chauffage;101.14.10;30513006;TETE COLLECTIVITE BLANCHE;OVENTROP ROBINETTERIE;1;29;21,13
500033;LORANS;chauffage;101 16 65;30514004;TETE THERM OVENTROP BULBE A DIST.;OVENTROP ROBINETTERIE;1;45;33,68
500034;LORANS;chauffage;101 25 65;30515001;VOLANT MANUEL OVENTROP;OVENTROP ROBINETTERIE;1;4;3,2
500035;LORANS;chauffage;101.80.83;30516009;MECANISME PREREGLE OVENTROP P. RAD.;OVENTROP ROBINETTERIE;1;10;7,21
500036;LORANS;chauffage;109.10.61;30518120;COUDE DE REGLAGE OVENTROP MF12/17;OVENTROP ROBINETTERIE;1;10;7,41
500037;LORANS;chauffage;109.10.62;30518153;COUDE DE REGLAGE OVENTROP MF15/21;OVENTROP ROBINETTERIE;1;9;6,47
500038;LORANS;chauffage;109.10.63;30518203;COUDE DE REGLAGE OVENTROP MF20/27;OVENTROP ROBINETTERIE;1;17;12,45
500039;LORANS;chauffage;109.11.61;30520126;TE DE REGLAGE OVENTROP MF12/17;OVENTROP ROBINETTERIE;1;10;7,41
500040;LORANS;chauffage;109.11.62;30520159;TE DE REGLAGE OVENTROP MF15/21;OVENTROP ROBINETTERIE;1;9;6,47
500041;LORANS;chauffage;109.11.63;30520209;TE DE REGLAGE OVENTROP MF20/27;OVENTROP ROBINETTERIE;1;17;12,45
500042;LORANS;chauffage;013G0012;30534127;ROB REGLABLE THERM DROIT MF 12/17;DANFOSS CHAUFFAGE;1;18;13,06
500043;LORANS;chauffage;013G0014;30534150;ROB REGLABLE THERM DROIT MF 15/21;DANFOSS CHAUFFAGE;1;18;13,59
500044;LORANS;chauffage;013G0016;30534200;ROB REGLABLE THERM DROIT MF 20/27;DANFOSS CHAUFFAGE;1;24;17,67
500045;LORANS;chauffage;013G0038;30534267;ROB REGLABLE THERM DROIT MF 26/34;DANFOSS CHAUFFAGE;1;44;32,85
500046;LORANS;chauffage;013G0231;30535124;ROB RAD DANFOSS THERM EQ DROITE 12;DANFOSS CHAUFFAGE;1;27;20,37
500047;LORANS;chauffage;013G0233;30535157;ROB RAD DANFOSS THERM EQ DROITE 15;DANFOSS CHAUFFAGE;1;30;22,37
500048;LORANS;chauffage;013G0011;30536122;ROB REGLABLE THERM EQUERRE MF 12/17;DANFOSS CHAUFFAGE;1;18;13,06
500049;LORANS;chauffage;013G0013;30536155;ROB REGLABLE THERM EQUERRE MF 15/21;DANFOSS CHAUFFAGE;1;18;13,59
500050;LORANS;chauffage;013G0015;30536205;ROB REGLABLE THERM EQUERRE MF 20/27;DANFOSS CHAUFFAGE;1;24;17,67
500051;LORANS;chauffage;013G0037;30536262;ROB REGLABLE THERM EQUERRE MF 26/34;DANFOSS CHAUFFAGE;1;44;32,85
500052;LORANS;chauffage;013G0232;30537120;ROB RAD DANFOSS THERM EQ GAUCHE 12;DANFOSS CHAUFFAGE;1;27;20,37
500053;LORANS;chauffage;013G0234;30537153;ROB RAD DANFOSS THERM EQ GAUCHE 15;DANFOSS CHAUFFAGE;1;30;22,37
500054;LORANS;chauffage;013G0151;30538128;ROB REGLABLE THERM EQ INV MF 12/17;DANFOSS CHAUFFAGE;1;20;14,84
