_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
600000;MAILLARD;GENIE CLIMATIQUE;716904;C01195;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 1.05 EP 25MM;ACOME TUBES & CHAUFFAGE;PIEC;11,17;7,7
600001;MAILLARD;GENIE CLIMATIQUE;523217S100;C09517;SACHET  100 BARRETTES CLIPABLES;ACOME TUBES & CHAUFFAGE;SACH;12,95;8,93
600002;MAILLARD;GENIE CLIMATIQUE;716905;C01196;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 1.70 EP 40MM;ACOME TUBES & CHAUFFAGE;PIEC;14,57;10,05
600003;MAILLARD;GENIE CLIMATIQUE;716866;C10120;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 2.15 EP 50 MM;ACOME TUBES & CHAUFFAGE;PIEC;16,5;11,38
600004;MAILLARD;GENIE CLIMATIQUE;716907;C10121;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 2.60 EP 60MM;ACOME TUBES & CHAUFFAGE;PIEC;20,08;13,85
600005;MAILLARD;GENIE CLIMATIQUE;716908;C10127;DALLE PLANE 1,2 M2 ELEA EVOLUTION R 3.45 EP 80MM;ACOME TUBES & CHAUFFAGE;PIEC;26,75;18,45
600006;MAILLARD;GENIE CLIMATIQUE;893203;C09518;BIDON  5 L ADJUVANT BETON;ACOME TUBES & CHAUFFAGE;PIEC;29,36;20,25
600007;MAILLARD;GENIE CLIMATIQUE;523986C300;C09725;CARTON DE 300 CAVALIERS DE FIXATION HT 40MM;ACOME TUBES & CHAUFFAGE;CART;36,61;25,25
600008;MAILLARD;GENIE CLIMATIQUE;728733C80;C09495;TUBE PER BLEU  13/16 EN COURONNE  80 M;ACOME TUBES & CHAUFFAGE;COUR;67,86;46,8
600009;MAILLARD;GENIE CLIMATIQUE;728733C100;C09496;TUBE PER BLEU  13/16 EN COURONNE 100 M;ACOME TUBES & CHAUFFAGE;COUR;84,83;58,5
600010;MAILLARD;GENIE CLIMATIQUE;728734C80;C09506;TUBE PER BLEU  16/20 EN COURONNE  80 M;ACOME TUBES & CHAUFFAGE;COUR;92,29;63,65
600011;MAILLARD;GENIE CLIMATIQUE;728733C120;C09497;TUBE PER BLEU  13/16 EN COURONNE 120 M;ACOME TUBES & CHAUFFAGE;COUR;101,79;70,2
600012;MAILLARD;GENIE CLIMATIQUE;728734C100;C09507;TUBE PER BLEU  16/20 EN COURONNE 100 M;ACOME TUBES & CHAUFFAGE;COUR;115,36;79,56
600013;MAILLARD;GENIE CLIMATIQUE;728734C120;C09508;TUBE PER BLEU  16/20 EN COURONNE 120 M;ACOME TUBES & CHAUFFAGE;COUR;148,61;102,49
600014;MAILLARD;GENIE CLIMATIQUE;728733C240;C09498;TUBE PER BLEU  13/16 EN COURONNE 240 M;ACOME TUBES & CHAUFFAGE;COUR;203,58;140,4
600015;MAILLARD;GENIE CLIMATIQUE;728733C720;C09659;COURONNE 720M ECOTUBE PER BLEU 13X16;ACOME TUBES & CHAUFFAGE;COUR;574,1;395,93
