_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
300000;MAILLARD;BRULEUR;72012;C07206;BRULEUR FIOUL STELLA 3050  21-50KW;ATLANTIC;UN;669;477,91
300001;MAILLARD;BRULEUR;71905;C07318;BRULEUR FIOUL STELLA 4134  20-34KW;ATLANTIC;UN;596;426,01
300002;MAILLARD;BRULEUR;72400;C07290;BRULEUR FIOUL STELLA 4245;ATLANTIC;UN;597;426,64
300003;MAILLARD;BRULEUR;C20018229;C07856;BRULEUR CHAPPEE  TIGRA 2 CF710;CHAPPEE;UN;831;593,28
300004;MAILLARD;BRULEUR;C56011050;C12324;BRULEUR CHAPPEE TIGRA A/INJECTEUR CF 500;CHAPPEE;UN;440;313,95
300005;MAILLARD;BRULEUR;C56011051;C12325;BRULEUR CHAPPEE TIGRA A/INJECTEUR CF 500R;CHAPPEE;UN;463;330,75
300006;MAILLARD;BRULEUR;C56011200;C07858;BRULEUR GAZ CHAPPEE A/FILTRE CG4 GN OU CG500;CHAPPEE;UN;1308;934,03
300007;MAILLARD;BRULEUR;3832014;C11947;BRULEUR FIOUL NC4  20-30KW PROVIEW;CUENOD ;UN;639;456,75
300008;MAILLARD;BRULEUR;88027319;C12856;BRULEUR FIOUL M100S;DE DIETRICH ;UN;783;559,07
300009;MAILLARD;BRULEUR;3743140;C11491;BRULEUR FIOUL MILLENIUM 40 G3 19-35KW;RIELLO ;UN;373;266,68
300010;MAILLARD;CHAUDIERE BOIS;21145;C07233;CHAUD.BOIS BUCHES ACIER  CHARTREUSE 15/22;ATLANTIC;UN;3277;2341,02
300011;MAILLARD;CHAUDIERE BOIS;21157;C08497;CHAUD.BOIS BUCHES ACIER  VANOISE 28KW  GF-5028  NUE;ATLANTIC;UN;5099;3642,3
300012;MAILLARD;CHAUDIERE BOIS;74550;C07416;SECURITE THERMIQUE FF 20X27 AVEC SOUPAPE CALIBREE A 95°;ATLANTIC;UN;333;238,13
300013;MAILLARD;CHAUDIERE BOIS;15332D;C04746;ACCUMULATEUR STRATIFIE  700;FROLING;UN;803;573,8
300014;MAILLARD;CHAUDIERE BOIS;15333D;C04756;ACCUMULATEUR STRATIFIE  850;FROLING;UN;819;585,14
300015;MAILLARD;CHAUDIERE BOIS;15304D;C01347;ACCUMULATEUR STRATIFIE 1000;FROLING;UN;839;599,51
300016;MAILLARD;CHAUDIERE BOIS;15305D;C00013;ACCUMULATEUR STRATIFIE 1500;FROLING;UN;1125;803,63
300017;MAILLARD;CHAUDIERE BOIS;15335D;C04757;ACCUMULATEUR STRATIFIE 1800;FROLING;UN;1360;971,46
300018;MAILLARD;CHAUDIERE BOIS;15336D;C04758;ACCUMULATEUR STRATIFIE 2200;FROLING;UN;1625;1160,46
300019;MAILLARD;CHAUDIERE BOIS;15281;C04759;ACCUMULATEUR STRATIFIÉ 300;FROLING;UN;645;460,4
300020;MAILLARD;CHAUDIERE BOIS;15282;C04760;ACCUMULATEUR STRATIFIÉ 500;FROLING;UN;776;554,15
300021;MAILLARD;CHAUDIERE BOIS;12674;C04761;ADAPTATEUR SORTIE DE FUMÉE P1;FROLING;UN;158;112,64
300022;MAILLARD;CHAUDIERE BOIS;18861;C04762;ALLUMAGE AUTOMATIQUE POUR  S4;FROLING;UN;460;328,86
300023;MAILLARD;CHAUDIERE BOIS;15620;C04763;BALLON ECS P1;FROLING;UN;1259;899,64
300024;MAILLARD;CHAUDIERE BOIS;14202;C04764;CHAUD. GRANULES P1 PELLET 10;FROLING;UN;8427;6019,27
300025;MAILLARD;CHAUDIERE BOIS;14201;C04765;CHAUD. GRANULES P1 PELLET 7;FROLING;UN;8318;5941,4
300026;MAILLARD;CHAUDIERE BOIS;11033;C04766;CHAUD. MIXTE BOIS BUCHE /GRANULÉ SP DUAL 28    28KW BUCHES - 25KW GRANULES;FROLING;UN;16146;11532,78
300027;MAILLARD;CHAUDIERE BOIS;14002TD;C04767;CHAUD.A GRANULES DE BOIS 20KW P4;FROLING;UN;11366;8118,68
300028;MAILLARD;CHAUDIERE BOIS;14003TD;C04768;CHAUD.A GRANULES DE BOIS 25KW P4;FROLING;UN;11601;8286,51
300029;MAILLARD;CHAUDIERE BOIS;60320;C02425;COLLIER DE FIXATION POUR TUYAU D'ASPIRATION GRANULES P4;FROLING;UN;7;5,29
300030;MAILLARD;CHAUDIERE BOIS;18640;C04769;GESTION DE L'ACCUMULATEUR - 2 SONDES AVEC 5M DE CÂBLES;FROLING;UN;116;83,16
300031;MAILLARD;CHAUDIERE BOIS;18731B;C04770;GROUPE DE POMPE FE I;FROLING;UN;577;412,02
300032;MAILLARD;CHAUDIERE BOIS;18732B;C04771;GROUPE DE POMPE FE II;FROLING;UN;623;445,28
300033;MAILLARD;CHAUDIERE BOIS;18721B;C04772;GROUPE DE POMPE ME 30;FROLING;UN;652;465,7
300034;MAILLARD;CHAUDIERE BOIS;15761A;C04773;ISOLATION D'ACCUMULATEUR  700 A ENVELOPPE SOUPLE PVC;FROLING;UN;358;255,53
300035;MAILLARD;CHAUDIERE BOIS;15762A;C04774;ISOLATION D'ACCUMULATEUR  850 A ENVELOPPE SOUPLE PVC;FROLING;UN;386;275,94
300036;MAILLARD;CHAUDIERE BOIS;15763A;C04775;ISOLATION D'ACCUMULATEUR 1000 A ENVELOPPE SOUPLE PVC;FROLING;UN;412;294,08
300037;MAILLARD;CHAUDIERE BOIS;15764A;C04776;ISOLATION D'ACCUMULATEUR 1500 A ENVELOPPE SOUPLE PVC;FROLING;UN;515;368,17
300038;MAILLARD;CHAUDIERE BOIS;15765B;C04777;ISOLATION D'ACCUMULATEUR 1800 A ENVELOPPE SOUPLE PVC;FROLING;UN;583;416,56
300039;MAILLARD;CHAUDIERE BOIS;15766A;C04778;ISOLATION D'ACCUMULATEUR 2200 A ENVELOPPE SOUPLE PVC;FROLING;UN;693;495,18
300040;MAILLARD;CHAUDIERE BOIS;13731A;C04780;KIT D'ACCOUPLEMENT DE REMPLISSAGE P4;FROLING;UN;213;151,96
300041;MAILLARD;CHAUDIERE BOIS;N1210537;C04781;KIT DE RACCORDEMENT HYDRAULIQUE MODULE AVEC ECS P1;FROLING;UN;548;391,61
300042;MAILLARD;CHAUDIERE BOIS;N1210536;C04782;KIT DE RACCORDEMENT HYDRAULIQUE MODULE SANS ECS P1;FROLING;UN;271;193,54
300043;MAILLARD;CHAUDIERE BOIS;N1210535;C04783;KIT HYDRAULIQUE POUR BALLON  P1;FROLING;UN;383;273,67
300044;MAILLARD;CHAUDIERE BOIS;10642;C04784;MODULE DE CONTRÔLE DE TEMPERATURE DE RETOUR;FROLING;UN;140;99,79
300045;MAILLARD;CHAUDIERE BOIS;N1210530;C04785;MODULE ELECTRIQUE;FROLING;UN;1464;1045,55
300046;MAILLARD;CHAUDIERE BOIS;10540;C04786;MODULE POUR CIRCUIT DE CHAUFFAGE;FROLING;UN;748;534,49
300047;MAILLARD;CHAUDIERE BOIS;15699C;C01736;PREPARATEUR ECS UNICELL NT-S 200;FROLING;UN;1196;854,28
300048;MAILLARD;CHAUDIERE BOIS;15700C;C04787;PREPARATEUR ECS UNICELL NT-S 300;FROLING;UN;1389;991,87
300049;MAILLARD;CHAUDIERE BOIS;15701B;C04788;PREPARATEUR ECS UNICELL NT-S 500;FROLING;UN;1983;1416,74
300050;MAILLARD;CHAUDIERE BOIS;38030A;C04789;RESISTANCE ELECTRIQUE 2,25KW;FROLING;UN;427;304,67
300051;MAILLARD;CHAUDIERE BOIS;38031A;C04790;RESISTANCE ELECTRIQUE 3,0KW;FROLING;UN;454;324,32
300052;MAILLARD;CHAUDIERE BOIS;13659A;C04791;REVÊTEMENT ANTICHOC 1400X1250MM P4;FROLING;UN;93;66,53
300053;MAILLARD;CHAUDIERE BOIS;13747F;C04792;SILO A SAC DE TYPE  7;FROLING;UN;2125;1518,05
300054;MAILLARD;CHAUDIERE BOIS;13748F;C04793;SILO A SAC DE TYPE  8;FROLING;UN;2196;1568,7
300055;MAILLARD;CHAUDIERE BOIS;13749F;C04795;SILO A SAC DE TYPE  9;FROLING;UN;2284;1631,45
300056;MAILLARD;CHAUDIERE BOIS;13740F;C04796;SILO A SAC DE TYPE 10  3,7T;FROLING;UN;2290;1635,98
300057;MAILLARD;CHAUDIERE BOIS;13741F;C04797;SILO A SAC DE TYPE 20  4,7T;FROLING;UN;2540;1814,4
300058;MAILLARD;CHAUDIERE BOIS;13742F;C04798;SILO A SAC DE TYPE 30  7,4T;FROLING;UN;3154;2252,88
300059;MAILLARD;CHAUDIERE BOIS;13743F;C04799;SILO A SAC DE TYPE 40  5,0T;FROLING;UN;2929;2091,85
300060;MAILLARD;CHAUDIERE BOIS;13744F;C04800;SILO A SAC DE TYPE 50  5,9T;FROLING;UN;3188;2277,07
300061;MAILLARD;CHAUDIERE BOIS;10555;C04801;SOCLE POUR P1;FROLING;UN;212;151,2
300062;MAILLARD;CHAUDIERE BOIS;60313;C04803;TUYAU D'ASPIRATION GRANULES  25M  P/CHAUDIERE P4;FROLING;UN;304;216,97
300063;MAILLARD;CHAUDIERE ELECTRIQUE;0071012AA;E01261;CHAUD.ELECTRIQUE GIALIX C 4 A 12KW MONO A REGULATION ELECTROMECANIQUE;APPLIMO;UN;1314;938,39
300064;MAILLARD;CHAUDIERE ELECTRIQUE;0071018AA;E04609;CHAUD.ELECTRIQUE GIALIX C 9 A 18KW MONO A REGULATION ELECTROMECANIQUE;APPLIMO;UN;1512;1080,33
