_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
800000;raccords services;RACCORDS;AR-C20010      ;COUDE 90° F/F 90CU D 10 ;ARCO ;un; 2,52 € ; 1,26 € 
800001;raccords services;RACCORDS;AR-C20012      ;COUDE 90° F/F 90CU D 12 ;ARCO ;un; 0,74 € ; 0,37 € 
800002;raccords services;RACCORDS;5090014;COUDE 90° F/F 90CU D 14 ;FRA.BO ;un; 0,72 € ; 0,36 € 
800003;raccords services;RACCORDS;5090016;COUDE 90° F/F 90CU D 16 ;FRA.BO ;un; 0,88 € ; 0,44 € 
800004;raccords services;RACCORDS;5090018;COUDE 90° F/F 90CU D 18 ;FRA.BO ;un; 0,98 € ; 0,49 € 
800005;raccords services;RACCORDS;5090022;COUDE 90° F/F 90CU D 22 ;FRA.BO ;un; 1,44 € ; 0,72 € 
800006;raccords services;RACCORDS;5090028;COUDE 90° F/F 90CU D 28 ;FRA.BO ;un; 4,48 € ; 2,24 € 
800007;raccords services;RACCORDS;AR-C20035      ;COUDE 90° F/F 90CU D 35 ;ARCO ;un; 12,16 € ; 6,08 € 
800008;raccords services;RACCORDS;AR-C20042      ;COUDE 90° F/F 90CU D 42 ;ARCO ;un; 13,12 € ; 6,56 € 
800009;raccords services;RACCORDS;5090054;COUDE 90° F/F 90CU D 54 ;FRA.BO ;un; 44,66 € ; 22,33 € 
800010;raccords services;RACCORDS;AR-C21010      ;COUDE 90° M/F 92CU D 10 ;ARCO ;un; 5,30 € ; 2,65 € 
800011;raccords services;RACCORDS;AR-C21012      ;COUDE 90° M/F 92CU D 12 ;ARCO ;un; 1,86 € ; 0,93 € 
800012;raccords services;RACCORDS;5092014;COUDE 90° M/F 92CU D 14 ;FRA.BO ;un; 1,38 € ; 0,69 € 
800013;raccords services;RACCORDS;5092016;COUDE 90° M/F 92CU D 16 ;FRA.BO ;un; 1,48 € ; 0,74 € 
800014;raccords services;RACCORDS;5092018;COUDE 90° M/F 92CU D 18 ;FRA.BO ;un; 1,80 € ; 0,90 € 
800015;raccords services;RACCORDS;5092022;COUDE 90° M/F 92CU D 22 ;FRA.BO ;un; 3,14 € ; 1,57 € 
800016;raccords services;RACCORDS;AR-C21028      ;COUDE 90° M/F 92CU D 28 ;ARCO ;un; 4,96 € ; 2,48 € 
800017;raccords services;RACCORDS;5092035;COUDE 90° M/F 92CU D 35 ;FRA.BO ;un; 16,36 € ; 8,18 € 
800018;raccords services;RACCORDS;AR-C21042      ;COUDE 90° M/F 92CU D 42 ;ARCO ;un; 12,26 € ; 6,13 € 
800019;raccords services;RACCORDS;AR-C21054      ;COUDE 90° M/F 92CU D 54 ;ARCO ;un; 41,60 € ; 20,80 € 
