_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;
600000;SOCOLEC;GENIE CLIMATIQUE;80536;00033080536;BANDE ADHESIF ALU  (ROULEAU DE 50 M);3 M;UNITÉ;6,40;4,30;
600001;SOCOLEC;GENIE CLIMATIQUE;THXP150 - 220LF;00029004224;RADIATEUR FASSANE  PREMIUM  1500 W;          ACOVA                          ;UNITÉ;1 104,30;629,45;
600002;SOCOLEC;GENIE CLIMATIQUE;TAQ-150-100;00029002738;RADIATEUR TAÏGA EVOLUTION 1500 W;          ACOVA                          ;UNITÉ;725,30;413,42;
600003;SOCOLEC;GENIE CLIMATIQUE;TSXP-075-050LF;00029002703;RADIATEUR SECHE-SERVIETTES  REGATE  PREMIUM 750W;          ACOVA                          ;UNITÉ;n'existe plus;328,32;
600004;SOCOLEC;GENIE CLIMATIQUE;TLNO030-050IFS;00029232359;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  300+1000W CHROME;          ACOVA                          ;UNITÉ;992,60;595,56;
600005;SOCOLEC;GENIE CLIMATIQUE;TLNO050-050IFS;00029232360;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  500+1000W CHROME;          ACOVA                          ;UNITÉ;1 034,00;620,40;
600006;SOCOLEC;GENIE CLIMATIQUE;THXP075 - 150LF;00029004215;RADIATEUR FASSANE  PREMIUM   750 W;          ACOVA                          ;UNITÉ;898,80;512,32;
600007;SOCOLEC;GENIE CLIMATIQUE;TLN100-050IFS;00029232358;RADIATEUR SECHE-SERVIETTES  CALA  +AIR ELEC  1000+1000W BLANC;          ACOVA                          ;UNITÉ;706,60;402,76;
600008;SOCOLEC;GENIE CLIMATIQUE;TSXP-125-060LF;00029004208;RADIATEUR SECHE-SERVIETTES  REGATE PREMIUM 1250W;          ACOVA                          ;UNITÉ;805,20;443,46;
600009;SOCOLEC;GENIE CLIMATIQUE;THXP125 - 220LF;00029004221;RADIATEUR FASSANE  PREMIUM  1250 W;          ACOVA                          ;UNITÉ;1 072,90;611,55;
600010;SOCOLEC;GENIE CLIMATIQUE;LN180-050S;00029232353;RADIATEUR SECHE-SERVIETTES  CALA  +AIR EC  973+1000W BLANC;          ACOVA                          ;UNITÉ;n'existe plus;294,18;
600011;SOCOLEC;GENIE CLIMATIQUE;TLN-050-050;00029001915;RADIATEUR SECHE-SERVIETTES  CALA  ELECT 500W;          ACOVA                          ;UNITÉ;356,80;203,38;
600012;SOCOLEC;GENIE CLIMATIQUE;TMC06-075-062;00029002033;RADIATEUR VUELTA TMC   750W;          ACOVA                          ;UNITÉ;626,30;375,78;
600013;SOCOLEC;GENIE CLIMATIQUE;THXP100 - 220LF;00029004219;RADIATEUR FASSANE  PREMIUM  1000 W;          ACOVA                          ;UNITÉ;957,00;545,49;
600014;SOCOLEC;GENIE CLIMATIQUE;THXP100 - 200LF;00029004218;RADIATEUR FASSANE  PREMIUM  1000 W;          ACOVA                          ;UNITÉ;927,30;528,56;
600015;SOCOLEC;GENIE CLIMATIQUE;THXP200 - 220LF;00029002226;RADIATEUR FASSANE  PREMIUM  2000 W;          ACOVA                          ;UNITÉ;1 233,70;679,44;
600016;SOCOLEC;GENIE CLIMATIQUE;TMC06-050-053;00029002032;RADIATEUR VUELTA TMC   500 W;          ACOVA                          ;UNITÉ;528,40;317,04;
600017;SOCOLEC;GENIE CLIMATIQUE;TMC06-100-076;00029002034;RADIATEUR VUELTA TMC 1000 W;          ACOVA                          ;UNITÉ;684,30;410,58;
600018;SOCOLEC;GENIE CLIMATIQUE;TSL-075-050-TF;00029232070;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  750W;          ACOVA                          ;UNITÉ;344,00;196,08;
