_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
500000;SOCOLEC;DIVERS;80536;00033080536;BANDE ADHESIF ALU  (ROULEAU DE 50 M);3 M;un;9;5,038
500001;SOCOLEC;GENIE CLIMATIQUE;TSL-050-050-TF;00029232069;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  500W;ACOVA                          ;un;255;141,7432
500002;SOCOLEC;GENIE CLIMATIQUE;TSL-075-050-TF;00029232070;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT  750W;ACOVA                          ;un;286;159
500003;SOCOLEC;GENIE CLIMATIQUE;TSL-100-050-TF;00029232071;RADIATEUR SECHE-SERVIETTES  ATOLL ELECT 1000W;ACOVA                          ;un;340;189,1146
500004;SOCOLEC;GENIE CLIMATIQUE;TAQ-100-076;00029002736;RADIATEUR TAÏGA EVOLUTION 1000 W;ACOVA                          ;un;575;319,1978
500005;SOCOLEC;GENIE CLIMATIQUE;TAQ-150-100;00029002738;RADIATEUR TAÏGA EVOLUTION 1500 W;ACOVA                          ;un;713;396,2916
500006;SOCOLEC;GENIE CLIMATIQUE;TAX-150-093;00029003973;RADIATEUR ATOLL 1500W;ACOVA                          ;un;464;257,633
500007;SOCOLEC;GENIE CLIMATIQUE;TAX-100-061;00029003971;RADIATEUR ATOLL 1000W;ACOVA                          ;un;367;203,626
500008;SOCOLEC;GENIE CLIMATIQUE;TAQ-125-084;00029002737;RADIATEUR TAÏGA EVOLUTION 1250 W;ACOVA                          ;un;643;357,4426
500009;SOCOLEC;GENIE CLIMATIQUE;TAQ-075-060;00029002735;RADIATEUR TAÏGA EVOLUTION  750 W;ACOVA                          ;un;546;303,2024
500010;SOCOLEC;GENIE CLIMATIQUE;TAQ-050-052;00029002734;RADIATEUR TAÏGA EVOLUTION  500 W;ACOVA                          ;un;506;281,0166
500011;SOCOLEC;GENIE CLIMATIQUE;TAQ-200-123;00029002739;RADIATEUR TAÏGA EVOLUTION 2000 W;ACOVA                          ;un;836;464,6722
