_ID;FOURNISSEUR;FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
2000000;SOCOLEC;VMCETACCESSOIRES;80536;00033080536;BANDEADHESIFALU(ROULEAUDE50M);3M;UN;7;5,28
2000001;SOCOLEC;RADIATEURAINERTIE;TAK-030-041;00029005933;RADIATEURTAÏGALCD300W;ACOVA;UN;444;316,84
2000002;SOCOLEC;RADIATEURAINERTIE;TAK-050-041;00029005934;RADIATEURTAÏGALCD500W;ACOVA;UN;448;320,00
2000003;SOCOLEC;RADIATEURAINERTIE;TAK-075-048;00029005935;RADIATEURTAÏGALCD750W;ACOVA;UN;473;337,89
2000004;SOCOLEC;RADIATEURAINERTIE;TAK-100-064;00029005936;RADIATEURTAÏGALCD1000W;ACOVA;UN;501;357,89
2000005;SOCOLEC;RADIATEURAINERTIE;TAK-125-080;00029005937;RADIATEURTAÏGALCD1250W;ACOVA;UN;545;389,47
2000006;SOCOLEC;RADIATEURAINERTIE;TAK-150-088;00029005938;RADIATEURTAÏGALCD1500W;ACOVA;UN;609;434,74
2000007;SOCOLEC;RADIATEURAINERTIE;TAK-175-104;00029005939;RADIATEURTAÏGALCD1750W;ACOVA;UN;722;515,79
2000008;SOCOLEC;RADIATEURAINERTIE;TAK-200-112;00029005940;RADIATEURTAÏGALCD2000W;ACOVA;UN;753;537,89
2000009;SOCOLEC;RADIATEURAINERTIE;TAX-050-037;00029003969;RADIATEURATOLL500W;ACOVA;UN;230;164,21
2000010;SOCOLEC;RADIATEURAINERTIE;TAX-075-045;00029003970;RADIATEURATOLL750W;ACOVA;UN;251;178,95
2000011;SOCOLEC;RADIATEURAINERTIE;TAX-100-061;00029003971;RADIATEURATOLL1000W;ACOVA;UN;293;209,47
2000012;SOCOLEC;RADIATEURAINERTIE;TAX-125-077;00029003972;RADIATEURATOLL1250W;ACOVA;UN;329;234,74
2000013;SOCOLEC;RADIATEURAINERTIE;TAX-150-093;00029003973;RADIATEURATOLL1500W;ACOVA;UN;371;265,26
2000014;SOCOLEC;RADIATEURAINERTIE;TAX-200-125;00029003974;RADIATEURATOLL2000W;ACOVA;UN;458;327,37
2000015;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TFAS-050-050;00029002917;RADIATEURSECHE-SERVIETTESFASSANESPAEL500WBLC;ACOVA;UN;335;239,47
2000016;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TFAS-075-050;00029002918;RADIATEURSECHE-SERVIETTESFASSANESPAEL750WBLC;ACOVA;UN;361;257,89
2000017;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TFAS-100-050;00029002919;RADIATEURSECHE-SERVIETTESFASSANESPAEL1000WBLC;ACOVA;UN;423;302,11
2000018;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TLN-050-050;00029001915;RADIATEURSECHE-SERVIETTESCALAELECT500W;ACOVA;UN;323;230,97
2000019;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TLN-075-050;00029001916;RADIATEURSECHE-SERVIETTESCALAELECT750W;ACOVA;UN;351;250,80
2000020;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TLN-100-050;00029001917;RADIATEURSECHE-SERVIETTESCALAELECT1000W;ACOVA;UN;406;289,89
2000021;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TLN-125-060;00029232320;RADIATEURSECHE-SERVIETTESCALAELECT1250W;ACOVA;UN;466;332,64
2000022;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TSL-050-050-TF;00029232069;RADIATEURSECHE-SERVIETTESATOLLELECT500W;ACOVA;UN;191;136,32
2000023;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TSL-075-050-TF;00029232070;RADIATEURSECHE-SERVIETTESATOLLELECT750W;ACOVA;UN;206;147,26
2000024;SOCOLEC;SECHE-SERVIETTESELECTRIQUE;TSL-100-050-TF;00029232071;RADIATEURSECHE-SERVIETTESATOLLELECT1000W;ACOVA;UN;269;192,11
2000025;SOCOLEC;SPOTS-TRANSFOS-PROJECTEURS;0142;00058000142;TUBELINOLITECL38X310ECOHAL.50WVP;ARIC;UN;11;7,88
2000026;SOCOLEC;SPOTS-TRANSFOS-PROJECTEURS;0553;00058000553;PROJECTEURDAYBLANC;ARIC;UN;32;22,93
2000027;SOCOLEC;SPOTS-TRANSFOS-PROJECTEURS;0554;00058000554;PROJECTEURDAYBEIGE;ARIC;UN;32;22,93
2000028;SOCOLEC;SPOTS-TRANSFOS-PROJECTEURS;0878;00058000878;SUPPORTMURALFA57POURPROJ.DAYBLANC/BEIGE;ARIC;UN;18;12,72
2000029;SOCOLEC;SPOTS-TRANSFOS-PROJECTEURS;1380;00058001380;SUPPORTPATEREMURALPOURPROJECTEURDAY;ARIC;UN;6;4,26
2000030;SOCOLEC;LAMPESLED;2943;00058002943;TUBELINOLITELEDS19Ø36X3086W/2700K;ARIC;UN;22;15,79
2000031;SOCOLEC;APPAREILLAGE;48270;00012048270;"PRISESOL2P+T16ACARREEIB
";ARNOULD;UN;36;25,43
2000032;SOCOLEC;APPAREILLAGE;48273;00012048273;"PRISESOLSORTIEDECABLECARREEIB
";ARNOULD;UN;40;28,42
2000033;SOCOLEC;APPAREILLAGE;48280;00012048280;"PRISESOL2P+T16ARONDEIB
";ARNOULD;UN;39;28,16
