_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
500000;SOCOLEC;GENIE CLIMATIQUE;420102;39420102;AERATEUR PERMANENT VEMREA 45    45M3/H  CUISINE ET AUTRES PETITS LOCAUX;UNELVENT ;UN;140;103,98
500001;SOCOLEC;GENIE CLIMATIQUE;75387;105075387;ISOLANT PERIPHERIQUE EP.5MM  HT120   RL 50M AVEC BAVETTE;EFISOL ;UN;29;21,43
500002;SOCOLEC;GENIE CLIMATIQUE;TMS 48 SI;105027295;PLAQUE ISOLANT LISSE EP 48MM R 2,20   1,20X1,00 AU M2 TMS SI 48;EFISOL ;UN;17;12,89
500003;SOCOLEC;GENIE CLIMATIQUE;TMS 56 SI;105027296;PLAQUE ISOLANT LISSE EP 56MM R 2,60   1,20X1,00 AU M2 TMS SI 56;EFISOL ;UN;20;14,45
500004;SOCOLEC;GENIE CLIMATIQUE;TMS 80 SI;105027297;PLAQUE ISOLANT LISSE EP 80MM R 3,70   1,20X1,00 AU M2 TMS SI 80;EFISOL ;UN;28;20,55
500005;SOCOLEC;GENIE CLIMATIQUE;7820030;73878201;THERMOSTAT D'AMBIANCE ANALOGIQUE RAMSES 782 24H/7J 230V RESERVE DE MARCHE 3 JOURS;THEBEN ;UN;142;104,93
500006;SOCOLEC;GENIE CLIMATIQUE;7220030;73872201;THERMOSTAT D'AMBIANCE ANALOGIQUE RAMSES 782 24H/7J 230V SANS RESERVE DE MARCHE;THEBEN ;UN;122;90,03
500007;SOCOLEC;GENIE CLIMATIQUE;8119132;73881113;THERMOSTAT D'AMBIANCE DIGITAL RAMSES 811 TOP 2 24H/7J BLANC A PILES;THEBEN ;UN;109;80,91
500008;SOCOLEC;GENIE CLIMATIQUE;8120132;73881203;THERMOSTAT D'AMBIANCE DIGITAL RAMSES 812 TOP 2   24H/7J  230V RESERVE DE MARCHE 3H;THEBEN ;UN;128;94,86
500009;SOCOLEC;GENIE CLIMATIQUE;8139503;73881316;THERMOSTAT D'AMBIANCE DIGITAL RAMSES 813 TOP 2  HF SET A  RADIO SANS FIL  A PILES;THEBEN ;UN;262;193,9
500010;SOCOLEC;GENIE CLIMATIQUE;326216;16326216;CHAUFFE EAU BLINDE 15L SOUS EVIER MONO;ATLANTIC;UN;167;123,87
500011;SOCOLEC;GENIE CLIMATIQUE;325216;16325216;CHAUFFE EAU BLINDE 15L SUR EVIER MONO SERIE COMPACTE;ATLANTIC;UN;167;123,87
500012;SOCOLEC;GENIE CLIMATIQUE;325116;16325116;CHAUFFE EAU BLINDE 15R SUR EVIER MONO SERIE ETROITE;ATLANTIC;UN;167;123,87
500013;SOCOLEC;GENIE CLIMATIQUE;321104;16321104;CHAUFFE EAU BLINDE 30L MONO SUR EVIER SERIE ETROITE;ATLANTIC;UN;189;139,99
500014;SOCOLEC;GENIE CLIMATIQUE;327106;16327106;CHAUFFE EAU BLINDE 50L MONO SUR EVIER SERIE ETROITE;ATLANTIC;UN;198;146,37
500015;SOCOLEC;GENIE CLIMATIQUE;23110;16023110;CHAUFFE EAU BLINDE HM 100L MONO HORIZONTAL;ATLANTIC;UN;355;262,88
500016;SOCOLEC;GENIE CLIMATIQUE;23115;16023115;CHAUFFE EAU BLINDE HM 150L MONO HORIZONTAL;ATLANTIC;UN;420;310,93
500017;SOCOLEC;GENIE CLIMATIQUE;23120;16023120;CHAUFFE EAU BLINDE HM 200L MONO HORIZONTAL;ATLANTIC;UN;465;344,19
500018;SOCOLEC;GENIE CLIMATIQUE;23107;16023107;CHAUFFE EAU BLINDE HM 75L MONO HORIZONTAL;ATLANTIC;UN;315;233,31
500019;SOCOLEC;GENIE CLIMATIQUE;321105;16321105;CHAUFFE EAU BLINDE VM  50L MONO MURAL;ATLANTIC;UN;210;155,41
500020;SOCOLEC;GENIE CLIMATIQUE;21107;16021107;CHAUFFE EAU BLINDE VM  75L MONO MURAL;ATLANTIC;UN;215;159,29
500021;SOCOLEC;GENIE CLIMATIQUE;21110;16021110;CHAUFFE EAU BLINDE VM 100L MONO MURAL;ATLANTIC;UN;177;131,2
500022;SOCOLEC;GENIE CLIMATIQUE;21115;16021115;CHAUFFE EAU BLINDE VM 150L MONO MURAL;ATLANTIC;UN;206;152,66
500023;SOCOLEC;GENIE CLIMATIQUE;21315;16021315;CHAUFFE EAU BLINDE VM 150L TC MURAL;ATLANTIC;UN;311;230,32
500024;SOCOLEC;GENIE CLIMATIQUE;21120;16021120;CHAUFFE EAU BLINDE VM 200L MONO MURAL;ATLANTIC;UN;236;174,47
500025;SOCOLEC;GENIE CLIMATIQUE;21320;16021320;CHAUFFE EAU BLINDE VM 200L TC MURAL;ATLANTIC;UN;353;261,31
500026;SOCOLEC;GENIE CLIMATIQUE;22115;16022115;CHAUFFE EAU BLINDE VS 150L MONO S/SOCLE;ATLANTIC;UN;355;263,28
500027;SOCOLEC;GENIE CLIMATIQUE;22120;16022120;CHAUFFE EAU BLINDE VS 200L MONO S/SOCLE;ATLANTIC;UN;413;305,61
500028;SOCOLEC;GENIE CLIMATIQUE;22320;16022320;CHAUFFE EAU BLINDE VS 200L TC S/SOCLE;ATLANTIC;UN;427;316,2
500029;SOCOLEC;GENIE CLIMATIQUE;22125;16022125;CHAUFFE EAU BLINDE VS 250L MONO S/SOCLE;ATLANTIC;UN;346;256,42
500030;SOCOLEC;GENIE CLIMATIQUE;22325;16022325;CHAUFFE EAU BLINDE VS 250L TC S/SOCLE;ATLANTIC;UN;483;357,65
500031;SOCOLEC;GENIE CLIMATIQUE;22130;16022130;CHAUFFE EAU BLINDE VS 300L MONO S/SOCLE;ATLANTIC;UN;367;271,55
500032;SOCOLEC;GENIE CLIMATIQUE;22330;16022330;CHAUFFE EAU BLINDE VS 300L TC S/SOCLE;ATLANTIC;UN;505;374,41
500033;SOCOLEC;GENIE CLIMATIQUE;322350;16322350;CHAUFFE EAU BLINDE VS 500L TC S/SOCLE;ATLANTIC;UN;1196;885,97
